##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_Sb_10.8_S_24_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
406.8219, 1.390177
407.3040, 0.8977300
407.7862, 0.5266080
408.2683, 0.7840670
408.7504, 1.715858
409.2325, 2.550460
409.7146, 3.026038
410.1967, 3.256298
410.6789, 3.491897
411.1610, 3.765309
411.6431, 4.061890
412.1252, 4.617032
412.6073, 5.202927
413.0894, 5.004932
413.5716, 3.564861
414.0537, 1.969941
414.5358, 1.740997
415.0179, 2.530909
415.5000, 3.198231
415.9821, 2.754271
416.4643, 2.066081
416.9464, 2.250185
417.4285, 3.460537
417.9106, 4.358912
418.3927, 3.516078
418.8748, 2.057959
419.3570, 1.335554
419.8391, 2.801283
420.3212, 4.117948
420.8033, 4.205723
421.2854, 3.265142
421.7675, 2.265176
422.2497, 1.245513
422.7318, 0.4691320
423.2139, 4.9000001E-04
423.6960, 0.2548020
424.1781, 1.8339001E-02
424.6602, 1.363973
425.1424, 3.110437
425.6245, 3.984674
426.1066, 3.167323
426.5887, 2.487218
427.0709, 2.440227
427.5530, 3.004697
428.0351, 3.008378
428.5172, 1.912298
428.9993, 1.069954
429.4814, 1.793014
429.9636, 4.901860
430.4457, 6.132950
430.9278, 4.552003
431.4099, 1.513360
431.8920, 0.1159840
432.3741, 0.5498950
432.8563, 1.053653
433.3384, 0.6679950
433.8205, 0.4120860
434.3026, 0.7632690
434.7847, 0.2960410
435.2668, 0.3735880
435.7490, 0.5895860
436.2311, 0.5063720
436.7132, 0.6067590
437.1953, 1.116353
437.6774, 1.727842
438.1595, 2.114830
438.6417, 2.271307
439.1238, 2.171781
439.6059, 1.255112
440.0880, 0.3534480
440.5701, 0.6034410
441.0522, 2.317255
441.5344, 3.801827
442.0165, 3.660972
442.4986, 2.791043
442.9807, 2.289634
443.4628, 3.039050
443.9449, 3.716011
444.4271, 3.537541
444.9092, 2.718169
445.3913, 2.505741
445.8734, 4.508892
446.3555, 6.201720
446.8376, 6.167677
447.3198, 2.941556
447.8019, 0.6989810
448.2840, 4.5542002E-02
448.7661, 7.3864996E-02
449.2482, 0.1810890
449.7303, 0.2256230
450.2125, 0.3412360
450.6946, 0.5534940
451.1767, 0.8629430
451.6588, 1.314778
452.1409, 2.045622
452.6230, 2.609090
453.1052, 2.517710
453.5873, 1.715399
454.0694, 1.352893
454.5515, 1.612135
455.0337, 2.093373
455.5158, 2.135197
455.9979, 1.764175
456.4800, 1.363103
456.9621, 0.9315440
457.4442, 0.6282760
457.9264, 0.9035160
458.4085, 1.748610
458.8906, 2.759685
459.3727, 3.852774
459.8548, 4.836306
460.3369, 5.377606
460.8191, 5.414065
461.3012, 4.990502
461.7833, 3.599590
462.2654, 1.790574
462.7475, 0.7087900
463.2296, 1.818500
463.7118, 2.984845
464.1939, 2.662920
464.6760, 0.7338730
465.1581, 0.4016720
465.6402, 1.138383
466.1223, 3.067330
466.6045, 3.755469
467.0866, 0.9816670
467.5687, 0.5565610
468.0508, 8.6046003E-02
468.5329, 2.055572
469.0150, 3.511093
469.4972, 4.413050
469.9793, 4.833474
470.4614, 4.710107
470.9435, 4.018732
471.4256, 3.224586
471.9077, 2.226565
472.3899, 1.328122
472.8720, 0.7229860
473.3541, 0.3859380
473.8362, 0.7380710
474.3183, 2.132449
474.8004, 3.777454
475.2826, 3.826617
475.7647, 2.401470
476.2468, 1.227155
476.7289, 1.507921
477.2110, 2.598685
477.6931, 3.150069
478.1753, 3.127514
478.6574, 2.695199
479.1395, 1.554295
479.6216, 0.2012170
480.1037, 0.6075240
480.5858, 0.5350140
481.0680, 0.1616820
481.5501, 0.1985950
482.0322, 0.5955050
482.5143, 1.064994
482.9964, 1.935300
483.4786, 2.582939
483.9607, 2.576378
484.4428, 1.836476
484.9249, 1.287323
485.4070, 1.100915
485.8892, 1.173002
486.3713, 1.446049
486.8534, 2.100703
487.3355, 2.691834
487.8176, 3.401443
488.2997, 3.976205
488.7819, 3.755500
489.2640, 2.222154
489.7461, 1.089834
490.2282, 1.207660
490.7103, 2.358301
491.1924, 2.366973
491.6746, 0.9242090
492.1567, 0.5367800
492.6388, 0.4747140
493.1209, 0.9056170
493.6030, 1.751987
494.0851, 1.741130
494.5673, 1.370865
495.0494, 1.246210
495.5315, 1.348525
496.0136, 1.614161
496.4957, 2.396123
496.9778, 3.098721
497.4600, 2.843996
497.9421, 1.735774
498.4242, 0.8164950
498.9063, 0.9818660
499.3884, 1.448740
499.8705, 1.439815
500.3527, 0.4381000
500.8348, 0.1250440
501.3169, 0.7844080
501.7990, 2.300043
502.2811, 3.206186
502.7632, 2.459239
503.2454, 1.964080
503.7275, 2.422578
504.2096, 3.692525
504.6917, 4.137920
505.1738, 3.108633
505.6559, 2.132736
506.1381, 2.186409
506.6202, 3.782721
507.1023, 4.201871
507.5844, 2.982057
508.0665, 1.414391
508.5486, 1.474418
509.0308, 3.209194
509.5129, 4.575358
509.9950, 5.018446
510.4771, 4.805872
510.9592, 4.346215
511.4413, 3.674383
511.9235, 3.105020
512.4056, 2.842391
512.8877, 2.806651
513.3698, 3.043329
513.8519, 3.596291
514.3340, 3.770799
514.8162, 2.552800
515.2983, 0.8499030
515.7804, 0.2499280
516.2625, 0.2436230
516.7446, 0.1931970
517.2267, 1.052945
517.7089, 2.150732
518.1910, 3.023327
518.6731, 3.673101
519.1552, 3.988878
519.6373, 3.837268
520.1194, 3.179418
520.6016, 2.538672
521.0837, 1.805007
521.5658, 1.218222
522.0479, 0.9939510
522.5300, 1.252264
523.0121, 1.414820
523.4943, 1.473190
523.9764, 1.469677
524.4585, 1.466370
524.9406, 1.458688
525.4227, 1.630197
525.9048, 2.265779
526.3870, 3.097307
526.8691, 3.582177
527.3513, 3.725986
527.8334, 3.604177
528.3155, 3.032956
528.7976, 2.317096
529.2797, 1.879663
529.7618, 1.909671
530.2440, 2.286215
530.7261, 3.339645
531.2082, 4.361871
531.6903, 4.559721
532.1724, 2.615971
532.6545, 0.9573290
533.1367, 0.5921330
533.6188, 1.177004
534.1009, 1.456600
534.5830, 0.4718050
535.0651, 7.9124004E-02
535.5472, 0.6518510
536.0294, 3.019689
536.5115, 4.016490
536.9936, 2.858123
537.4757, 1.424450
537.9578, 1.412662
538.4399, 3.178608
538.9221, 4.429100
539.4042, 4.907687
539.8863, 4.783453
540.3684, 4.058060
540.8505, 2.816073
541.3326, 2.105412
541.8148, 2.822969
542.2969, 4.050839
542.7790, 3.911749
543.2611, 2.582096
543.7432, 1.468591
544.2253, 1.780618
544.7075, 2.655657
545.1896, 3.319889
545.6717, 3.722834
546.1538, 3.593975
546.6359, 2.070711
547.1180, 0.2513600
547.6002, 0.6759170
548.0823, 0.6397370
548.5644, 1.628138
549.0465, 1.480744
549.5286, 0.6610700
550.0107, 0.5175750
550.4929, 1.593159
550.9750, 2.636443
551.4571, 3.268611
551.9392, 3.489290
552.4213, 3.285081
552.9034, 2.499116
553.3856, 1.774770
553.8677, 1.720648
554.3498, 2.276169
554.8319, 2.739221
555.3140, 3.062593
555.7961, 3.224599
556.2783, 3.071600
556.7604, 2.686997
557.2425, 2.221047
557.7246, 1.488919
558.2067, 0.9502260
558.6888, 1.256362
559.1710, 2.186570
559.6531, 2.965115
560.1352, 3.155207
560.6173, 3.123177
561.0994, 2.985141
561.5815, 2.712385
562.0637, 2.704122
562.5458, 3.609177
563.0279, 4.430027
563.5100, 4.395555
563.9921, 2.439106
564.4742, 1.562524
564.9564, 2.276332
565.4385, 3.747678
565.9206, 4.553988
566.4027, 4.560747
566.8848, 4.582025
567.3669, 5.018361
567.8491, 5.543136
568.3312, 4.780575
568.8133, 2.791589
569.2954, 1.090398
569.7775, 0.8317640
570.2596, 1.484446
570.7418, 2.281119
571.2239, 3.198153
571.7060, 3.746059
572.1881, 3.103850
572.6702, 2.092642
573.1523, 1.654364
573.6345, 2.344112
574.1166, 3.041193
574.5987, 3.365997
575.0808, 3.417407
575.5629, 3.376742
576.0450, 3.350282
576.5272, 3.132665
577.0093, 2.544064
577.4914, 1.683952
577.9735, 1.227016
578.4556, 1.331094
578.9377, 1.519819
579.4199, 1.541147
579.9020, 1.389594
580.3841, 1.372437
580.8662, 1.491344
581.3483, 1.731747
581.8304, 2.089533
582.3126, 2.557319
582.7947, 3.172292
583.2768, 4.034781
583.7589, 4.759774
584.2410, 4.978994
584.7231, 4.756154
585.2053, 4.217301
585.6874, 3.398347
586.1696, 2.292992
586.6517, 0.3393620
587.1338, 2.081313
587.6159, 3.301960
588.0980, 2.028374
588.5801, 0.2286750
589.0623, 1.494561
589.5444, 3.257902
590.0265, 3.994368
590.5086, 3.006656
590.9907, 1.883266
591.4728, 1.982954
591.9550, 3.551620
592.4371, 4.809560
592.9192, 5.670856
593.4013, 6.051471
593.8834, 5.473583
594.3655, 4.085519
594.8477, 3.064422
595.3298, 3.003086
595.8119, 3.225638
596.2940, 2.629255
596.7761, 1.499742
597.2582, 0.7782370
597.7404, 1.418720
598.2225, 2.294699
598.7046, 2.500603
599.1867, 1.996445
599.6688, 1.808665
600.1509, 2.496734
600.6331, 3.413999
