##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
407.6873, 1.462524
408.1695, 11.21906
408.6516, 14.33139
409.1337, 6.388550
409.6158, 0.5238950
410.0979, 1.350952
410.5800, 0.6893310
411.0622, 2.322540
411.5443, 6.998016
412.0264, 10.90735
412.5085, 11.81738
412.9906, 9.686371
413.4727, 6.811768
413.9549, 0.5312190
414.4370, 3.453888
414.9191, 1.378510
415.4012, 2.617981
415.8833, 2.814117
416.3654, 2.922028
416.8476, 10.48416
417.3297, 13.97559
417.8118, 13.00278
418.2939, 12.34430
418.7760, 13.06949
419.2581, 13.68005
419.7403, 11.94992
420.2224, 8.964447
420.7045, 8.769379
421.1866, 15.74890
421.6687, 24.99274
422.1508, 29.92233
422.6330, 30.65909
423.1151, 29.41156
423.5972, 26.95648
424.0793, 23.28278
424.5614, 17.09103
425.0435, 5.007660
425.5257, 0.1142270
426.0078, 13.47217
426.4899, 31.36859
426.9720, 38.56503
427.4541, 33.86484
427.9362, 24.91449
428.4184, 18.00134
428.9005, 13.06415
429.3826, 8.419891
429.8647, 2.228241
430.3468, 1.403625
430.8289, 0.1905520
431.3111, 3.360596
431.7932, 6.636627
432.2753, 9.042938
432.7574, 11.07333
433.2395, 11.76498
433.7216, 10.96085
434.2038, 10.73444
434.6859, 12.54001
435.1680, 13.44531
435.6501, 11.91983
436.1322, 9.408752
436.6143, 7.068481
437.0965, 5.101105
437.5786, 4.031769
438.0607, 4.441406
438.5428, 6.161987
439.0249, 5.873932
439.5070, 1.414001
439.9892, 3.823975
440.4713, 3.873383
440.9534, 1.875549
441.4355, 7.953522
441.9176, 14.58417
442.3997, 20.04947
442.8819, 22.14142
443.3640, 21.36551
443.8461, 20.41342
444.3282, 21.02457
444.8103, 22.58807
445.2924, 23.18164
445.7746, 20.13989
446.2567, 19.80405
446.7388, 26.71112
447.2209, 33.53949
447.7030, 31.85190
448.1852, 22.26971
448.6673, 14.59036
449.1494, 19.60544
449.6315, 35.57947
450.1136, 43.65396
450.5957, 40.65268
451.0779, 35.36865
451.5600, 27.72528
452.0421, 21.29288
452.5242, 21.25040
453.0063, 29.64377
453.4884, 39.47357
453.9706, 45.45370
454.4527, 48.33121
454.9348, 51.06967
455.4169, 54.69897
455.8990, 55.69080
456.3811, 49.06244
456.8633, 35.46936
457.3454, 27.55234
457.8275, 29.35233
458.3096, 32.71060
458.7917, 34.40765
459.2738, 35.00635
459.7560, 35.54333
460.2381, 36.39487
460.7202, 37.59018
461.2023, 39.30814
461.6844, 42.09305
462.1665, 43.44226
462.6487, 43.78824
463.1308, 42.00504
463.6129, 35.18253
464.0950, 26.67624
464.5771, 21.96799
465.0592, 23.26791
465.5414, 28.74182
466.0235, 37.60898
466.5056, 51.01440
466.9877, 57.85217
467.4698, 53.08844
467.9519, 42.99799
468.4341, 30.88760
468.9162, 17.59784
469.3983, 10.27835
469.8804, 16.44388
470.3625, 25.61810
470.8446, 27.75558
471.3268, 23.72629
471.8089, 18.94998
472.2910, 15.38580
472.7731, 12.79480
473.2552, 10.48267
473.7373, 6.088928
474.2195, 7.660675
474.7016, 24.05347
475.1837, 38.85071
475.6658, 38.36151
476.1479, 25.94101
476.6300, 14.51944
477.1122, 12.69904
477.5943, 17.72430
478.0764, 21.04950
478.5585, 22.68604
479.0406, 22.63660
479.5227, 17.47076
480.0049, 13.04102
480.4870, 15.04730
480.9691, 22.91879
