##NAMES=Bismuthinite
##RRUFFID=R070617
##IDEAL CHEMISTRY=Bi^3+^_2_S^2-^_3_
##LOCALITY=Hachita, Grants County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Steel-gray metallic massive lamellar, associated with quartz.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070617
321.6645, 33.57080
322.1466, 46.82568
322.6287, 49.91797
323.1108, 43.41016
323.5929, 26.92920
324.0750, 6.133789
324.5572, 8.310059
325.0393, 16.31396
325.5214, 17.69824
326.0035, 5.258301
326.4856, 10.57031
326.9677, 17.39795
327.4499, 12.50537
327.9320, 5.052246
328.4141, 7.882324
328.8962, 28.44092
329.3783, 40.38867
329.8604, 31.00732
330.3426, 22.28662
330.8247, 36.36133
331.3068, 72.19287
331.7889, 104.8872
332.2710, 106.0464
332.7531, 65.68555
333.2353, 51.27393
333.7174, 90.39258
334.1995, 124.9058
334.6816, 121.0581
335.1637, 86.39160
335.6458, 49.15771
336.1280, 29.75781
336.6101, 28.12842
337.0922, 42.96680
337.5743, 92.93945
338.0564, 138.4692
338.5385, 167.8984
339.0207, 186.1157
339.5028, 205.7847
339.9849, 235.8545
340.4670, 267.9175
340.9491, 264.3789
341.4312, 181.9131
341.9134, 116.3662
342.3955, 76.26855
342.8776, 58.85010
343.3597, 66.29004
343.8418, 98.92725
344.3239, 142.2749
344.8061, 165.9653
345.2882, 155.6963
345.7703, 153.2476
346.2524, 160.5547
346.7345, 175.5122
347.2166, 204.6284
347.6988, 245.7593
348.1809, 279.7949
348.6630, 277.9897
349.1451, 228.8257
349.6272, 189.3315
350.1093, 148.8535
350.5915, 128.2642
351.0736, 150.3848
351.5557, 205.9502
352.0378, 260.3564
352.5199, 281.0825
353.0020, 269.3154
353.4842, 267.8584
353.9663, 292.7080
354.4484, 306.9990
354.9305, 286.6094
355.4126, 246.5073
355.8947, 216.5962
356.3769, 216.7339
356.8590, 237.0024
357.3411, 250.5547
357.8232, 258.3140
358.3053, 257.6924
358.7874, 231.2949
359.2696, 202.6519
359.7517, 203.2891
360.2338, 250.3472
360.7159, 310.6768
361.1980, 339.7183
361.6801, 334.3647
