##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
352.4286, 4.817749
352.9108, 5.556152
353.3929, 5.710266
353.8750, 4.593384
354.3571, 2.713501
354.8392, 1.269470
355.3214, 8.5510001E-02
355.8035, 0.4102780
356.2856, 0.6290280
356.7677, 2.341736
357.2498, 3.040894
357.7319, 2.148071
358.2141, 0.7116090
358.6962, 0.2127690
359.1783, 0.8457030
359.6604, 1.174927
360.1425, 0.7651370
360.6246, 0.1000980
361.1068, 0.4198610
361.5889, 0.6627200
362.0710, 0.4031980
362.5531, 0.7608640
363.0352, 2.750916
363.5173, 3.403442
363.9995, 1.412903
364.4816, 0.4884640
364.9637, 0.8344730
365.4458, 0.1323850
365.9279, 0.4714970
366.4100, 0.4735110
366.8922, 0.1459350
367.3743, 0.1573490
367.8564, 0.7521970
368.3385, 1.179138
368.8206, 1.087280
369.3027, 0.8821410
369.7849, 1.061096
370.2670, 1.781067
370.7491, 2.741699
371.2312, 3.590820
371.7133, 4.419983
372.1954, 4.754272
372.6776, 4.344299
373.1597, 3.695679
373.6418, 2.883484
374.1239, 2.066772
374.6060, 1.694580
375.0881, 2.236023
375.5703, 3.637695
376.0524, 3.948242
376.5345, 2.022522
377.0166, 0.4520260
377.4987, 9.4054997E-02
377.9808, 5.2855998E-02
378.4630, 0.4444580
378.9451, 0.8792720
379.4272, 1.274353
379.9093, 1.460388
380.3914, 1.652954
380.8735, 1.201416
381.3557, 1.086121
381.8378, 3.144592
382.3199, 3.181396
382.8020, 1.124756
383.2841, 1.573181
383.7662, 3.358948
384.2484, 4.151978
384.7305, 4.531677
385.2126, 3.982666
385.6947, 3.561523
386.1768, 3.680481
386.6589, 4.149292
387.1411, 4.554321
387.6232, 4.638123
388.1053, 4.489929
388.5874, 4.439087
389.0695, 4.545227
389.5516, 4.647339
390.0338, 4.632690
390.5159, 4.635620
390.9980, 4.824585
391.4801, 5.244751
391.9622, 5.706421
392.4443, 6.023071
392.9265, 6.208069
393.4086, 6.141724
393.8907, 5.547363
394.3728, 4.943848
394.8549, 4.577515
395.3370, 4.537964
395.8192, 4.580078
396.3013, 4.744385
396.7834, 4.865051
397.2655, 4.245667
397.7476, 2.523743
398.2297, 1.011169
398.7119, 0.3979490
399.1940, 0.3967900
399.6761, 0.7575070
400.1582, 1.504395
400.6403, 2.391296
401.1224, 3.394287
401.6046, 4.471741
402.0867, 4.768005
402.5688, 3.534912
403.0509, 1.951416
403.5330, 1.479126
404.0151, 2.130066
404.4973, 2.838379
404.9794, 3.072632
405.4615, 3.081238
405.9436, 3.386719
406.4257, 4.103210
406.9078, 4.678833
407.3900, 4.565308
407.8721, 3.895264
408.3542, 3.390930
408.8363, 3.181824
409.3184, 3.083740
409.8005, 3.135010
410.2827, 3.237610
410.7648, 2.969299
411.2469, 2.027527
411.7290, 0.8452150
412.2111, 0.4949340
