##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
412.7720, 40.45325
413.2542, 44.00537
413.7363, 33.45740
414.2184, 23.52576
414.7005, 22.29492
415.1826, 24.07312
415.6647, 24.15076
416.1469, 21.61755
416.6290, 20.06543
417.1111, 20.87634
417.5932, 24.10840
418.0753, 29.50464
418.5574, 44.69690
419.0396, 55.18237
419.5217, 48.17102
420.0038, 26.96191
420.4859, 13.19202
420.9680, 21.14087
421.4501, 36.04773
421.9323, 47.73486
422.4144, 53.75891
422.8965, 57.71533
423.3786, 59.87366
423.8607, 60.46619
424.3428, 60.14673
424.8250, 64.49036
425.3071, 62.93298
425.7892, 49.62183
426.2713, 14.30884
426.7534, 4.904053
427.2355, 3.128296
427.7177, 10.29041
428.1998, 23.84656
428.6819, 40.30835
429.1640, 51.07642
429.6461, 51.89429
430.1282, 42.98926
430.6104, 38.66235
431.0925, 39.54626
431.5746, 43.26086
432.0567, 48.48450
432.5388, 55.28784
433.0209, 60.31201
433.5031, 63.51624
433.9852, 63.96326
434.4673, 56.71619
434.9494, 42.05908
435.4315, 30.06775
435.9136, 32.05530
436.3958, 42.36584
436.8779, 45.54492
437.3600, 37.57324
437.8421, 27.34338
438.3242, 24.97327
438.8063, 28.39612
439.2885, 31.79675
439.7706, 30.60632
440.2527, 28.94373
440.7348, 32.76086
441.2169, 43.49683
441.6990, 48.90759
442.1812, 32.75525
442.6633, 10.55188
443.1454, 0.5500490
443.6275, 21.96008
444.1096, 43.40503
444.5917, 53.85278
445.0739, 53.68530
445.5560, 51.56482
446.0381, 47.43079
446.5202, 43.08459
