##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
474.7221, 1.388977
475.2042, 1.831985
475.6863, 1.976852
476.1684, 1.914810
476.6505, 1.953766
477.1327, 2.221771
477.6148, 2.435730
478.0969, 2.132584
478.5790, 1.188126
479.0611, 0.6962130
479.5432, 1.184402
480.0254, 1.750549
480.5075, 1.792007
480.9896, 1.431137
481.4717, 1.119171
481.9538, 1.127350
482.4359, 1.309494
482.9181, 1.233521
483.4002, 0.3733980
483.8823, 4.2739999E-02
484.3644, 0.7342680
484.8465, 1.572250
485.3286, 1.934113
485.8108, 1.788605
486.2929, 1.448486
486.7750, 1.143829
487.2571, 0.8827360
487.7392, 0.7307970
488.2213, 0.7189410
488.7035, 0.7722400
489.1856, 0.8652040
489.6677, 1.003937
490.1498, 1.214211
490.6319, 1.506294
491.1140, 1.791420
491.5962, 1.987808
492.0783, 2.097862
492.5604, 2.134262
493.0425, 2.094536
493.5246, 1.989395
494.0067, 1.780685
494.4889, 1.513939
494.9710, 1.284370
495.4531, 1.073891
495.9352, 0.9522320
496.4173, 1.021446
496.8994, 1.236412
497.3816, 1.464157
497.8637, 1.691849
498.3458, 1.807320
498.8279, 1.577332
499.3100, 0.8765110
499.7921, 0.4783400
500.2743, 0.7115330
500.7564, 1.018585
501.2385, 0.9612960
501.7206, 0.6515880
502.2027, 0.5182040
502.6848, 0.8090060
503.1670, 1.334030
503.6491, 1.513000
504.1312, 1.017258
504.6133, 0.6944660
505.0954, 0.7215580
505.5775, 0.7979510
506.0597, 0.6812130
506.5418, 0.3992080
507.0239, 0.1701580
507.5060, 0.1778640
507.9881, 0.3731230
508.4702, 0.5129470
508.9524, 0.5525360
509.4345, 0.6401980
509.9166, 0.8924410
510.3987, 1.174927
510.8808, 1.401573
511.3629, 1.559654
511.8451, 1.566986
512.3271, 1.154495
512.8093, 0.5496140
513.2914, 0.5159990
513.7735, 1.238541
514.2556, 1.926819
514.7377, 2.060860
515.2198, 1.709633
515.7020, 1.194954
516.1841, 0.2353210
516.6662, 0.4684680
517.1483, 0.4145200
517.6304, 4.1763000E-02
518.1125, 0.2787020
518.5947, 0.1487350
519.0768, 1.8074000E-02
519.5589, 0.3389510
520.0410, 1.209343
520.5231, 1.524651
521.0052, 0.8502880
521.4874, 0.2035830
521.9695, 0.1510850
522.4516, 0.2633970
522.9337, 0.2102740
523.4158, 2.5116000E-02
523.8979, 0.2667770
524.3801, 0.6876070
524.8622, 1.309677
525.3443, 1.673172
525.8264, 1.608429
526.3085, 1.442116
526.7906, 1.283012
527.2728, 1.129631
527.7549, 1.031151
528.2370, 1.063301
528.7191, 1.098793
529.2012, 0.9105150
529.6833, 0.5220790
530.1655, 0.3084870
530.6476, 0.4229740
531.1297, 0.6413880
531.6118, 0.7331470
532.0939, 0.7134400
532.5760, 0.6463700
533.0582, 0.3820880
533.5403, 0.2158890
534.0224, 0.4803850
534.5045, 1.038643
534.9866, 1.494728
535.4688, 1.678848
535.9509, 1.643799
536.4330, 1.463783
536.9151, 1.000893
537.3972, 0.7342220
537.8793, 0.7839660
538.3615, 0.8994520
538.8436, 1.007774
539.3257, 1.065331
539.8078, 0.9791030
540.2899, 0.6764140
540.7720, 0.3110430
541.2542, 0.2640910
541.7363, 0.6346740
542.2184, 0.9896770
542.7005, 1.288918
543.1826, 1.529594
543.6647, 1.774590
544.1469, 1.973427
544.6290, 1.937599
545.1111, 1.354683
545.5932, 0.6429980
546.0753, 0.5249400
546.5574, 0.9784240
547.0396, 1.326698
547.5217, 1.295898
548.0038, 1.071434
548.4859, 0.9300000
548.9680, 0.8797070
549.4501, 0.8117450
549.9323, 0.7074050
550.4144, 0.5788880
550.8965, 0.4070280
551.3786, 0.2134480
551.8607, 7.3601000E-02
552.3428, 2.7145000E-02
552.8250, 5.6999002E-02
553.3071, 0.1136700
553.7892, 0.1133650
554.2713, 0.3051680
554.7534, 0.9541700
555.2355, 1.531105
555.7177, 1.672249
556.1998, 1.480705
556.6819, 1.312187
557.1640, 1.413475
557.6461, 1.588684
558.1282, 1.334404
558.6104, 0.5536800
559.0925, 2.8175000E-02
559.5746, 0.1599500
560.0567, 0.1003110
560.5388, 8.0321997E-02
561.0209, 9.1582999E-02
561.5031, 6.7703001E-02
561.9852, 1.1520000E-03
562.4673, 0.1246800
562.9494, 0.3510280
563.4315, 0.6601720
563.9136, 1.003342
564.3958, 1.395409
564.8779, 1.698990
565.3600, 1.646484
565.8421, 1.037109
566.3242, 0.6850430
566.8063, 0.6942900
567.2885, 0.7941670
567.7706, 0.8602830
568.2527, 0.9179840
568.7348, 1.083496
569.2169, 1.420708
569.6990, 1.760162
570.1812, 1.695374
570.6633, 1.055138
571.1454, 0.6344450
571.6275, 0.6613620
572.1096, 0.7525330
572.5917, 0.6920930
573.0739, 0.5493470
573.5560, 0.5154650
574.0381, 0.7365260
574.5202, 0.9369810
575.0023, 0.8083800
575.4844, 0.4330220
575.9666, 0.1344760
576.4487, 1.0788000E-02
576.9308, 3.3484999E-02
577.4129, 8.0367997E-02
577.8950, 0.3330080
578.3771, 0.4680400
578.8593, 0.3590620
579.3414, 0.2617720
579.8235, 0.2964400
580.3056, 0.4078980
580.7877, 0.4995270
581.2698, 0.5490950
581.7520, 0.6273420
582.2341, 0.8897320
582.7162, 1.403603
583.1984, 1.441254
583.6805, 0.3834000
584.1626, 0.3795620
584.6447, 0.2620320
585.1268, 0.2601470
585.6089, 0.6089020
586.0911, 0.6332240
586.5732, 0.5527570
587.0553, 0.5175930
587.5374, 0.5393220
588.0195, 0.7308200
588.5016, 1.166016
588.9838, 1.431213
589.4659, 1.176926
589.9480, 0.5793840
590.4301, 0.1816410
590.9122, 4.1499999E-03
591.3943, 6.4099999E-04
591.8765, 0.2703930
592.3586, 0.6321950
592.8407, 0.8727570
593.3228, 0.9746020
593.8049, 1.049217
594.2870, 1.191818
594.7692, 1.354385
595.2513, 1.282021
595.7334, 0.6699370
596.2155, 0.3730010
596.6976, 0.7741010
597.1797, 1.237183
597.6619, 1.307816
598.1440, 1.023430
598.6261, 0.7119060
599.1082, 0.5097580
599.5903, 0.4579010
600.0724, 0.7586210
600.5546, 1.414383
601.0367, 1.752579
601.5188, 1.436905
602.0009, 0.8999100
602.4830, 0.6808400
602.9651, 0.7647400
603.4473, 0.9105000
603.9294, 1.179001
604.4115, 1.425346
604.8936, 1.513077
605.3757, 1.501602
605.8578, 1.521408
606.3400, 1.616226
606.8221, 1.634384
607.3042, 1.304283
607.7863, 0.5187910
608.2684, 9.3062997E-02
608.7505, 0.3240970
609.2327, 0.5878680
609.7148, 0.6852260
610.1969, 0.7210310
610.6790, 0.8716580
611.1611, 1.187920
611.6432, 1.447021
612.1254, 1.333153
612.6075, 1.006966
613.0896, 1.077621
613.5717, 1.662231
614.0538, 2.049835
614.5359, 1.713692
615.0181, 0.9168240
615.5002, 0.4405750
615.9823, 0.3269200
616.4644, 0.3812260
616.9465, 0.7314070
617.4286, 1.100899
617.9108, 1.266090
618.3929, 1.235367
618.8750, 1.129250
619.3571, 1.021461
619.8392, 0.9144290
620.3214, 0.7967990
620.8035, 0.6414790
621.2856, 0.5588840
621.7677, 0.7248540
622.2498, 0.8056490
622.7319, 0.5026170
623.2141, 2.2659000E-02
623.6962, 0.3456120
624.1783, 0.2654420
624.6604, 6.1110002E-03
625.1425, 0.3366850
625.6246, 0.6882480
626.1068, 0.7333830
626.5889, 0.3751530
627.0710, 2.5734000E-02
627.5531, 0.1301350
628.0352, 4.8813000E-02
628.5173, 0.2014620
628.9995, 0.3178410
629.4816, 0.4238660
629.9637, 0.5312350
630.4458, 0.6267930
