##NAMES=Graphite
##RRUFFID=R120025
##IDEAL CHEMISTRY=C
##LOCALITY=Saint-Sauveur Graphite occurrence, Saint-Sauveur, Les Pays-d'en-Haut RCM, Laurentides, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Semi-metallic, dark gray flakes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120025
502.0535, 0.2540890
502.5356, 0.2405190
503.0178, 0.2192130
503.4999, 0.1566890
503.9820, 0.1214130
504.4641, 0.1418790
504.9462, 0.2181400
505.4283, 0.2573000
505.9105, 0.2487350
506.3926, 0.2336750
506.8747, 0.2470540
507.3568, 0.2921230
507.8389, 0.3494810
508.3210, 0.4329290
508.8032, 0.4995900
509.2853, 0.4394830
509.7674, 0.2625950
510.2495, 0.1370700
510.7316, 0.1647990
511.2137, 0.2743030
511.6959, 0.3041220
512.1780, 0.2600940
512.6601, 0.2226390
513.1422, 0.2797680
513.6243, 0.3668130
514.1064, 0.3931190
514.5886, 0.3270900
515.0707, 0.2580120
515.5528, 0.2572410
516.0349, 0.2844560
516.5170, 0.2812880
516.9991, 0.1535170
517.4813, 6.9310002E-02
517.9634, 0.1416040
518.4455, 0.3404220
518.9276, 0.4152480
519.4097, 0.1727650
519.8918, 5.5581000E-02
520.3740, 0.1248330
520.8561, 3.0221000E-02
521.3382, 0.1340670
521.8203, 0.1699540
522.3024, 0.1647260
522.7845, 0.1359620
523.2667, 7.5388998E-02
523.7488, 4.1421000E-02
524.2309, 5.8060002E-02
524.7130, 9.8383002E-02
525.1951, 7.5011998E-02
525.6772, 9.2930002E-03
526.1594, 7.1486004E-02
526.6415, 5.4595001E-02
527.1236, 1.5892001E-02
527.6057, 9.7746000E-02
528.0878, 0.1899030
528.5699, 0.2529400
529.0521, 0.2138710
529.5342, 0.1319140
530.0163, 0.1028910
530.4984, 0.2046310
530.9805, 0.2769860
531.4626, 0.1808890
531.9448, 8.3400001E-04
532.4269, 0.1079800
532.9090, 5.1731002E-02
533.3911, 3.2320999E-02
533.8732, 9.8773003E-02
534.3553, 0.1442920
534.8375, 0.2061320
535.3196, 0.3168610
535.8017, 0.4117250
536.2838, 0.4538910
536.7659, 0.4309520
537.2480, 0.3823760
537.7302, 0.2830040
538.2123, 0.1924960
538.6944, 0.2293830
539.1765, 0.4071910
539.6586, 0.5185170
540.1407, 0.4850670
540.6229, 0.3689580
541.1050, 0.3061220
541.5871, 0.2943820
542.0692, 0.3113650
542.5513, 0.3684550
543.0334, 0.4363040
543.5156, 0.4690380
543.9977, 0.4632830
544.4798, 0.4377890
544.9619, 0.3895530
545.4440, 0.3351740
545.9261, 0.2937090
546.4083, 0.2842110
546.8904, 0.2689190
547.3725, 0.2233490
547.8546, 0.1638700
548.3367, 0.1244970
548.8188, 0.1190240
549.3010, 0.1251450
549.7831, 0.1357770
550.2652, 0.1521020
550.7473, 0.1949260
551.2294, 0.2980970
551.7115, 0.3701990
552.1937, 0.3294430
552.6758, 0.1554490
553.1579, 7.7777997E-02
553.6400, 0.1286410
554.1221, 0.2138480
554.6042, 0.1815910
555.0864, 5.6789000E-02
555.5685, 4.1120001E-03
556.0506, 0.1153150
556.5327, 0.2680540
557.0148, 0.2709050
557.4969, 0.1585070
557.9791, 6.0947001E-02
558.4612, 4.8542999E-02
558.9433, 8.4964000E-02
559.4254, 0.1676230
559.9075, 0.2975620
560.3896, 0.3726320
560.8718, 0.2937610
561.3539, 0.1786340
561.8360, 0.1148520
562.3181, 0.1546160
562.8002, 0.1863720
563.2823, 0.1971490
563.7645, 0.1992620
564.2466, 0.2116480
564.7287, 0.2382460
565.2108, 0.2664000
565.6929, 0.2948120
566.1750, 0.3222930
566.6572, 0.3496100
567.1393, 0.3794410
567.6214, 0.3882090
568.1035, 0.3399130
568.5856, 0.2564210
569.0677, 0.2301380
569.5499, 0.2674950
570.0320, 0.3115860
570.5141, 0.3136990
570.9962, 0.2928940
571.4783, 0.2754140
571.9604, 0.2758830
572.4426, 0.2763130
572.9247, 0.2604180
573.4068, 0.2336190
573.8889, 0.2052170
574.3710, 0.1733640
574.8531, 0.1456050
575.3353, 0.1176720
575.8174, 9.1995999E-02
576.2995, 9.6726999E-02
576.7816, 0.1819150
577.2637, 0.2384380
577.7458, 0.1926500
578.2280, 2.3250000E-03
578.7101, 3.8114000E-02
579.1922, 0.1160590
579.6743, 0.2989150
580.1564, 0.3183100
580.6385, 0.1841550
581.1207, 7.1534000E-02
581.6028, 7.5900001E-03
582.0849, 1.3057000E-02
582.5670, 1.0926000E-02
583.0491, 7.2509997E-02
583.5313, 0.1508650
584.0134, 0.2976020
584.4955, 0.4116080
584.9776, 0.3514150
585.4597, 0.1485980
585.9418, 3.1119999E-03
586.4240, 3.2931000E-02
586.9061, 0.1124170
587.3882, 0.1548880
587.8703, 0.1463270
588.3524, 0.1194130
588.8345, 3.1753998E-02
589.3167, 4.2378999E-02
589.7988, 3.8671002E-02
590.2809, 8.6020999E-02
590.7630, 0.1784870
591.2451, 0.2158140
591.7272, 0.2236560
592.2094, 0.2549590
592.6915, 0.3107500
593.1736, 0.3718230
593.6557, 0.4441520
594.1378, 0.5091560
594.6199, 0.5156260
595.1021, 0.4681510
595.5842, 0.4045300
596.0663, 0.3475580
596.5484, 0.2889030
597.0305, 0.2031890
597.5126, 8.6372003E-02
597.9948, 9.3080001E-03
598.4769, 5.8683999E-02
598.9590, 0.1383890
599.4411, 0.1658500
599.9232, 7.1203999E-02
600.4053, 1.2936000E-02
600.8875, 4.0626999E-02
601.3696, 0.1087240
601.8517, 0.1531070
602.3338, 0.1508720
602.8159, 0.1709550
603.2980, 0.2343220
603.7802, 0.3264890
604.2623, 0.4124580
604.7444, 0.4981370
605.2265, 0.5215210
605.7086, 0.4094590
606.1907, 0.2086300
606.6729, 7.5869001E-02
607.1550, 1.0895000E-02
607.6371, 1.3360000E-02
608.1192, 6.9559999E-03
608.6013, 2.3541000E-02
609.0834, 7.8424998E-02
609.5656, 0.1647260
610.0477, 0.2329050
610.5298, 0.2521470
611.0119, 0.2420180
611.4940, 0.2246460
611.9761, 0.1825030
612.4583, 0.1604670
612.9404, 0.1782430
613.4225, 0.2181920
613.9046, 0.2428990
614.3867, 0.2459980
614.8688, 0.2458860
615.3510, 0.2510960
615.8331, 0.2577860
616.3152, 0.2291250
616.7973, 0.1589390
617.2794, 0.1161840
617.7615, 0.1897980
618.2437, 0.3246560
618.7258, 0.3487560
619.2079, 0.2494700
619.6900, 0.1448610
620.1721, 0.1485820
620.6542, 0.2003870
621.1364, 0.2231560
621.6185, 0.1877350
622.1006, 0.1478240
622.5827, 0.1103080
623.0648, 8.7421998E-02
623.5469, 9.6261002E-02
624.0291, 0.2048580
624.5112, 0.2651690
624.9933, 0.2270420
625.4754, 0.1278120
625.9575, 0.1103660
626.4396, 0.2226320
626.9218, 0.2720360
627.4039, 0.1400160
627.8860, 0.1246130
628.3681, 0.2056630
628.8502, 9.8012999E-02
629.3323, 5.3741001E-02
629.8145, 0.1590800
630.2966, 0.2277560
630.7787, 0.2789260
631.2608, 0.3141420
631.7429, 0.3345400
632.2250, 0.3373160
632.7072, 0.3272950
633.1893, 0.3097780
633.6714, 0.2840140
634.1535, 0.2529180
634.6356, 0.2060000
635.1177, 0.1583760
635.5999, 0.1326840
636.0820, 0.1268860
636.5641, 0.1460440
637.0462, 0.2186500
637.5283, 0.3136730
638.0104, 0.3259170
638.4926, 0.2426900
638.9747, 0.1732990
639.4568, 0.1719900
639.9389, 0.2212220
640.4210, 0.2615100
640.9031, 0.2928120
641.3853, 0.3265120
641.8674, 0.4039350
642.3495, 0.4729030
642.8316, 0.4560570
643.3137, 0.3237400
643.7958, 0.2038380
644.2780, 0.1495240
644.7601, 0.1418370
645.2422, 0.1653530
645.7243, 0.2253440
646.2064, 0.3074500
646.6885, 0.4483910
647.1707, 0.5842210
647.6528, 0.6232020
648.1349, 0.5277510
648.6170, 0.4737970
649.0991, 0.5159200
649.5812, 0.5954460
650.0634, 0.5555300
650.5455, 0.4048370
651.0276, 0.2740770
651.5097, 0.2263750
651.9918, 0.2320090
652.4739, 0.2704100
652.9561, 0.3298000
653.4382, 0.3505150
653.9203, 0.2633460
654.4024, 0.1549860
654.8845, 6.9776997E-02
655.3666, 1.4439000E-02
655.8488, 5.1890002E-03
656.3309, 5.5110000E-02
656.8130, 0.1195160
657.2951, 0.1390840
657.7772, 8.7435998E-02
658.2593, 6.2401000E-02
658.7415, 7.0876002E-02
659.2236, 9.5885001E-02
659.7057, 0.1089130
660.1878, 0.1108470
660.6699, 0.1678450
661.1520, 0.3131710
661.6342, 0.4604010
662.1163, 0.4768610
662.5984, 0.3955750
663.0805, 0.3027400
663.5626, 0.2168530
664.0447, 0.1484500
664.5269, 0.1153280
665.0090, 0.1067310
665.4911, 8.9780003E-02
665.9732, 2.5738999E-02
666.4553, 1.5923001E-02
666.9374, 5.4139998E-03
667.4196, 5.3885002E-02
667.9017, 0.1221430
668.3838, 0.2026050
668.8659, 0.2878720
669.3480, 0.3964810
669.8301, 0.5268020
670.3123, 0.5293750
670.7944, 0.3892010
671.2765, 0.2345130
671.7586, 0.1693280
672.2407, 0.1741840
672.7228, 0.2208600
673.2050, 0.3151560
673.6871, 0.3889940
674.1692, 0.3865360
674.6513, 0.3376830
675.1334, 0.2729280
675.6155, 0.1421790
676.0977, 8.2684003E-02
676.5798, 0.2024000
677.0619, 0.3867900
677.5440, 0.4607420
678.0261, 0.3653850
678.5082, 0.2817250
678.9904, 0.2377720
679.4725, 0.2262400
679.9546, 0.2353510
680.4367, 0.2652650
680.9188, 0.2877300
681.4009, 0.2937460
681.8831, 0.2826680
682.3652, 0.2390410
682.8473, 0.1711750
683.3294, 0.1225260
683.8115, 0.1271630
684.2936, 0.1533850
684.7758, 0.1821780
685.2579, 0.2118020
685.7400, 0.2299760
686.2221, 0.2419020
686.7042, 0.2550560
687.1863, 0.2678740
687.6685, 0.2730700
