##NAMES=Pyrrhotite
##RRUFFID=R061127
##IDEAL CHEMISTRY=Fe^2+^_5_Fe^3+^_2_S^2-^_8_
##LOCALITY=Morro Velho Gold mine, Nova Umha, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brass colored, prismatic crystals associated with quartz and dolomite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061127
602.6130, 0.1125940
603.0952, 1.462156
603.5773, 2.223501
604.0594, 1.624740
604.5415, 1.227641
605.0236, 2.069515
605.5057, 3.528939
605.9879, 4.738692
606.4700, 5.530722
606.9521, 5.969517
607.4342, 6.057066
607.9163, 5.850871
608.3984, 5.799034
608.8806, 6.368427
609.3627, 6.427578
609.8448, 5.544914
610.3269, 4.386889
610.8090, 3.222133
611.2911, 2.237696
611.7733, 1.867856
612.2554, 2.708264
612.7375, 4.100871
613.2196, 4.465304
613.7017, 3.722968
614.1838, 2.695667
614.6660, 1.205763
615.1481, 3.9624002E-02
615.6302, 0.4314250
616.1123, 2.253842
616.5944, 3.588240
617.0765, 3.922994
617.5587, 3.766518
618.0408, 3.042887
618.5229, 2.141182
619.0050, 1.961149
619.4871, 2.803012
619.9692, 4.009994
620.4514, 4.697934
620.9335, 4.796673
621.4156, 4.936127
621.8977, 5.379702
622.3798, 5.476366
622.8619, 4.476256
623.3441, 3.130045
623.8262, 2.305799
624.3083, 2.213000
624.7904, 2.518196
625.2725, 3.282759
625.7546, 4.194945
626.2367, 4.233490
626.7188, 3.151357
627.2009, 2.329981
627.6830, 2.845008
628.1652, 4.059036
628.6473, 3.857144
629.1294, 1.525590
629.6115, 8.6153001E-02
630.0936, 0.4347530
630.5757, 4.4248000E-02
631.0579, 1.134942
631.5400, 2.715332
632.0221, 3.806053
632.5042, 3.935045
632.9863, 3.687330
633.4684, 4.307255
633.9506, 6.133353
634.4327, 7.160801
634.9148, 7.141459
635.3969, 6.447546
635.8790, 4.801533
636.3611, 2.795373
636.8433, 1.357494
637.3254, 0.6101670
637.8075, 0.9162290
638.2896, 3.391675
638.7717, 6.607327
639.2538, 7.913704
639.7360, 6.977535
640.2181, 5.729366
640.7002, 5.522026
641.1823, 6.078399
641.6644, 6.268711
642.1465, 5.890680
642.6287, 5.397469
643.1108, 4.564606
643.5929, 3.816442
644.0750, 3.336449
644.5571, 3.189273
645.0392, 3.488326
645.5214, 4.362719
646.0035, 5.487370
646.4856, 6.443890
646.9677, 7.231154
647.4498, 7.369126
647.9319, 6.489168
648.4141, 5.541143
648.8962, 5.666877
649.3783, 6.411770
649.8604, 5.983631
650.3425, 2.361145
650.8246, 0.1110760
651.3068, 2.669549
651.7889, 6.734556
652.2710, 8.203457
652.7531, 6.635136
653.2352, 3.851179
653.7173, 1.046685
654.1995, 1.535052
