##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
465.6832, 3.041687
466.1653, 6.931976
466.6474, 6.057678
467.1295, 27.36365
467.6116, 43.17569
468.0938, 46.33554
468.5759, 40.89600
469.0580, 35.21826
469.5401, 28.83481
470.0222, 23.35431
470.5043, 17.44904
470.9865, 13.76300
471.4686, 15.59167
471.9507, 22.51074
472.4328, 29.06287
472.9149, 32.37109
473.3970, 31.92297
473.8792, 24.37909
474.3613, 6.237671
474.8434, 8.856125
475.3255, 8.530823
475.8076, 0.8455200
476.2897, 6.037567
476.7719, 1.322266
477.2540, 3.209885
477.7361, 0.5482480
478.2182, 10.27905
478.7003, 19.33932
479.1824, 25.58096
479.6646, 29.80804
480.1467, 33.66409
480.6288, 38.59030
481.1109, 37.70233
481.5930, 23.87909
482.0751, 9.425323
482.5573, 2.849701
483.0394, 4.055115
483.5215, 9.556427
484.0036, 17.68304
484.4857, 27.20355
484.9678, 29.72018
485.4500, 17.94717
485.9321, 8.583923
486.4142, 3.020844
486.8963, 1.181519
487.3784, 3.859589
487.8605, 10.84154
488.3427, 19.44678
488.8248, 27.96451
489.3069, 36.56667
489.7890, 40.29131
490.2711, 37.18207
490.7532, 31.18866
491.2354, 21.84001
491.7175, 11.63458
492.1996, 6.519409
492.6817, 11.23193
493.1638, 19.54745
493.6459, 24.30211
494.1281, 25.58685
494.6102, 26.78322
495.0923, 30.85466
495.5744, 34.15396
496.0565, 27.97408
496.5386, 8.872604
497.0208, 3.051987
497.5029, 3.688065
497.9850, 15.56152
498.4671, 17.22012
498.9492, 8.647842
499.4313, 1.445892
499.9135, 5.597534
500.3956, 19.86646
500.8777, 27.80019
501.3598, 22.58432
501.8419, 19.16570
502.3240, 23.61165
502.8062, 29.36728
503.2883, 26.04198
503.7704, 11.55168
504.2525, 1.953720
504.7346, 4.643555
505.2167, 35.58478
505.6989, 55.69781
506.1810, 58.55530
506.6631, 56.22675
507.1452, 52.40416
507.6273, 48.18956
508.1094, 45.71658
508.5916, 46.69351
509.0737, 48.83632
509.5558, 47.68028
510.0379, 43.47339
510.5200, 44.51677
511.0021, 56.85600
