##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
652.9919, 11.91554
653.4740, 14.96563
653.9561, 20.14305
654.4382, 28.34435
654.9203, 33.23371
655.4025, 33.22973
655.8846, 30.27705
656.3667, 24.46662
656.8488, 12.69215
657.3309, 8.367897
657.8130, 14.40411
658.2952, 23.72770
658.7773, 24.74921
659.2594, 18.03117
659.7415, 13.54228
660.2236, 14.70928
660.7057, 17.77195
661.1879, 17.85872
661.6700, 15.47945
662.1521, 12.02988
662.6342, 5.231430
663.1163, 0.1343460
663.5984, 0.9229090
664.0806, 6.942463
664.5627, 12.36855
665.0448, 17.60851
665.5269, 20.08818
666.0090, 17.50349
666.4911, 8.500946
666.9733, 5.389015
667.4554, 10.77934
667.9375, 16.88230
668.4196, 15.72179
668.9017, 7.681274
669.3839, 5.694500
669.8660, 11.80173
670.3481, 19.80374
670.8302, 22.16199
671.3123, 20.99669
671.7944, 21.21078
672.2766, 26.44698
672.7587, 29.96577
673.2408, 25.54186
673.7229, 16.46840
674.2050, 9.116512
674.6871, 5.758034
675.1693, 3.789291
675.6514, 2.257523
676.1335, 1.406898
676.6156, 3.255802
677.0977, 9.756485
677.5798, 14.42710
678.0620, 12.81974
678.5441, 6.417221
679.0262, 5.257118
679.5083, 9.493492
679.9904, 13.43466
680.4725, 9.288002
680.9547, 2.694920
681.4368, 5.615944
681.9189, 20.55912
682.4010, 33.81435
682.8831, 35.22941
683.3652, 30.64327
683.8474, 25.74673
684.3295, 21.23566
684.8116, 17.02845
685.2937, 11.12112
685.7758, 7.219307
686.2579, 10.73838
686.7401, 26.31516
687.2222, 36.27482
687.7043, 36.22007
688.1864, 29.84307
688.6685, 25.04732
689.1506, 21.98197
689.6328, 20.46553
690.1149, 21.28997
690.5970, 23.07426
691.0791, 23.23874
691.5612, 22.26753
692.0433, 22.59074
692.5255, 27.21112
693.0076, 32.19289
693.4897, 35.99826
693.9718, 38.72543
694.4539, 36.84992
694.9360, 24.44186
695.4182, 12.22831
695.9003, 6.121620
696.3824, 7.272099
696.8645, 10.74040
697.3466, 17.69539
697.8287, 23.89966
698.3109, 24.40723
698.7930, 20.03116
699.2751, 14.03412
699.7572, 6.106716
700.2393, 0.2588620
700.7214, 1.039486
