##NAMES=Yarrowite
##RRUFFID=R060536
##IDEAL CHEMISTRY=Cu_9_S_8_
##LOCALITY=Yarrow Creek, southwestern Alberta, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black metallic massive, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060536
387.650, 360.814
388.132, 348.684
388.615, 344.131
389.097, 356.556
389.579, 373.729
390.061, 385.247
390.543, 390.611
391.025, 393.612
391.507, 404.808
391.989, 412.137
392.471, 402.641
392.954, 360.962
393.436, 312.792
393.918, 262.374
394.400, 212.081
394.882, 173.875
395.364, 151.051
395.846, 142.962
396.328, 153.327
396.810, 207.909
397.293, 241.542
397.775, 231.041
398.257, 193.099
398.739, 165.408
399.221, 152.402
399.703, 148.201
400.185, 152.405
400.668, 167.472
401.150, 182.258
401.632, 202.493
402.114, 218.063
402.596, 213.120
403.078, 169.460
403.560, 144.542
404.042, 160.188
404.524, 211.621
405.007, 230.155
405.489, 206.684
405.971, 171.507
406.453, 147.356
406.935, 134.560
407.417, 130.808
407.899, 138.369
408.381, 151.834
408.863, 157.205
409.346, 154.088
409.828, 151.914
410.310, 157.636
410.792, 169.331
411.274, 164.809
411.756, 130.763
412.238, 131.658
412.720, 101.366
413.203, 142.359
413.685, 166.035
414.167, 173.335
414.649, 115.217
415.131, 141.555
415.613, 134.047
416.095, 143.286
416.577, 140.889
417.060, 150.714
417.542, 162.114
418.024, 170.787
418.506, 181.438
418.988, 174.242
419.470, 164.404
419.952, 120.100
420.434, 152.259
420.916, 165.852
421.398, 161.877
421.881, 87.705
422.363, 104.156
422.845, 84.280
423.327, 62.948
423.809, 72.156
424.291, 55.159
424.773, 59.436
425.255, 85.794
425.738, 140.855
426.220, 161.090
426.702, 125.477
427.184, 73.231
427.666, 36.138
428.148, 19.882
428.630, 8.855
429.112, 0.481
429.595, 5.174
430.077, 14.862
430.559, 31.369
431.041, 43.951
431.523, 45.218
432.005, 35.001
432.487, 26.230
432.969, 21.277
433.451, 13.884
433.934, 9.729
434.416, 47.868
434.898, 81.188
435.380, 101.911
435.862, 112.036
436.344, 114.114
436.826, 108.229
437.308, 101.187
437.790, 92.960
438.273, 86.187
438.755, 89.638
439.237, 116.920
439.719, 139.376
440.201, 118.033
440.683, 67.573
441.165, 37.070
441.647, 75.060
442.129, 127.390
442.612, 152.372
443.094, 137.168
443.576, 120.298
444.058, 118.279
444.540, 121.374
445.022, 116.831
445.504, 88.586
445.987, 65.910
446.469, 58.796
446.951, 68.243
447.433, 75.174
447.915, 81.564
448.397, 84.532
448.879, 79.763
449.361, 56.770
449.843, 50.279
450.326, 67.193
450.808, 99.833
451.290, 131.042
451.772, 165.263
452.254, 189.724
452.736, 198.238
453.218, 190.193
453.700, 163.228
454.182, 110.117
454.665, 60.755
455.147, 57.645
455.629, 95.354
456.111, 133.914
456.593, 168.659
457.075, 190.986
457.557, 167.615
458.039, 104.547
458.522, 60.071
459.004, 100.997
459.486, 176.283
459.968, 207.263
460.450, 173.677
460.932, 128.044
461.414, 106.632
461.896, 101.555
462.379, 98.339
462.861, 90.145
463.343, 83.024
463.825, 80.078
464.307, 79.914
464.789, 84.372
465.271, 99.013
465.753, 115.539
466.235, 127.614
466.717, 118.034
467.200, 124.116
467.682, 168.062
468.164, 229.092
468.646, 249.414
469.128, 197.448
469.610, 149.035
470.092, 133.006
470.574, 155.118
471.057, 169.955
471.539, 177.294
472.021, 177.437
472.503, 166.714
472.985, 143.003
473.467, 130.815
473.949, 142.961
474.431, 164.212
474.914, 141.965
475.396, 77.442
475.878, 26.303
476.360, 42.893
476.842, 99.235
477.324, 126.202
477.806, 113.754
478.288, 91.947
478.770, 93.217
479.253, 106.599
479.735, 110.775
480.217, 80.651
480.699, 51.465
481.181, 52.416
481.663, 80.028
482.145, 105.449
482.627, 117.338
483.109, 120.933
483.592, 119.582
484.074, 114.955
484.556, 101.924
485.038, 57.986
485.520, 7.024
486.002, 3.979
486.484, 66.009
486.966, 124.698
487.448, 146.398
487.931, 129.235
488.413, 125.662
488.895, 145.377
489.377, 165.230
489.859, 166.453
490.341, 146.938
490.823, 122.724
491.306, 91.678
491.788, 64.695
492.270, 72.498
492.752, 113.341
493.234, 136.502
493.716, 99.260
494.198, 27.125
494.680, 9.503
495.162, 10.191
495.645, 1.507
496.127, 9.552
496.609, 15.072
497.091, 20.580
497.573, 28.356
498.055, 33.108
498.537, 26.248
499.019, 12.698
499.501, 6.533
499.984, 23.565
500.466, 40.733
500.948, 45.131
501.430, 33.744
501.912, 22.587
502.394, 10.195
502.876, 1.922
503.358, 3.127
503.841, 29.757
504.323, 41.321
504.805, 23.739
505.287, 10.796
505.769, 15.568
506.251, 22.697
506.733, 56.854
507.215, 64.241
507.698, 43.729
508.180, 21.562
508.662, 3.670
509.144, 26.345
509.626, 41.275
510.108, 48.369
510.590, 46.539
511.072, 33.523
511.554, 13.816
512.036, 10.883
512.519, 38.145
513.001, 57.252
513.483, 54.987
513.965, 45.701
514.447, 46.575
514.929, 60.998
515.411, 67.920
515.893, 43.891
516.375, 11.316
516.858, 5.854
517.340, 3.845
517.822, 23.101
518.304, 62.646
518.786, 112.594
519.268, 129.119
519.750, 69.654
520.232, 21.810
520.715, 6.835
521.197, 20.950
521.679, 17.067
522.161, 39.114
522.643, 46.052
523.125, 7.419
523.607, 17.106
524.089, 10.373
524.571, 2.351
525.054, 37.848
525.536, 6.823
526.018, 27.984
526.500, 31.065
526.982, 48.666
527.464, 34.818
527.946, 30.692
528.429, 58.032
528.911, 67.944
529.393, 50.498
529.875, 69.032
530.357, 23.278
530.839, 39.179
531.321, 17.968
531.803, 27.131
532.286, 56.210
532.768, 77.723
533.250, 80.586
533.732, 78.507
534.214, 77.077
534.696, 76.485
535.178, 77.435
535.660, 87.036
536.142, 91.570
536.625, 74.715
537.107, 20.713
537.589, 0.213
538.071, 28.855
538.553, 84.759
539.035, 50.065
539.517, 111.704
539.999, 149.965
540.481, 166.108
540.964, 93.896
541.446, 135.784
541.928, 131.956
542.410, 126.249
542.892, 159.024
543.374, 175.429
543.856, 193.704
544.338, 151.019
544.820, 106.522
545.303, 103.760
545.785, 126.109
546.267, 146.518
546.749, 155.776
547.231, 161.148
547.713, 162.149
548.195, 159.358
548.677, 164.252
549.159, 191.561
549.642, 214.526
550.124, 219.756
550.606, 200.951
551.088, 181.309
551.570, 157.970
552.052, 137.596
552.534, 132.354
553.016, 145.666
553.499, 150.498
553.981, 134.078
554.463, 108.252
554.945, 107.861
555.427, 130.324
555.909, 145.842
556.391, 125.723
556.873, 89.890
557.356, 68.692
557.838, 64.778
558.320, 70.789
558.802, 87.094
559.284, 108.312
559.766, 128.367
560.248, 148.186
560.730, 163.751
561.213, 168.549
561.695, 167.681
562.177, 174.197
562.659, 196.310
563.141, 218.760
563.623, 240.741
564.105, 264.339
564.587, 270.940
565.069, 248.457
565.552, 229.774
566.034, 248.510
566.516, 308.615
566.998, 342.710
567.480, 342.637
567.962, 319.830
568.444, 283.272
568.926, 236.803
569.408, 199.754
569.891, 175.109
570.373, 164.860
570.855, 182.269
571.337, 221.603
571.819, 251.862
572.301, 239.438
572.783, 220.051
573.265, 228.211
573.747, 280.267
574.230, 308.370
574.712, 268.521
575.194, 206.467
575.676, 169.408
576.158, 181.415
576.640, 190.471
577.122, 191.472
577.604, 187.119
578.086, 184.993
578.569, 186.686
579.051, 185.651
579.533, 179.086
580.015, 167.926
580.497, 165.774
580.979, 172.967
581.461, 185.299
581.943, 204.866
582.426, 225.963
582.908, 233.144
583.390, 221.035
583.872, 204.878
584.354, 195.373
584.836, 190.854
585.318, 187.843
585.800, 176.762
586.282, 174.414
586.765, 196.694
587.247, 147.103
587.729, 207.615
588.211, 244.368
588.693, 257.032
589.175, 167.324
589.657, 206.627
590.140, 192.376
590.622, 175.902
591.104, 232.185
591.586, 154.418
592.068, 209.568
592.550, 211.665
593.032, 238.059
593.514, 211.869
593.996, 201.928
594.479, 244.601
594.961, 258.143
595.443, 225.925
595.925, 253.898
596.407, 174.360
596.889, 189.180
597.371, 197.506
597.853, 187.929
598.335, 170.669
598.818, 141.226
599.300, 93.270
599.782, 56.239
600.264, 39.068
600.746, 35.143
601.228, 36.818
601.710, 35.659
602.192, 57.135
602.674, 117.968
603.157, 195.038
603.639, 227.354
604.121, 208.567
604.603, 184.637
605.085, 174.493
605.567, 172.497
606.049, 152.377
606.531, 114.843
607.013, 91.076
607.496, 124.646
607.978, 179.080
608.460, 195.992
608.942, 162.401
609.424, 126.496
609.906, 109.138
610.388, 109.840
610.870, 128.212
611.353, 201.852
611.835, 249.468
612.317, 246.690
612.799, 206.968
613.281, 163.772
613.763, 96.134
614.245, 61.081
614.727, 87.954
615.209, 169.544
615.692, 210.021
616.174, 204.524
616.656, 182.622
617.138, 159.996
617.620, 137.957
618.102, 121.896
618.584, 112.410
619.067, 106.951
619.549, 104.799
620.031, 104.362
620.513, 103.181
620.995, 101.189
621.477, 96.948
