##NAMES=Allanite-(Ce)
##RRUFFID=R080092
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Arendal, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark brown fragment from metamict sample R050043, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080092
640.6900, 3.130127
641.1721, 3.756836
641.6542, 4.084717
642.1364, 3.977051
642.6185, 3.494629
643.1006, 3.016357
643.5827, 2.329346
644.0648, 2.119873
644.5469, 3.809082
645.0291, 5.340820
645.5112, 4.224854
645.9933, 0.3256840
646.4754, 2.411621
646.9575, 1.655762
647.4396, 0.6584470
647.9218, 3.016357
648.4039, 5.174805
648.8860, 6.597412
649.3681, 7.129150
649.8502, 6.617676
650.3323, 4.584473
650.8145, 0.1708980
651.2966, 1.762695
651.7787, 0.7133790
652.2608, 3.331055
652.7429, 4.736816
653.2250, 5.584473
653.7072, 6.819580
654.1893, 8.692627
654.6714, 10.34741
655.1535, 10.49170
655.6356, 9.789795
656.1177, 11.43237
656.5999, 16.07300
657.0820, 17.60107
657.5641, 11.53174
658.0462, 2.227051
658.5283, 1.658203
659.0104, 0.8308110
659.4926, 2.399170
659.9747, 1.102051
660.4568, 0.5500490
660.9389, 0.9606930
661.4210, 0.4880370
661.9031, 7.2754003E-02
662.3853, 7.5679999E-03
662.8674, 9.6190996E-02
663.3495, 3.3447001E-02
663.8316, 0.4775390
664.3137, 0.2067870
664.7958, 1.115234
665.2780, 2.458984
665.7601, 3.305176
666.2422, 3.946777
666.7243, 4.751221
667.2064, 5.789307
667.6885, 6.875977
668.1707, 7.599121
668.6528, 8.564209
669.1349, 11.62646
669.6170, 15.88184
670.0991, 16.96387
670.5812, 12.66650
671.0634, 6.231689
671.5455, 3.305908
672.0276, 4.983398
672.5097, 6.245361
672.9918, 6.590332
673.4739, 7.129150
673.9561, 8.635498
674.4382, 10.47729
674.9203, 11.53125
675.4024, 11.48267
675.8845, 11.61890
676.3666, 13.59033
676.8488, 16.38525
677.3309, 17.50439
677.8130, 16.88062
678.2951, 16.32446
678.7772, 16.39722
679.2593, 17.42432
679.7415, 20.16040
680.2236, 25.56494
680.7057, 29.56665
681.1878, 31.09863
681.6699, 32.47607
682.1520, 35.16260
682.6342, 38.22632
683.1163, 40.01782
683.5984, 39.98364
684.0805, 39.35083
684.5626, 39.62964
685.0447, 40.59033
685.5269, 40.22705
686.0090, 37.98901
686.4911, 37.40161
686.9732, 40.65649
687.4553, 45.79053
687.9374, 50.09473
688.4196, 53.81665
688.9017, 55.72632
689.3838, 54.16211
689.8659, 52.01953
690.3480, 50.11426
690.8301, 49.41553
691.3123, 51.82007
691.7944, 57.63159
692.2765, 63.75366
692.7586, 66.46265
693.2407, 65.98755
693.7228, 65.87061
694.2050, 65.88428
694.6871, 66.16553
695.1692, 67.44800
695.6513, 68.98682
696.1334, 69.05469
696.6155, 67.65747
697.0977, 68.56543
697.5798, 76.02417
698.0619, 83.07031
698.5440, 83.33057
699.0261, 79.62842
699.5082, 77.80615
699.9904, 79.58594
700.4725, 83.28442
700.9546, 87.52026
701.4367, 92.11279
701.9188, 93.48486
702.4009, 89.17065
702.8831, 86.23877
703.3652, 87.05811
703.8473, 89.91992
704.3294, 94.30762
704.8115, 99.61279
705.2936, 103.2732
705.7758, 102.3118
706.2579, 101.1331
706.7400, 104.4507
707.2221, 110.2104
707.7042, 113.4136
708.1863, 113.0786
708.6685, 112.3818
709.1506, 113.9595
709.6327, 117.4138
710.1148, 120.4512
710.5969, 123.4946
711.0790, 125.4749
711.5612, 125.3779
712.0433, 124.9038
712.5254, 125.1851
713.0075, 126.1665
713.4896, 127.1741
713.9717, 127.5249
714.4539, 127.9612
714.9360, 129.8159
715.4181, 133.0017
715.9002, 136.4529
716.3823, 139.5771
716.8644, 142.1345
717.3466, 143.9299
717.8287, 145.3328
718.3108, 147.3613
718.7929, 150.2820
719.2750, 153.2368
719.7571, 157.3552
720.2393, 160.3442
720.7214, 160.2720
721.2035, 158.4067
721.6856, 157.0728
722.1677, 157.0161
722.6498, 157.8462
