##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
516.5170, 23.15424
516.9991, 24.01300
517.4813, 24.56824
517.9634, 24.47388
518.4455, 23.86200
518.9276, 23.88641
519.4097, 25.61871
519.8918, 27.17651
520.3740, 27.68463
520.8561, 26.65271
521.3382, 26.19171
521.8203, 26.62897
522.3024, 27.27167
522.7845, 27.29486
523.2667, 26.56219
523.7488, 25.87610
524.2309, 25.47467
524.7130, 25.15997
525.1951, 24.25488
525.6772, 22.77582
526.1594, 21.47137
526.6415, 21.08441
527.1236, 21.12146
527.6057, 20.41223
528.0878, 18.91742
528.5699, 17.19629
529.0521, 15.30353
529.5342, 13.63708
530.0163, 12.88007
530.4984, 13.86243
530.9805, 14.60425
531.4626, 13.71362
531.9448, 11.82928
532.4269, 10.20038
532.9090, 8.853699
533.3911, 8.106262
533.8732, 8.313110
534.3553, 9.507141
534.8375, 10.25439
535.3196, 10.43774
535.8017, 10.20929
536.2838, 9.531006
536.7659, 7.983887
537.2480, 7.162048
537.7302, 7.297485
538.2123, 7.843262
538.6944, 8.143127
539.1765, 8.225281
539.6586, 7.688477
540.1407, 6.218811
540.6229, 4.273193
541.1050, 2.928772
541.5871, 2.170471
542.0692, 1.685242
542.5513, 1.277222
543.0334, 1.051270
543.5156, 1.289551
543.9977, 2.043884
544.4798, 2.678772
544.9619, 2.868347
545.4440, 2.714050
545.9261, 2.195740
546.4083, 0.6465450
546.8904, 0.3406980
547.3725, 0.3867190
547.8546, 1.985168
548.3367, 2.694641
548.8188, 0.8781130
549.3010, 0.4302980
549.7831, 0.2592160
550.2652, 1.353577
550.7473, 2.294434
551.2294, 2.314270
551.7115, 2.087341
552.1937, 1.995483
552.6758, 2.052612
553.1579, 2.365845
553.6400, 3.088257
554.1221, 3.662659
554.6042, 3.276550
555.0864, 2.107300
555.5685, 0.8704220
556.0506, 0.5733030
556.5327, 1.611450
557.0148, 0.9183960
557.4969, 1.064575
557.9791, 2.703125
558.4612, 2.892029
558.9433, 2.431946
559.4254, 1.792603
559.9075, 0.9973750
560.3896, 0.4620970
560.8718, 0.5686040
561.3539, 0.8739620
561.8360, 1.052185
562.3181, 0.8682860
562.8002, 0.8842160
563.2823, 1.514099
563.7645, 2.226807
564.2466, 2.099426
564.7287, 0.5979000
565.2108, 0.4678340
565.6929, 0.5291750
566.1750, 0.1486210
566.6572, 0.3031010
567.1393, 0.1477050
567.6214, 0.5879520
568.1035, 0.5759280
568.5856, 0.2567750
569.0677, 0.3071900
569.5499, 0.7993160
570.0320, 1.025024
570.5141, 0.1745000
570.9962, 1.969055
571.4783, 2.917847
571.9604, 2.326782
572.4426, 1.581909
572.9247, 1.740784
573.4068, 2.341370
573.8889, 2.563843
574.3710, 1.752075
574.8531, 0.9302980
575.3353, 0.3570560
575.8174, 6.1523002E-02
576.2995, 0.1674800
576.7816, 1.111694
577.2637, 1.945557
577.7458, 2.193848
578.2280, 1.692261
578.7101, 1.518188
579.1922, 1.727661
579.6743, 2.058594
580.1564, 2.365479
580.6385, 2.652710
581.1207, 2.579834
581.6028, 1.892700
582.0849, 1.255371
582.5670, 2.243286
583.0491, 4.323120
583.5313, 5.529785
584.0134, 3.800659
584.4955, 1.762451
584.9776, 1.922852
585.4597, 3.997437
585.9418, 6.278687
586.4240, 8.763550
586.9061, 10.59668
587.3882, 11.13611
587.8703, 9.930542
588.3524, 8.901611
588.8345, 8.147217
589.3167, 7.652710
589.7988, 7.521729
590.2809, 8.080933
590.7630, 8.289185
591.2451, 7.970093
591.7272, 7.354004
592.2094, 6.781860
592.6915, 6.238281
593.1736, 6.162231
593.6557, 6.911377
594.1378, 8.098267
594.6199, 8.806885
595.1021, 9.061523
595.5842, 9.140503
596.0663, 9.128662
596.5484, 9.083130
597.0305, 8.975952
597.5126, 8.794312
597.9948, 8.995483
598.4769, 10.42712
598.9590, 12.01685
599.4411, 12.81787
599.9232, 12.00989
600.4053, 11.47473
600.8875, 11.81812
601.3696, 12.46838
601.8517, 12.60522
602.3338, 11.92517
602.8159, 11.32117
603.2980, 10.89185
603.7802, 10.67786
604.2623, 10.93164
604.7444, 11.67761
605.2265, 12.34363
605.7086, 12.32898
606.1907, 11.91541
606.6729, 12.35229
607.1550, 13.55847
607.6371, 14.58704
608.1192, 14.48828
608.6013, 13.78528
609.0834, 13.12646
609.5656, 12.52148
610.0477, 12.18481
610.5298, 12.58838
611.0119, 13.22668
611.4940, 13.54297
611.9761, 13.33716
612.4583, 12.90796
612.9404, 12.03064
613.4225, 11.03601
613.9046, 10.61084
614.3867, 11.08618
614.8688, 11.75745
615.3510, 12.49329
615.8331, 13.02441
616.3152, 12.62451
616.7973, 11.20911
617.2794, 9.994019
617.7615, 10.01489
618.2437, 10.81787
618.7258, 11.08545
619.2079, 10.70898
619.6900, 10.50366
620.1721, 11.67761
620.6542, 13.21179
621.1364, 13.78015
621.6185, 12.78503
622.1006, 11.47229
622.5827, 10.01331
623.0648, 8.651123
623.5469, 7.827881
624.0291, 8.357544
624.5112, 8.671509
624.9933, 8.593750
625.4754, 8.135498
625.9575, 7.324951
626.4396, 6.119263
626.9218, 4.778198
627.4039, 3.160522
627.8860, 1.460205
628.3681, 0.9948730
628.8502, 1.762573
629.3323, 2.759521
629.8145, 3.229004
630.2966, 3.404541
630.7787, 3.844238
631.2608, 4.623169
631.7429, 5.215820
632.2250, 5.094849
632.7072, 4.614746
633.1893, 4.168701
633.6714, 3.917969
634.1535, 3.600586
634.6356, 3.143311
635.1177, 2.574341
635.5999, 1.921753
636.0820, 0.5806880
636.5641, 0.1737060
637.0462, 1.278931
637.5283, 3.418579
638.0104, 5.363525
638.4926, 7.349976
638.9747, 7.724976
639.4568, 4.634399
639.9389, 0.4489750
640.4210, 2.207153
640.9031, 0.7955320
641.3853, 1.276855
641.8674, 2.724487
642.3495, 3.551270
642.8316, 3.580200
643.3137, 2.723389
643.7958, 1.820923
644.2780, 1.218872
644.7601, 0.7841800
645.2422, 0.3897710
645.7243, 0.2674560
646.2064, 0.4467770
646.6885, 0.1698000
647.1707, 1.073608
647.6528, 1.503662
648.1349, 1.194092
648.6170, 1.307617
649.0991, 2.262573
649.5812, 3.547119
650.0634, 3.988037
650.5455, 3.624634
651.0276, 2.939331
651.5097, 1.826782
651.9918, 0.7314450
652.4739, 0.3049320
652.9561, 0.5167240
653.4382, 1.189209
653.9203, 3.055908
654.4024, 4.707031
654.8845, 4.969849
