##NAMES=Kyanite
##RRUFFID=R100139
##IDEAL CHEMISTRY=Al_2_OSiO_4_
##LOCALITY=Madagascar
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Blue prismatic crystal fragment, slightly water-worn
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100139
525.4744, 8721.992
525.9565, 8725.689
526.4387, 8725.079
526.9208, 8715.315
527.4029, 8702.840
527.8850, 8694.445
528.3671, 8691.807
528.8492, 8691.564
529.3314, 8691.395
529.8135, 8691.061
530.2956, 8687.567
530.7777, 8679.327
531.2598, 8670.956
531.7419, 8664.975
532.2241, 8660.873
532.7062, 8658.167
533.1883, 8657.537
533.6704, 8656.772
534.1525, 8655.858
534.6346, 8653.532
535.1168, 8645.147
535.5989, 8629.053
536.0810, 8613.220
536.5631, 8606.084
537.0452, 8608.114
537.5273, 8608.827
538.0095, 8608.271
538.4916, 8606.447
538.9737, 8601.873
539.4558, 8596.526
539.9379, 8594.538
540.4200, 8596.877
540.9022, 8598.450
541.3843, 8591.208
541.8664, 8572.762
542.3485, 8559.180
542.8306, 8553.194
543.3127, 8549.626
543.7948, 8548.149
544.2769, 8547.733
544.7590, 8546.978
545.2411, 8545.326
545.7233, 8543.490
546.2054, 8543.087
546.6875, 8543.843
547.1696, 8541.542
547.6517, 8534.081
548.1339, 8526.153
548.6160, 8521.551
549.0981, 8519.558
549.5802, 8518.654
550.0623, 8520.325
550.5444, 8521.098
551.0266, 8517.828
551.5087, 8512.028
551.9908, 8507.079
552.4729, 8503.999
552.9550, 8502.134
553.4371, 8501.018
553.9193, 8501.189
554.4014, 8498.782
554.8835, 8489.601
555.3656, 8482.936
555.8477, 8485.319
556.3298, 8491.343
556.8120, 8492.780
557.2941, 8486.692
557.7762, 8476.783
558.2583, 8467.106
558.7404, 8457.209
559.2225, 8452.054
559.7047, 8456.563
560.1868, 8459.522
560.6689, 8453.736
561.1510, 8443.507
561.6331, 8436.184
562.1152, 8434.427
562.5974, 8434.736
563.0795, 8435.253
563.5616, 8435.313
564.0437, 8432.012
564.5258, 8424.224
565.0079, 8415.435
565.4901, 8408.396
565.9722, 8403.257
566.4543, 8399.633
566.9364, 8400.809
567.4185, 8399.842
567.9006, 8391.792
568.3828, 8380.939
568.8649, 8373.806
569.3470, 8371.896
569.8291, 8371.139
570.3112, 8366.753
570.7933, 8358.468
571.2755, 8351.337
571.7576, 8345.938
572.2397, 8340.974
572.7218, 8334.937
573.2039, 8329.665
573.6860, 8327.933
574.1682, 8330.285
574.6503, 8332.902
575.1324, 8331.517
575.6145, 8327.153
576.0966, 8325.299
576.5787, 8327.470
577.0609, 8327.203
577.5430, 8318.554
578.0251, 8305.292
578.5072, 8296.804
578.9893, 8295.187
579.4714, 8294.027
579.9536, 8290.763
580.4357, 8286.713
580.9178, 8283.936
581.3999, 8282.425
581.8820, 8280.147
582.3641, 8275.627
582.8463, 8268.997
583.3284, 8260.721
583.8105, 8245.959
584.2926, 8236.871
584.7747, 8241.097
585.2568, 8245.973
585.7390, 8239.812
586.2211, 8223.944
586.7032, 8209.623
587.1853, 8205.548
587.6674, 8208.262
588.1495, 8208.810
588.6317, 8207.052
589.1138, 8203.892
589.5959, 8198.756
590.0780, 8193.094
590.5601, 8188.330
591.0422, 8184.424
591.5244, 8181.898
592.0065, 8183.299
592.4886, 8184.240
592.9707, 8179.477
593.4528, 8170.557
593.9349, 8163.037
594.4171, 8159.370
594.8992, 8158.226
595.3813, 8157.289
595.8634, 8156.230
596.3455, 8156.335
596.8276, 8161.414
597.3098, 8163.478
597.7919, 8156.429
598.2740, 8144.750
598.7561, 8136.802
599.2382, 8136.158
599.7203, 8136.804
600.2025, 8128.609
600.6846, 8111.970
601.1667, 8103.208
601.6488, 8107.684
602.1309, 8112.806
602.6130, 8109.224
603.0952, 8100.282
603.5773, 8092.409
604.0594, 8086.612
604.5415, 8081.667
605.0236, 8078.078
605.5057, 8074.505
605.9879, 8068.113
606.4700, 8058.787
606.9521, 8049.922
607.4342, 8044.328
607.9163, 8041.685
608.3984, 8039.655
608.8806, 8037.849
609.3627, 8037.157
609.8448, 8038.752
610.3269, 8040.525
610.8090, 8041.228
611.2911, 8040.527
611.7733, 8038.197
612.2554, 8033.731
612.7375, 8027.838
613.2196, 8022.252
613.7017, 8017.049
614.1838, 8011.000
614.6660, 8003.283
615.1481, 7995.143
615.6302, 7987.463
616.1123, 7980.276
616.5944, 7975.228
617.0765, 7975.501
617.5587, 7975.381
618.0408, 7969.558
618.5229, 7960.573
619.0050, 7955.097
619.4871, 7955.345
619.9692, 7955.740
620.4514, 7947.777
620.9335, 7929.313
621.4156, 7918.524
621.8977, 7922.056
622.3798, 7925.678
622.8619, 7926.861
623.3441, 7925.686
623.8262, 7921.882
624.3083, 7915.482
624.7904, 7908.416
625.2725, 7902.646
625.7546, 7897.479
626.2367, 7890.727
626.7188, 7882.140
627.2009, 7873.511
627.6830, 7864.826
628.1652, 7857.420
628.6473, 7855.720
629.1294, 7863.287
629.6115, 7864.384
630.0936, 7850.688
630.5757, 7834.918
631.0579, 7826.368
631.5400, 7823.633
632.0221, 7820.811
632.5042, 7814.907
632.9863, 7807.891
633.4684, 7803.734
633.9506, 7803.157
634.4327, 7801.668
634.9148, 7798.194
635.3969, 7794.840
635.8790, 7792.812
636.3611, 7791.528
636.8433, 7789.917
637.3254, 7787.534
637.8075, 7785.351
638.2896, 7786.083
638.7717, 7786.963
639.2538, 7781.058
639.7360, 7767.717
640.2181, 7755.042
640.7002, 7748.946
641.1823, 7747.847
