##NAMES=Joseite-A
##RRUFFID=R060963
##IDEAL CHEMISTRY=Bi_4_TeS_2_
##LOCALITY=Tanza mine, Potosi deptmartment, Bolivia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Hexagonal, metallic gray single crystal
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060963
584.3546, 7.981262
584.8367, 11.13570
585.3188, 9.873764
585.8010, 6.848923
586.2831, 4.147041
586.7652, 1.464020
587.2473, 0.7227780
587.7294, 3.647675
588.2115, 8.389496
588.6937, 12.52684
589.1758, 18.53492
589.6579, 19.91618
590.1400, 12.86766
590.6221, 0.4550480
591.1042, 2.959793
591.5864, 5.431282
592.0685, 12.93204
592.5506, 11.28170
593.0327, 2.102242
593.5148, 1.034477
593.9969, 8.794312
594.4791, 17.30705
594.9612, 18.94360
595.4433, 15.95836
595.9254, 12.28819
596.4075, 7.939972
596.8896, 5.306137
597.3718, 8.289795
597.8539, 13.96486
598.3360, 17.47812
598.8181, 15.79413
599.3002, 12.94186
599.7823, 9.409798
600.2645, 5.695374
600.7466, 5.000633
601.2287, 11.32404
601.7108, 16.16426
602.1929, 15.51835
602.6750, 8.328972
603.1572, 7.017662
603.6393, 13.45631
604.1214, 20.44598
604.6035, 19.70668
605.0856, 11.65250
605.5677, 8.623100
606.0499, 13.74584
606.5320, 20.75321
607.0141, 19.80183
607.4962, 13.32419
607.9783, 8.255974
608.4604, 8.916306
608.9425, 11.26012
609.4246, 11.23714
609.9067, 9.954369
610.3889, 10.60648
610.8710, 18.44244
611.3531, 25.25575
611.8352, 26.23213
612.3173, 19.61324
612.7994, 13.62241
613.2816, 8.232269
613.7637, 3.883247
614.2458, 0.8502430
614.7279, 1.365585
615.2100, 0.4874110
615.6921, 5.431999
616.1743, 12.10244
616.6564, 10.84251
617.1385, 2.141769
617.6206, 4.943077
618.1027, 7.462326
618.5848, 6.676422
619.0670, 3.827019
619.5491, 0.6857990
620.0312, 5.020340
620.5133, 9.266861
620.9954, 12.13072
621.4775, 11.52751
621.9597, 7.099525
622.4418, 4.425468
622.9239, 7.615738
623.4060, 11.80093
623.8881, 13.54386
624.3702, 10.75391
624.8524, 8.539185
625.3345, 6.491287
625.8166, 5.334915
626.2987, 6.389488
626.7808, 10.14326
627.2629, 13.66757
627.7451, 16.23661
628.2272, 18.30867
628.7093, 22.43616
629.1914, 28.06347
629.6735, 29.77613
630.1556, 19.88332
630.6378, 6.753242
631.1199, 2.442757
631.6020, 6.538139
632.0841, 11.90583
632.5662, 16.05075
633.0483, 18.64303
633.5305, 19.08330
634.0126, 16.41739
634.4947, 14.27960
634.9768, 13.14944
635.4589, 12.97421
635.9410, 13.83020
636.4232, 16.68441
636.9053, 18.49976
637.3874, 18.81115
637.8695, 18.07746
638.3516, 16.73241
638.8337, 14.64516
639.3159, 14.21473
639.7980, 17.21513
640.2801, 21.85296
640.7622, 24.68680
641.2443, 25.68488
641.7264, 24.45886
642.2086, 18.30769
642.6907, 11.34092
643.1728, 7.683479
643.6549, 7.761162
644.1370, 8.864471
644.6191, 10.79714
645.1013, 12.73959
645.5834, 14.09411
646.0655, 14.64246
646.5476, 14.78675
647.0297, 14.35637
647.5118, 13.64440
647.9940, 12.62165
648.4761, 10.70353
648.9582, 11.35957
649.4403, 17.18385
649.9224, 24.49901
650.4045, 24.78202
650.8867, 18.86466
651.3688, 13.35825
651.8509, 11.18068
652.3330, 11.49794
652.8151, 14.63624
653.2972, 20.19711
653.7794, 25.07069
654.2615, 26.09486
654.7436, 23.99261
655.2257, 17.79547
655.7078, 5.444435
656.1899, 1.633690
656.6721, 0.7098620
657.1542, 6.287102
657.6363, 10.96303
658.1184, 15.04183
658.6005, 17.22003
659.0826, 16.96386
659.5648, 15.49815
660.0469, 15.09332
660.5290, 15.56464
661.0111, 13.77325
661.4932, 7.313896
661.9753, 0.5169070
662.4575, 0.8702470
662.9396, 6.356148
663.4217, 10.77850
663.9038, 9.474968
664.3859, 7.379677
664.8680, 8.142082
665.3502, 11.49443
665.8323, 13.63377
666.3144, 12.05811
666.7965, 10.44538
667.2786, 10.44629
667.7607, 12.26904
668.2429, 14.60138
668.7250, 17.51931
669.2071, 20.82284
669.6892, 26.29237
670.1713, 33.65060
670.6534, 31.27020
671.1355, 15.68305
671.6176, 0.8823470
672.0997, 1.367325
672.5818, 8.670158
673.0640, 17.41603
673.5461, 21.53947
674.0282, 22.45612
674.5103, 18.59029
674.9924, 12.80594
675.4745, 9.767509
675.9567, 15.70498
676.4388, 19.81675
676.9209, 17.46523
677.4030, 10.12164
677.8851, 5.527069
678.3672, 3.995926
678.8494, 4.639877
679.3315, 7.844543
679.8136, 13.28355
680.2957, 17.06300
680.7778, 19.04079
681.2599, 20.34097
681.7421, 22.24062
682.2242, 23.99323
682.7063, 24.01789
683.1884, 21.99663
683.6705, 19.20414
684.1526, 16.16101
684.6348, 12.99004
685.1169, 9.597946
685.5990, 2.778931
686.0811, 0.5142060
686.5632, 8.827530
687.0453, 20.47610
687.5275, 25.46574
688.0096, 20.93925
688.4917, 16.93401
688.9738, 15.51154
689.4559, 15.46115
689.9380, 12.40630
690.4202, 6.665916
690.9023, 4.299789
691.3844, 11.85688
691.8665, 22.38161
692.3486, 24.52750
692.8307, 19.63605
693.3129, 14.83205
