##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
401.5186, 10.93913
402.0008, 8.809120
402.4829, 7.944786
402.9650, 7.381592
403.4471, 7.024147
403.9292, 6.888313
404.4113, 7.001045
404.8935, 7.263504
405.3756, 7.993492
405.8577, 9.825325
406.3398, 13.14737
406.8219, 14.32404
407.3040, 12.78763
407.7862, 10.11913
408.2683, 8.728897
408.7504, 8.670174
409.2325, 8.115967
409.7146, 6.102150
410.1967, 3.223213
410.6789, 0.9401470
411.1610, 0.7682950
411.6431, 1.116783
412.1252, 1.900223
412.6073, 6.916168
413.0894, 9.923149
413.5716, 9.823463
414.0537, 8.047356
414.5358, 5.135201
415.0179, 1.726578
415.5000, 0.1839900
415.9821, 2.533920
416.4643, 6.216805
416.9464, 5.942810
417.4285, 0.9963070
417.9106, 2.093422
418.3927, 3.679222
418.8748, 12.78476
419.3570, 18.54147
419.8391, 16.09229
420.3212, 12.45387
420.8033, 10.20737
421.2854, 9.171967
421.7675, 8.391884
422.2497, 7.479851
422.7318, 7.052261
423.2139, 7.240829
423.6960, 9.565933
424.1781, 10.13191
424.6602, 6.372551
425.1424, 1.186951
425.6245, 1.137825
426.1066, 1.013222
426.5887, 4.079437
427.0709, 8.124443
427.5530, 13.14642
428.0351, 15.07342
428.5172, 11.96571
428.9993, 8.441582
429.4814, 7.964493
429.9636, 12.11362
430.4457, 14.94733
430.9278, 15.86222
431.4099, 15.03151
431.8920, 11.93970
432.3741, 6.053490
432.8563, 1.872704
433.3384, 2.332741
433.8205, 6.628349
434.3026, 9.016167
434.7847, 9.304596
435.2668, 9.187996
435.7490, 10.98790
436.2311, 14.34336
436.7132, 16.94102
437.1953, 18.17124
437.6774, 18.06637
438.1595, 16.11474
438.6417, 12.72655
439.1238, 9.586388
439.6059, 7.551559
440.0880, 6.361000
440.5701, 5.654778
441.0522, 5.323402
441.5344, 5.925034
442.0165, 8.793610
442.4986, 12.35664
442.9807, 14.67313
443.4628, 14.00814
443.9449, 13.04957
444.4271, 13.19736
444.9092, 14.12873
445.3913, 13.93608
445.8734, 10.66378
446.3555, 7.296165
446.8376, 5.230049
447.3198, 4.517372
447.8019, 5.314857
448.2840, 9.824051
448.7661, 14.89062
449.2482, 15.64258
449.7303, 9.033218
450.2125, 3.656891
450.6946, 1.553558
451.1767, 2.385147
451.6588, 3.091698
452.1409, 3.581467
452.6230, 4.171989
453.1052, 5.216995
453.5873, 6.793335
454.0694, 7.820641
454.5515, 8.040024
455.0337, 8.038292
455.5158, 9.220268
455.9979, 11.45264
456.4800, 12.55501
456.9621, 10.68662
457.4442, 7.459076
457.9264, 5.631508
458.4085, 5.212868
458.8906, 5.617500
459.3727, 6.781914
459.8548, 8.678162
460.3369, 11.40982
460.8191, 15.95084
461.3012, 19.12473
461.7833, 17.19025
462.2654, 12.04582
462.7475, 7.651772
463.2296, 5.451561
463.7118, 4.649017
464.1939, 5.235153
464.6760, 7.222160
465.1581, 9.017792
465.6402, 11.09998
466.1223, 12.21145
466.6045, 11.42059
467.0866, 4.040184
467.5687, 0.4272770
468.0508, 3.961319
468.5329, 11.30521
469.0150, 14.95797
469.4972, 12.56477
469.9793, 10.33464
470.4614, 10.25343
