##NAMES=Brochantite
##RRUFFID=R100199
##IDEAL CHEMISTRY=Cu^2+^_4_S^6+^O_4_(OH)_6_
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Donald K Olson
##DESCRIPTION=Loose green acicular crystals, MDO1 polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100199
604.0594, 0.9398710
604.5415, 1.239067
605.0236, 1.468433
605.5057, 1.640766
605.9879, 1.602272
606.4700, 1.342691
606.9521, 1.030725
607.4342, 0.8014580
607.9163, 0.6603320
608.3984, 0.6507070
608.8806, 0.8819200
609.3627, 1.100555
609.8448, 1.304859
610.3269, 1.471941
610.8090, 1.534279
611.2911, 1.529348
611.7733, 1.628170
612.2554, 2.067360
612.7375, 2.584646
613.2196, 2.469109
613.7017, 1.647760
614.1838, 0.9400460
614.6660, 0.5235630
615.1481, 0.4014130
615.6302, 0.7236670
616.1123, 1.451849
616.5944, 1.924564
617.0765, 1.954447
617.5587, 1.739029
618.0408, 1.177713
618.5229, 0.5019740
619.0050, 0.2139050
619.4871, 0.4854010
619.9692, 1.069782
620.4514, 1.709904
620.9335, 2.489853
621.4156, 2.689043
621.8977, 1.597631
622.3798, 0.7550470
622.8619, 0.7582050
623.3441, 1.113607
623.8262, 1.203108
624.3083, 0.8883910
624.7904, 0.6198010
625.2725, 0.8637240
625.7546, 1.437870
626.2367, 1.926329
626.7188, 2.339455
627.2009, 2.311018
627.6830, 1.437347
628.1652, 0.1881500
628.6473, 0.3320520
629.1294, 1.1850000E-02
629.6115, 0.4742660
630.0936, 1.152327
630.5757, 1.738358
631.0579, 2.028131
631.5400, 2.040512
632.0221, 1.853621
632.5042, 1.503826
632.9863, 1.056305
633.4684, 0.5933690
633.9506, 6.5107003E-02
634.4327, 0.2257190
634.9148, 5.8325000E-02
635.3969, 9.7235002E-02
635.8790, 0.1278020
636.3611, 0.4531000
636.8433, 0.3149930
637.3254, 0.5611040
637.8075, 1.411921
638.2896, 1.676134
638.7717, 1.529108
639.2538, 1.178204
639.7360, 0.6870230
640.2181, 0.4720210
640.7002, 0.8942680
641.1823, 1.747807
641.6644, 2.212898
642.1465, 1.976877
642.6287, 1.761950
643.1108, 1.568422
643.5929, 1.401493
644.0750, 1.256998
644.5571, 1.143265
645.0392, 1.086926
645.5214, 1.113388
646.0035, 1.170126
646.4856, 1.145033
646.9677, 1.038774
647.4498, 1.050995
647.9319, 1.315294
648.4141, 1.496346
648.8962, 1.182682
649.3783, 0.5379660
649.8604, 0.1967980
650.3425, 0.3918420
650.8246, 0.6462190
651.3068, 0.8053360
651.7889, 0.9520700
652.2710, 1.104809
652.7531, 1.164351
653.2352, 1.194035
653.7173, 1.176720
654.1995, 1.138941
654.6816, 1.242592
655.1637, 1.704523
655.6458, 1.786283
656.1279, 0.8482550
656.6100, 6.6072002E-02
657.0922, 0.2558860
657.5743, 0.1097030
658.0564, 0.3692420
658.5385, 8.0738001E-02
659.0206, 0.2180480
659.5027, 5.5787999E-02
659.9849, 0.7187180
660.4670, 1.328344
660.9491, 1.790289
661.4312, 1.917931
661.9133, 1.453642
662.3954, 0.4615420
662.8776, 0.1322670
