##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
542.1922, 36.75781
542.6743, 103.4453
543.1564, 180.3867
543.6385, 249.7930
544.1207, 305.2539
544.6027, 305.5508
545.0848, 222.2148
545.5670, 157.9219
546.0491, 165.7500
546.5312, 191.5938
547.0133, 187.7461
547.4954, 150.8555
547.9775, 104.5547
548.4597, 50.29297
548.9418, 2.496094
549.4239, 49.33984
549.9060, 86.63672
550.3881, 96.58984
550.8702, 68.22656
551.3524, 14.76953
551.8345, 34.85938
552.3166, 89.05469
552.7987, 122.0586
553.2808, 112.9922
553.7629, 105.4219
554.2451, 134.0117
554.7272, 181.5117
555.2093, 203.8867
555.6914, 175.1250
556.1735, 123.2891
556.6556, 81.65234
557.1378, 50.66016
557.6199, 33.59375
558.1020, 29.73828
558.5841, 44.80078
559.0662, 100.5156
559.5483, 196.9961
560.0305, 237.9297
560.5126, 187.9297
560.9947, 121.2969
561.4768, 45.78125
561.9589, 19.78125
562.4410, 48.60938
562.9232, 34.69141
563.4053, 7.8130001E-03
563.8874, 36.17969
564.3695, 73.47656
564.8516, 95.58984
565.3337, 96.28516
565.8159, 94.35938
566.2980, 100.9961
566.7801, 107.5820
567.2622, 98.99609
567.7443, 67.25781
568.2264, 49.96875
568.7086, 84.37891
569.1907, 130.4258
569.6728, 132.1406
570.1549, 92.33203
570.6370, 51.94531
571.1191, 33.94141
571.6013, 40.39062
572.0834, 87.62891
572.5655, 241.2227
573.0476, 301.0234
573.5297, 153.5312
574.0118, 5.093750
574.4940, 14.16406
574.9761, 66.60156
575.4582, 138.9961
575.9403, 156.6328
576.4224, 138.1875
576.9045, 81.62109
577.3867, 2.246094
577.8688, 25.55859
578.3509, 22.49609
578.8330, 101.3789
579.3151, 168.9023
579.7972, 226.3750
580.2794, 251.6211
580.7615, 212.8125
581.2436, 184.6875
581.7257, 202.1172
582.2078, 233.2891
582.6899, 241.7969
583.1721, 217.9492
583.6542, 175.8047
584.1363, 114.1875
584.6184, 42.18359
585.1005, 5.910156
585.5826, 11.06641
586.0648, 17.60547
586.5469, 5.277344
587.0290, 15.61328
587.5111, 23.41406
587.9932, 14.54297
588.4753, 6.183594
588.9575, 4.2969000E-02
589.4396, 4.171875
589.9217, 9.554688
590.4038, 13.23438
590.8859, 5.023438
591.3680, 21.35938
591.8502, 50.36328
592.3323, 52.10547
592.8144, 23.95703
593.2965, 4.382813
593.7786, 30.31641
594.2607, 56.97266
594.7429, 93.76562
595.2250, 131.1406
595.7071, 142.8281
596.1892, 103.8516
596.6713, 70.09766
597.1534, 75.92969
597.6356, 97.41016
598.1177, 95.48438
598.5998, 68.77344
599.0819, 56.55078
