##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
423.373, 95.154
423.855, 97.941
424.337, 96.771
424.819, 89.112
425.302, 80.336
425.784, 69.287
426.266, 59.295
426.748, 57.285
427.230, 68.821
427.712, 85.565
428.194, 95.773
428.676, 99.717
429.159, 106.463
429.641, 121.283
430.123, 137.423
430.605, 144.389
431.087, 141.418
431.569, 139.109
432.051, 138.601
432.533, 141.117
433.015, 151.881
433.497, 169.067
433.980, 179.835
434.462, 173.835
434.944, 153.699
435.426, 139.053
435.908, 138.577
436.390, 132.781
436.872, 112.775
437.354, 88.746
437.837, 73.286
438.319, 69.446
438.801, 68.777
439.283, 58.964
439.765, 38.344
440.247, 28.269
440.729, 38.214
441.211, 46.528
441.694, 38.219
442.176, 22.810
442.658, 18.905
443.140, 38.700
443.622, 62.557
444.104, 66.013
444.586, 51.323
445.068, 38.071
445.550, 34.654
446.033, 36.510
446.515, 32.025
446.997, 20.533
447.479, 14.898
447.961, 24.488
448.443, 35.247
448.925, 32.820
449.407, 20.373
449.889, 12.483
450.372, 18.447
450.854, 34.639
451.336, 48.117
451.818, 62.906
452.300, 68.308
452.782, 58.560
453.264, 43.697
453.746, 26.773
454.228, 10.789
454.711, 3.994
455.193, 20.720
455.675, 54.924
456.157, 62.547
456.639, 29.799
457.121, 1.848
457.603, 5.787
458.086, 24.399
458.568, 38.351
459.050, 44.965
459.532, 45.176
460.014, 34.800
460.496, 18.913
460.978, 9.516
461.460, 9.093
461.942, 14.000
462.424, 22.975
462.907, 36.418
463.389, 38.895
463.871, 19.687
464.353, 2.142
464.835, 3.557
465.317, 1.994
465.799, 0.594
466.281, 2.228
466.763, 5.117
467.246, 6.248
467.728, 4.989
468.210, 4.658
468.692, 6.601
469.174, 8.180
469.656, 10.226
470.138, 10.992
470.621, 5.900
471.103, 10.761
471.585, 29.267
472.067, 34.165
472.549, 26.061
473.031, 18.147
473.513, 12.779
473.995, 11.605
474.477, 20.998
474.960, 42.467
475.442, 53.164
475.924, 38.019
476.406, 19.283
476.888, 15.551
477.370, 24.545
477.852, 34.380
478.334, 38.672
478.816, 38.022
479.299, 33.594
479.781, 18.551
480.263, 15.142
480.745, 28.407
481.227, 43.851
481.709, 55.115
482.191, 62.874
482.673, 64.011
483.155, 51.981
483.638, 33.251
484.120, 29.032
484.602, 42.894
485.084, 52.455
485.566, 45.726
486.048, 31.683
486.530, 23.224
487.013, 20.366
487.495, 23.587
487.977, 39.010
488.459, 57.411
488.941, 68.496
489.423, 71.188
489.905, 67.002
490.387, 55.549
490.869, 39.125
491.352, 31.150
491.834, 43.239
492.316, 49.042
492.798, 42.134
493.280, 31.228
493.762, 21.315
494.244, 14.411
494.726, 13.631
495.208, 26.516
495.691, 48.570
496.173, 53.033
496.655, 32.689
497.137, 16.148
497.619, 20.146
498.101, 33.914
498.583, 42.836
499.065, 45.031
499.547, 45.487
500.030, 44.752
500.512, 44.515
500.994, 50.029
501.476, 60.928
501.958, 65.811
502.440, 53.833
502.922, 27.980
503.404, 14.289
503.887, 26.809
504.369, 34.317
504.851, 29.044
505.333, 20.160
505.815, 15.631
506.297, 16.971
506.779, 21.568
507.261, 28.639
507.743, 37.278
508.226, 41.858
508.708, 42.345
509.190, 38.948
509.672, 27.134
510.154, 12.968
510.636, 5.039
511.118, 4.819
511.600, 7.807
512.083, 13.733
512.565, 20.827
513.047, 25.732
513.529, 28.464
514.011, 34.303
514.493, 48.596
514.975, 68.838
515.457, 77.569
515.940, 58.859
516.422, 49.307
516.904, 59.726
517.386, 75.355
517.868, 85.866
518.350, 88.906
518.832, 84.591
519.314, 68.742
519.796, 46.063
520.279, 34.000
520.761, 34.101
521.243, 38.070
521.725, 45.643
522.207, 53.191
522.689, 53.253
523.171, 44.593
523.653, 35.855
524.135, 26.889
524.618, 20.604
525.100, 22.956
525.582, 32.400
526.064, 38.665
526.546, 34.166
527.028, 23.469
527.510, 24.055
527.992, 47.567
528.474, 61.818
528.957, 58.558
529.439, 50.869
529.921, 45.118
530.403, 42.754
530.885, 45.359
531.367, 59.223
531.849, 74.756
532.331, 72.046
532.813, 51.185
533.296, 31.990
533.778, 20.661
534.260, 15.598
534.742, 15.680
535.224, 21.849
535.706, 27.086
536.188, 40.419
536.670, 43.794
537.153, 10.452
537.635, 41.140
538.117, 66.953
538.599, 45.106
539.081, 1.702
539.563, 31.679
540.045, 41.015
540.527, 49.673
541.010, 61.810
541.492, 69.840
541.974, 67.783
542.456, 58.949
542.938, 51.046
543.420, 47.260
543.902, 44.192
544.384, 36.703
544.867, 27.557
545.349, 25.498
545.831, 33.000
546.313, 43.229
546.795, 49.124
547.277, 50.381
547.759, 53.359
548.241, 57.808
548.723, 64.147
549.206, 77.241
549.688, 89.875
550.170, 93.052
550.652, 85.041
551.134, 72.695
551.616, 59.581
552.098, 47.079
552.580, 46.761
553.062, 63.145
553.545, 76.158
554.027, 74.383
554.509, 63.106
554.991, 52.681
555.473, 41.691
555.955, 36.493
556.437, 44.504
556.919, 55.507
557.401, 58.720
557.884, 54.630
558.366, 50.378
558.848, 50.669
559.330, 53.687
559.812, 52.933
560.294, 44.174
560.776, 42.051
561.258, 56.408
561.740, 71.127
562.223, 77.574
562.705, 76.334
563.187, 71.274
563.669, 61.318
564.151, 51.296
564.633, 49.250
565.115, 52.221
565.597, 45.065
566.080, 21.272
566.562, 0.211
567.044, 5.857
567.526, 45.101
568.008, 66.990
568.490, 61.486
568.972, 52.968
569.454, 47.110
569.937, 43.200
570.419, 39.698
570.901, 36.164
571.383, 33.317
571.865, 30.211
572.347, 28.018
572.829, 36.396
573.311, 59.854
573.794, 72.512
574.276, 52.203
574.758, 16.839
575.240, 8.652
575.722, 40.141
576.204, 61.530
576.686, 53.212
577.168, 36.751
577.650, 31.065
578.133, 34.195
578.615, 32.103
579.097, 15.515
579.579, 5.144
580.061, 1.054
580.543, 37.401
581.025, 55.767
581.507, 31.949
581.989, 5.021
582.472, 2.367
582.954, 16.879
583.436, 27.503
583.918, 27.210
584.400, 23.705
584.882, 21.171
585.364, 19.412
585.846, 17.107
