##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
471.9936, 2628.608
472.4757, 2625.395
472.9578, 2620.179
473.4399, 2614.664
473.9221, 2611.045
474.4042, 2609.906
474.8863, 2607.223
475.3684, 2602.474
475.8505, 2596.913
476.3326, 2589.390
476.8148, 2581.701
477.2969, 2577.414
477.7790, 2578.423
478.2611, 2581.435
478.7432, 2578.930
479.2253, 2568.321
479.7075, 2559.590
480.1896, 2555.629
480.6717, 2552.388
481.1538, 2546.969
481.6359, 2540.020
482.1180, 2534.850
482.6002, 2534.853
483.0823, 2537.908
483.5644, 2537.779
484.0465, 2533.756
484.5286, 2529.136
485.0107, 2525.390
485.4929, 2521.781
485.9750, 2517.109
486.4571, 2510.951
486.9392, 2505.492
487.4213, 2502.326
487.9034, 2500.771
488.3856, 2499.635
488.8677, 2498.839
489.3498, 2497.429
489.8319, 2494.145
490.3140, 2489.230
490.7961, 2485.988
491.2783, 2487.565
491.7604, 2487.454
492.2425, 2480.530
492.7246, 2470.224
493.2067, 2463.208
493.6888, 2461.844
494.1710, 2463.076
494.6531, 2462.248
495.1352, 2458.460
495.6173, 2455.414
496.0994, 2453.956
496.5815, 2452.311
497.0637, 2449.043
497.5458, 2444.958
498.0279, 2442.140
498.5100, 2441.925
498.9921, 2442.802
499.4742, 2440.664
499.9564, 2434.084
500.4385, 2428.056
500.9206, 2422.702
501.4027, 2418.504
501.8848, 2416.338
502.3669, 2415.888
502.8491, 2415.624
503.3312, 2414.438
503.8133, 2412.694
504.2954, 2411.684
504.7775, 2411.813
505.2596, 2410.754
505.7418, 2406.414
506.2239, 2400.827
506.7060, 2397.000
507.1881, 2395.477
507.6702, 2394.114
508.1523, 2392.525
508.6345, 2390.186
509.1166, 2385.294
509.5987, 2377.556
510.0808, 2371.011
510.5629, 2369.368
511.0450, 2372.141
511.5272, 2373.152
512.0093, 2372.142
512.4914, 2369.936
512.9735, 2365.937
513.4556, 2361.214
513.9377, 2356.966
514.4199, 2353.594
514.9020, 2351.001
515.3841, 2349.340
515.8662, 2348.968
516.3483, 2347.132
516.8304, 2341.628
517.3126, 2337.005
517.7947, 2335.471
518.2768, 2335.352
518.7589, 2333.990
519.2410, 2330.279
519.7231, 2325.853
520.2053, 2323.526
