##NAMES=Vlodavetsite
##RRUFFID=R070736
##IDEAL CHEMISTRY=Ca_2_Al(S^6+^O_4_)_2_F_2_Cl&#183;4H_2_O
##LOCALITY=Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless vitreous massive, rarely in irregular plates associated with calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070736
447.9666, 286.6562
448.4487, 313.0898
448.9308, 353.3750
449.4129, 347.2031
449.8950, 266.7852
450.3771, 187.1055
450.8593, 138.0508
451.3413, 125.1250
451.8235, 114.8008
452.3056, 107.2461
452.7877, 102.4766
453.2698, 100.2461
453.7519, 100.4531
454.2340, 103.9805
454.7162, 112.4258
455.1983, 123.0273
455.6804, 131.7891
456.1625, 137.2617
456.6446, 134.8828
457.1267, 106.6250
457.6089, 66.68750
458.0910, 59.45703
458.5731, 110.4102
459.0552, 167.5195
459.5373, 159.7695
460.0194, 103.6367
460.5016, 53.33203
460.9837, 39.58984
461.4658, 46.12500
461.9479, 64.91016
462.4300, 99.71875
462.9121, 121.0078
463.3943, 104.4922
463.8764, 68.17969
464.3585, 33.91406
464.8406, 12.69531
465.3227, 5.015625
465.8048, 26.30469
466.2870, 50.16797
466.7691, 46.85156
467.2512, 12.32812
467.7333, 81.66406
468.2154, 129.5664
468.6975, 146.2500
469.1797, 158.4219
469.6618, 159.5000
470.1439, 157.1211
470.6260, 172.5820
471.1081, 218.0469
471.5902, 250.6836
472.0724, 248.4961
472.5545, 208.9727
473.0366, 170.0234
473.5187, 128.7852
474.0008, 96.85938
474.4829, 97.30469
474.9651, 127.0352
475.4472, 145.6094
475.9293, 135.5742
476.4114, 111.3945
476.8935, 102.3828
477.3756, 108.2539
477.8578, 118.1289
478.3399, 140.5078
478.8220, 157.8750
479.3041, 135.2891
479.7862, 46.19922
480.2683, 32.41016
480.7505, 44.00781
481.2326, 2.289063
481.7147, 62.89453
482.1968, 148.6484
482.6789, 246.0469
483.1610, 360.0117
483.6432, 494.9844
484.1253, 599.8047
484.6074, 640.6992
485.0895, 653.7891
485.5716, 670.8008
486.0537, 739.1250
486.5359, 754.6172
487.0180, 686.8359
487.5001, 554.8125
487.9822, 444.7383
488.4643, 356.6797
488.9464, 292.8125
489.4286, 260.9883
489.9107, 271.1523
490.3928, 261.1289
490.8749, 222.2617
491.3570, 180.2617
491.8391, 180.2305
492.3213, 222.5391
492.8034, 255.3008
493.2855, 255.6641
493.7676, 236.3633
494.2497, 232.9414
494.7318, 245.3789
495.2140, 251.8281
495.6961, 239.1094
496.1782, 207.2461
496.6603, 147.3633
497.1424, 31.89062
497.6245, 57.74219
498.1067, 34.03906
498.5888, 63.85938
499.0709, 145.1836
499.5530, 151.1992
500.0351, 143.8281
500.5172, 155.6562
500.9994, 190.4805
501.4815, 226.7148
501.9636, 265.3438
502.4457, 299.2891
502.9278, 322.5391
503.4099, 352.6094
503.8921, 349.1641
504.3742, 294.8477
504.8563, 204.1914
505.3384, 133.8359
505.8205, 85.63281
506.3026, 58.43359
506.7848, 61.00781
507.2669, 102.0820
507.7490, 113.7969
508.2311, 86.76562
508.7132, 54.78906
509.1953, 75.15625
509.6775, 141.3750
510.1596, 176.7852
510.6417, 121.1406
511.1238, 40.58203
511.6059, 89.73438
512.0880, 256.3984
512.5701, 410.9258
513.0522, 468.2695
513.5344, 456.7812
514.0165, 398.5078
514.4986, 272.6250
514.9807, 172.2812
515.4628, 186.4844
515.9449, 261.5234
516.4271, 305.8086
516.9092, 268.8398
517.3913, 216.8750
517.8734, 167.4375
518.3555, 121.7188
518.8376, 97.62500
519.3198, 131.2266
519.8019, 164.3320
520.2840, 158.8164
520.7661, 79.58984
521.2482, 34.68359
521.7303, 48.46094
522.2125, 87.53125
522.6946, 63.29297
523.1767, 48.21875
523.6588, 124.7617
524.1409, 93.27734
524.6230, 26.47656
525.1052, 73.75391
525.5873, 38.72266
526.0694, 13.31641
526.5515, 18.13281
527.0336, 11.58203
527.5157, 39.71094
527.9979, 56.43750
528.4800, 69.89844
528.9621, 92.11719
529.4442, 118.5273
529.9263, 136.3398
530.4084, 119.4141
530.8906, 104.8398
531.3727, 129.1289
531.8548, 202.7305
532.3369, 247.7500
532.8190, 194.2461
533.3011, 120.9766
533.7833, 100.2891
534.2654, 202.5234
534.7475, 283.0742
535.2296, 322.7383
535.7117, 330.7891
536.1938, 342.9922
536.6760, 374.5234
537.1581, 382.0391
537.6402, 332.8125
538.1223, 216.8789
538.6044, 161.5625
539.0865, 182.3516
539.5687, 228.1992
540.0508, 248.1602
540.5329, 244.1641
541.0150, 220.9258
541.4971, 168.1523
541.9792, 112.5742
542.4614, 102.9414
542.9435, 131.4336
543.4256, 161.2227
543.9077, 171.8594
544.3898, 172.1953
544.8719, 170.7891
545.3541, 168.8828
545.8362, 161.5391
546.3183, 144.3633
546.8004, 120.8672
547.2825, 95.03516
547.7646, 55.41797
548.2468, 28.16406
548.7289, 24.73438
549.2110, 39.12109
549.6931, 45.47656
550.1752, 30.16016
550.6573, 26.39844
551.1395, 53.14453
551.6216, 118.7539
552.1037, 160.6758
552.5858, 172.4141
553.0679, 172.1836
553.5500, 175.6211
554.0322, 182.8164
554.5143, 188.3633
554.9964, 182.4766
555.4785, 182.2031
555.9606, 258.4609
556.4427, 394.2188
556.9249, 486.2031
557.4070, 440.2305
557.8891, 334.2734
558.3712, 244.7148
558.8533, 177.0898
559.3354, 143.3242
559.8176, 178.5117
560.2997, 237.0938
560.7818, 272.4609
561.2639, 239.6836
561.7460, 217.8984
