##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
582.2847, 15.08459
582.7668, 15.91748
583.2490, 15.92737
583.7311, 15.70618
584.2132, 15.23181
584.6953, 14.19934
585.1774, 11.75586
585.6595, 10.64050
586.1416, 13.82910
586.6237, 18.89355
587.1058, 22.18542
587.5880, 22.07568
588.0701, 20.99768
588.5522, 18.81274
589.0343, 15.99219
589.5164, 14.61938
589.9985, 15.69446
590.4807, 16.51233
590.9628, 15.97913
591.4449, 14.07837
591.9270, 11.29773
592.4091, 7.296997
592.8912, 3.771606
593.3734, 2.317749
593.8555, 2.677246
594.3376, 3.904785
594.8197, 6.057617
595.3018, 8.203491
595.7839, 9.135742
596.2661, 9.345093
596.7482, 9.766235
597.2303, 11.19543
597.7124, 12.55969
598.1945, 13.33044
598.6766, 13.58643
599.1588, 13.51172
599.6409, 13.48633
600.1230, 12.86841
600.6051, 10.90515
601.0872, 7.453857
601.5693, 5.625854
602.0515, 6.390625
602.5336, 7.447144
603.0157, 6.956421
603.4978, 4.269897
603.9799, 4.333374
604.4620, 7.978149
604.9442, 12.33069
605.4263, 13.44543
605.9084, 11.79749
606.3905, 10.24194
606.8726, 9.371826
607.3547, 9.023804
607.8369, 9.376465
608.3190, 10.08960
608.8011, 10.32239
609.2832, 8.679077
609.7653, 7.241333
610.2474, 7.698608
610.7296, 9.801025
611.2117, 11.33972
611.6938, 10.69604
612.1759, 10.16687
612.6580, 11.16272
613.1401, 14.37122
613.6223, 16.11914
614.1044, 16.32922
614.5865, 15.16980
615.0686, 12.25269
615.5507, 7.240112
616.0328, 3.751221
616.5150, 2.351196
616.9971, 2.213257
617.4792, 2.555664
617.9613, 3.230225
618.4434, 3.446289
618.9255, 2.892700
619.4077, 1.866821
619.8898, 0.2905270
620.3719, 1.540527
620.8540, 2.756104
621.3361, 2.495850
621.8182, 1.935059
622.3004, 1.387817
622.7825, 0.9315190
623.2646, 0.9029540
623.7467, 2.102905
624.2288, 3.187866
624.7109, 3.445557
625.1931, 2.586792
625.6752, 2.009644
626.1573, 1.857544
626.6394, 1.818481
627.1215, 1.510864
627.6036, 0.9414060
