##NAMES=Stilpnomelane
##RRUFFID=R110195
##IDEAL CHEMISTRY=(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_&#183;nH_2_O
##LOCALITY=Broughton talc mine, Saint-Pierre-de-Broughton, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Aggregates of dark green plates, 180 deg twin around (-2 0 3) = [0 1 2].
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110195
333.9611, 0.4890520
334.4432, 2.1710000E-03
334.9254, 0.3013880
335.4075, 0.4029270
335.8896, 0.3116840
336.3717, 7.0423000E-02
336.8538, 1.042263
337.3359, 1.556965
337.8180, 1.173859
338.3001, 8.5368998E-02
338.7823, 0.9461980
339.2644, 1.314785
339.7465, 1.457859
340.2286, 1.640354
340.7107, 1.897717
341.1928, 1.981834
341.6750, 1.757427
342.1571, 1.344219
342.6392, 1.286011
343.1213, 1.649822
343.6034, 2.011955
344.0855, 2.026379
344.5677, 1.709259
345.0498, 1.441448
345.5319, 1.254089
346.0140, 1.162449
346.4961, 1.299709
346.9782, 1.651043
347.4604, 1.838566
347.9425, 1.444183
348.4246, 0.6790850
348.9067, 0.3838010
349.3888, 0.6608700
349.8709, 1.115086
350.3531, 1.226757
350.8352, 1.095142
351.3173, 1.088829
351.7994, 1.586029
352.2815, 2.233925
352.7636, 2.339916
353.2458, 1.903908
353.7279, 1.484821
354.2100, 1.620335
354.6921, 2.084614
355.1742, 2.506615
355.6563, 2.919090
356.1385, 3.088406
356.6206, 2.557777
357.1027, 1.480488
357.5848, 0.6358800
358.0669, 0.4646530
358.5490, 0.7493480
359.0312, 1.428143
359.5133, 2.874763
359.9954, 3.838154
360.4775, 2.952637
360.9596, 1.058506
361.4417, 4.9339000E-02
361.9239, 1.252907
362.4060, 2.837170
362.8881, 3.519722
363.3702, 3.053436
363.8523, 2.351994
364.3344, 1.132366
364.8166, 3.5151999E-02
365.2987, 0.2101780
365.7808, 1.574909
366.2629, 3.228264
366.7450, 4.240467
367.2271, 4.594982
367.7093, 4.534763
368.1914, 3.490833
368.6735, 2.414387
369.1556, 1.925808
369.6377, 2.905956
370.1198, 3.407547
370.6020, 3.169502
371.0841, 2.373787
371.5662, 1.633343
372.0483, 0.6037600
372.5304, 5.7804000E-02
373.0125, 0.4431340
373.4947, 2.268833
373.9768, 3.553123
374.4589, 4.191284
374.9410, 4.386436
375.4231, 4.414436
375.9052, 4.210903
376.3874, 4.014816
376.8695, 3.832375
377.3516, 3.671703
377.8337, 3.974121
378.3158, 4.889835
378.7979, 5.864437
379.2801, 6.304417
379.7622, 6.190983
380.2443, 6.089821
380.7264, 6.167416
381.2085, 6.277599
381.6906, 5.866966
382.1728, 4.921547
382.6549, 4.188065
383.1370, 4.235069
383.6191, 4.891506
384.1012, 5.720032
384.5833, 6.919338
385.0655, 8.059994
385.5476, 8.687843
