##NAMES=Pinakiolite
##RRUFFID=R050636
##IDEAL CHEMISTRY=(Mg,Mn^2+^)_2_(Mn^3+^,Sb^5+^)O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark-grey crystals embedded into matrix of calcite, dolomite and tephroite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050636
401.0620, 0.9965710
401.5441, 0.4102480
402.0262, 0.4735950
402.5083, 1.044399
402.9904, 1.411381
403.4725, 1.473766
403.9547, 1.492062
404.4368, 1.505039
404.9189, 1.504116
405.4010, 1.468964
405.8831, 1.395374
406.3652, 1.314533
406.8474, 1.280560
407.3295, 1.344856
407.8116, 1.299866
408.2937, 0.9255030
408.7758, 0.6474040
409.2579, 0.7985230
409.7401, 1.279808
410.2222, 1.701630
410.7043, 1.742878
411.1864, 1.487537
411.6685, 1.685925
412.1506, 3.028580
412.6328, 3.977798
413.1149, 4.174213
413.5970, 3.931206
414.0791, 3.498779
414.5612, 2.983555
415.0433, 2.554771
415.5255, 2.558388
416.0076, 3.210529
416.4897, 3.544361
416.9718, 3.050838
417.4539, 2.609764
417.9360, 2.741531
418.4182, 3.327118
418.9003, 3.850769
419.3824, 3.877514
419.8645, 3.550716
420.3466, 3.505199
420.8287, 3.842266
421.3109, 4.326603
421.7930, 5.096901
422.2751, 5.811989
422.7572, 6.112232
423.2393, 5.914131
423.7214, 5.366146
424.2036, 4.341129
424.6857, 2.883877
425.1678, 2.203991
425.6499, 3.114883
426.1320, 4.198246
426.6141, 3.814770
427.0963, 2.203720
427.5784, 1.265244
428.0605, 2.529842
428.5426, 4.650509
429.0247, 5.404549
429.5068, 4.602947
429.9890, 3.669464
430.4711, 3.473583
430.9532, 3.843697
431.4353, 4.108299
431.9174, 4.199905
432.3995, 4.286186
432.8817, 4.575378
433.3638, 4.902779
433.8459, 4.919460
434.3280, 4.391399
434.8101, 3.699677
435.2922, 3.392979
435.7744, 3.556351
436.2565, 4.030468
436.7386, 5.168285
437.2207, 6.215038
437.7028, 6.622971
438.1849, 6.503952
438.6671, 6.344883
439.1492, 6.458977
439.6313, 6.712055
440.1134, 6.486565
440.5955, 4.993198
441.0776, 4.099560
441.5598, 4.331417
442.0418, 4.934925
442.5240, 5.297894
443.0061, 5.295380
443.4882, 5.329048
443.9703, 5.873615
444.4524, 7.018715
444.9345, 7.578365
445.4167, 7.071533
445.8988, 6.632908
446.3809, 6.744400
446.8630, 7.138336
447.3451, 7.384365
447.8272, 7.132118
448.3094, 6.634083
448.7915, 6.557922
449.2736, 7.073460
449.7557, 7.522167
450.2378, 7.559082
450.7199, 7.589645
451.2021, 8.016834
451.6842, 8.840267
452.1663, 9.508686
452.6484, 9.424000
453.1305, 8.811588
453.6126, 8.581886
454.0948, 8.923298
454.5769, 9.329380
455.0590, 9.406578
455.5411, 9.340000
456.0232, 9.413857
456.5053, 9.776333
456.9875, 10.09491
457.4696, 10.04003
457.9517, 9.666592
458.4338, 9.487537
458.9159, 9.686802
459.3980, 10.14732
459.8802, 10.72733
460.3623, 11.51542
460.8444, 11.96052
461.3265, 11.81030
461.8086, 11.37472
462.2907, 10.74022
462.7729, 10.02299
463.2550, 9.656406
463.7371, 10.02901
464.2192, 10.96782
464.7013, 11.46472
465.1834, 11.49993
465.6656, 11.15756
466.1477, 9.910301
466.6298, 8.550060
467.1119, 7.989872
467.5940, 8.413219
468.0761, 9.321701
468.5583, 10.19550
469.0404, 11.10760
469.5225, 11.53158
470.0046, 11.22147
470.4867, 10.66659
470.9688, 9.761322
471.4510, 8.760323
471.9331, 8.090919
472.4152, 7.981831
472.8973, 8.116589
473.3794, 7.812611
473.8615, 6.880615
474.3437, 6.332939
474.8258, 6.764851
475.3079, 7.311901
475.7900, 7.426044
476.2721, 7.141373
476.7542, 6.828251
477.2364, 7.002354
477.7185, 7.249401
478.2006, 6.279003
478.6827, 3.780537
479.1648, 1.966862
479.6469, 2.436649
480.1291, 4.128868
480.6112, 5.103722
481.0933, 5.145855
481.5754, 4.850609
482.0575, 4.297382
482.5396, 3.657085
483.0217, 3.296646
483.5038, 3.308083
483.9860, 3.382843
484.4681, 3.211632
484.9502, 2.775913
485.4323, 2.469734
485.9144, 2.236835
486.3965, 2.230854
486.8787, 2.715664
487.3608, 3.436878
487.8429, 3.978226
488.3250, 4.173885
488.8071, 4.053730
489.2892, 3.650063
489.7714, 2.856300
490.2535, 2.019089
490.7356, 0.8465390
491.2177, 9.3075000E-02
491.6998, 0.3875120
492.1819, 0.2030530
492.6641, 4.3560001E-03
493.1462, 7.1475998E-02
493.6283, 0.2720530
494.1104, 5.5523001E-02
494.5925, 0.8577380
495.0746, 1.423183
495.5568, 0.9218480
496.0389, 0.3138240
496.5210, 0.4374960
497.0031, 1.278458
497.4852, 1.908794
497.9673, 1.367294
498.4495, 0.1383510
498.9316, 0.2800640
499.4137, 0.3848880
499.8958, 0.7965470
500.3779, 0.2570300
500.8600, 1.926792
501.3422, 2.367191
501.8243, 0.8777390
502.3064, 0.5219840
502.7885, 0.6639670
503.2706, 7.8097999E-02
503.7527, 0.2950860
504.2349, 0.2544630
504.7170, 9.1637000E-02
505.1991, 7.5809002E-02
505.6812, 0.2159960
506.1633, 0.3398480
506.6454, 0.4521790
507.1276, 0.5330510
507.6097, 0.6386490
508.0918, 0.6949120
508.5739, 0.6129070
509.0560, 0.3557850
509.5381, 0.1069300
510.0203, 0.9180410
510.5024, 2.381847
510.9845, 3.117973
511.4666, 2.637226
511.9487, 1.910038
512.4308, 1.016312
512.9130, 0.1937830
513.3951, 0.1331900
513.8772, 0.3165170
514.3593, 1.145409
514.8414, 1.724800
515.3235, 2.082104
515.8057, 2.021992
516.2878, 0.8952330
516.7699, 4.3609999E-02
517.2520, 0.6303710
517.7341, 2.639683
518.2162, 3.966362
518.6984, 3.230747
519.1805, 1.659576
519.6626, 0.6371730
520.1447, 0.1975780
520.6268, 0.4360890
521.1089, 1.665802
521.5911, 3.290127
522.0732, 3.824871
522.5553, 2.947617
523.0374, 2.179832
523.5195, 1.702663
524.0016, 1.486725
524.4838, 1.544743
524.9659, 1.853184
525.4480, 2.398140
525.9301, 3.228241
526.4122, 4.200146
526.8943, 4.560863
527.3765, 3.666092
527.8586, 3.061829
528.3407, 3.077045
528.8228, 3.279045
529.3049, 3.277664
529.7870, 3.059151
530.2692, 2.927029
530.7513, 3.226715
531.2334, 3.851780
531.7155, 4.114418
532.1976, 3.794586
532.6797, 3.624508
533.1619, 4.207165
533.6440, 4.952202
534.1261, 5.199268
534.6082, 4.791977
535.0903, 4.370201
535.5724, 4.455814
536.0546, 4.802505
536.5367, 4.776600
537.0188, 4.235466
537.5009, 3.908649
537.9830, 4.495182
538.4651, 5.710850
538.9473, 6.089405
539.4294, 4.732056
539.9115, 3.749428
540.3936, 4.050888
540.8757, 4.891739
541.3578, 5.467861
541.8400, 5.575382
542.3221, 5.245430
542.8042, 4.377476
543.2863, 2.948776
543.7684, 2.464382
544.2505, 3.920910
544.7326, 5.181320
545.2147, 5.900780
545.6968, 6.181698
546.1790, 6.031544
546.6611, 5.493240
547.1432, 4.945190
547.6253, 4.973907
548.1074, 5.474739
548.5895, 5.225586
549.0717, 3.810314
549.5538, 2.438904
550.0359, 1.837063
550.5180, 1.767601
551.0001, 1.969692
551.4822, 2.552231
551.9644, 3.037666
552.4465, 3.157177
552.9286, 2.959766
553.4107, 2.421860
553.8928, 1.523666
554.3749, 0.8434640
554.8571, 0.9931260
555.3392, 1.923378
555.8213, 2.335793
556.3034, 1.876888
556.7855, 1.354317
557.2676, 1.074245
557.7498, 0.8638800
558.2319, 0.3657990
558.7140, 0.4863820
559.1961, 1.237465
559.6782, 1.293800
560.1603, 0.6580090
560.6425, 0.2453380
561.1246, 0.3116110
561.6067, 0.3152580
562.0888, 0.1680870
562.5709, 0.7138900
563.0530, 0.7308430
563.5352, 5.1849000E-02
564.0173, 0.6617810
564.4994, 0.7833060
564.9815, 0.4819910
565.4636, 0.3025930
565.9457, 0.2902950
566.4279, 0.4073720
566.9100, 0.7186090
567.3921, 1.106888
567.8742, 1.204563
568.3563, 0.9043540
568.8384, 0.5808830
569.3206, 0.2194900
569.8027, 2.5883000E-02
570.2848, 0.1867180
570.7669, 0.8456800
571.2490, 1.376740
571.7311, 1.212254
572.2133, 0.4302250
572.6954, 0.1398810
573.1775, 9.2597999E-02
573.6596, 0.4053460
574.1417, 1.718941
574.6238, 3.056728
575.1060, 3.583366
575.5881, 3.223282
576.0702, 2.621029
576.5523, 2.197098
577.0344, 1.970036
577.5165, 2.061520
577.9987, 2.531166
578.4808, 3.013630
