##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
411.3257, 250.6094
411.8078, 251.3047
412.2899, 249.4180
412.7720, 246.6562
413.2542, 246.9453
413.7363, 248.8594
414.2184, 247.2422
414.7005, 243.0586
415.1826, 232.7109
415.6647, 201.2188
416.1469, 147.7266
416.6290, 112.5547
417.1111, 140.1250
417.5932, 198.6250
418.0753, 245.6211
418.5574, 261.9727
419.0396, 267.0508
419.5217, 270.8047
420.0038, 272.3477
420.4859, 264.2969
420.9680, 235.8984
421.4501, 203.1133
421.9323, 178.9883
422.4144, 190.3086
422.8965, 179.0117
423.3786, 119.8125
423.8607, 31.32812
424.3428, 35.64844
424.8250, 64.92188
425.3071, 80.11719
425.7892, 91.93359
426.2713, 113.1016
426.7534, 92.42969
427.2355, 5.222656
427.7177, 107.8711
428.1998, 187.0938
428.6819, 225.8750
429.1640, 239.2852
429.6461, 219.5859
430.1282, 166.8203
430.6104, 139.7461
431.0925, 137.7461
431.5746, 157.3633
432.0567, 204.9844
432.5388, 281.0391
433.0209, 340.8516
433.5031, 375.0938
433.9852, 387.4219
434.4673, 384.6797
434.9494, 367.8711
435.4315, 344.7617
435.9136, 318.4805
436.3958, 292.0078
436.8779, 274.5664
437.3600, 273.6289
437.8421, 269.0430
438.3242, 220.8906
438.8063, 148.6562
439.2885, 107.6406
439.7706, 143.0664
440.2527, 207.6055
440.7348, 257.0938
441.2169, 286.7109
441.6990, 313.8555
442.1812, 362.2070
442.6633, 407.4531
443.1454, 421.1953
443.6275, 344.1445
444.1096, 281.1719
444.5917, 282.8906
445.0739, 343.7734
445.5560, 381.9648
446.0381, 362.4570
446.5202, 327.8086
447.0023, 302.8164
447.4844, 308.4414
447.9666, 301.3633
448.4487, 268.5781
448.9308, 224.6133
449.4129, 208.8047
449.8950, 230.9531
450.3771, 267.9414
450.8593, 319.8125
451.3413, 396.7656
451.8235, 422.4727
452.3056, 382.3906
452.7877, 314.9492
453.2698, 269.5234
453.7519, 247.7812
454.2340, 230.4805
454.7162, 208.5703
455.1983, 187.3945
455.6804, 191.7539
456.1625, 222.9492
456.6446, 252.7539
457.1267, 257.8438
457.6089, 244.4570
458.0910, 213.3906
458.5731, 151.6914
459.0552, 97.63281
459.5373, 115.1562
460.0194, 183.7734
460.5016, 235.5273
460.9837, 230.0156
461.4658, 193.3281
461.9479, 128.5781
462.4300, 26.58984
462.9121, 35.14453
463.3943, 25.99609
463.8764, 137.0664
464.3585, 205.2109
464.8406, 172.6211
465.3227, 132.2734
465.8048, 109.0000
466.2870, 108.1992
466.7691, 109.7383
467.2512, 81.49609
467.7333, 70.64844
468.2154, 110.0898
468.6975, 269.6875
469.1797, 359.0938
469.6618, 340.2578
470.1439, 256.2695
470.6260, 220.7656
471.1081, 249.3164
471.5902, 287.5352
472.0724, 317.1250
472.5545, 338.5430
473.0366, 338.8594
473.5187, 316.5898
474.0008, 277.7188
474.4829, 222.5742
474.9651, 153.2578
475.4472, 91.71875
475.9293, 39.89062
476.4114, 4.484375
476.8935, 1.691406
477.3756, 31.12109
477.8578, 79.09766
478.3399, 162.6875
478.8220, 251.7031
479.3041, 298.3320
479.7862, 285.5195
480.2683, 250.5781
480.7505, 209.6641
481.2326, 167.2383
481.7147, 132.1094
482.1968, 89.48828
482.6789, 64.44531
483.1610, 78.82812
483.6432, 139.1641
484.1253, 183.5586
484.6074, 163.8125
485.0895, 143.0781
485.5716, 169.5859
486.0537, 329.0977
486.5359, 432.5234
487.0180, 439.4453
487.5001, 372.9766
487.9822, 343.3945
488.4643, 374.1758
488.9464, 404.6016
489.4286, 402.3477
489.9107, 359.2305
490.3928, 333.5469
490.8749, 335.1758
491.3570, 341.2578
491.8391, 311.9414
492.3213, 248.4922
492.8034, 192.0312
493.2855, 152.6250
493.7676, 133.9219
494.2497, 166.8711
494.7318, 250.0938
495.2140, 303.0586
495.6961, 209.8438
496.1782, 51.93750
496.6603, 17.76172
497.1424, 66.09375
497.6245, 166.4180
498.1067, 155.0078
498.5888, 75.82812
499.0709, 33.25000
499.5530, 98.13281
500.0351, 185.3242
500.5172, 259.7148
500.9994, 317.7539
501.4815, 354.6797
501.9636, 356.8789
502.4457, 342.4297
502.9278, 327.9102
503.4099, 322.4531
503.8921, 306.8125
504.3742, 273.1172
504.8563, 229.0156
505.3384, 208.6367
505.8205, 236.2227
506.3026, 247.2383
506.7848, 198.7773
507.2669, 77.00000
507.7490, 13.01953
508.2311, 20.03125
508.7132, 58.19531
509.1953, 78.02734
509.6775, 80.49219
510.1596, 77.14062
510.6417, 59.54688
511.1238, 44.32031
511.6059, 73.12891
512.0880, 140.0469
512.5701, 207.1992
513.0522, 264.7109
513.5344, 300.6289
514.0165, 292.1328
514.4986, 215.7148
514.9807, 145.4492
515.4628, 144.5586
515.9449, 180.8438
516.4271, 199.5664
516.9092, 179.5938
517.3913, 144.0117
517.8734, 87.97656
518.3555, 10.73438
518.8376, 25.57422
519.3198, 24.14453
519.8019, 91.85156
520.2840, 137.6211
520.7661, 153.3164
521.2482, 162.6719
521.7303, 169.3945
522.2125, 163.6289
522.6946, 113.2188
523.1767, 0.9804690
523.6588, 86.64844
524.1409, 106.3242
524.6230, 67.58594
525.1052, 45.78125
525.5873, 43.71875
526.0694, 36.18750
526.5515, 19.07422
527.0336, 101.1797
527.5157, 145.4961
527.9979, 122.8594
528.4800, 80.30859
528.9621, 56.12891
529.4442, 51.26562
529.9263, 67.63281
530.4084, 128.7539
530.8906, 194.8867
531.3727, 238.5898
531.8548, 256.2852
532.3369, 259.8086
532.8190, 222.9297
533.3011, 187.1016
533.7833, 190.1016
534.2654, 282.6523
534.7475, 357.7812
535.2296, 413.3359
535.7117, 445.3477
536.1938, 437.6875
536.6760, 368.8125
537.1581, 300.9648
537.6402, 254.5234
538.1223, 229.1016
538.6044, 252.4688
539.0865, 343.3633
539.5687, 431.0859
540.0508, 417.4375
540.5329, 317.1758
541.0150, 237.4375
541.4971, 213.5703
541.9792, 214.2070
542.4614, 181.8281
542.9435, 126.6055
543.4256, 95.21094
543.9077, 147.9141
544.3898, 219.3555
544.8719, 243.5273
545.3541, 208.8633
545.8362, 162.2422
546.3183, 96.25000
546.8004, 41.35156
547.2825, 30.24219
547.7646, 128.3203
548.2468, 206.1289
548.7289, 237.8125
549.2110, 235.7227
549.6931, 233.6055
550.1752, 207.9570
550.6573, 185.2500
551.1395, 196.5039
551.6216, 256.8945
552.1037, 255.3281
552.5858, 171.2500
553.0679, 71.42969
553.5500, 36.30078
554.0322, 63.87109
554.5143, 98.65234
554.9964, 143.6289
555.4785, 176.9219
555.9606, 135.8555
556.4427, 37.37109
556.9249, 26.47656
557.4070, 27.95312
557.8891, 133.0508
558.3712, 219.2031
558.8533, 279.1641
559.3354, 318.6484
559.8176, 333.9648
560.2997, 332.5859
560.7818, 322.1758
561.2639, 279.6406
561.7460, 254.6953
562.2281, 274.4258
562.7103, 322.1484
563.1924, 335.5391
563.6745, 290.6875
564.1566, 242.2539
564.6387, 207.3906
565.1208, 186.1250
565.6030, 182.1875
566.0851, 201.6445
566.5672, 229.8359
567.0493, 267.6836
567.5314, 312.8555
568.0135, 293.4062
568.4957, 167.2461
568.9778, 22.29297
569.4599, 36.00781
569.9420, 170.8398
570.4241, 266.6523
570.9063, 174.4219
571.3884, 40.42969
571.8705, 29.30078
572.3526, 147.1367
572.8347, 249.5234
573.3168, 238.5977
573.7990, 190.0938
574.2811, 168.0312
574.7632, 205.7031
575.2453, 240.8047
575.7274, 255.2461
576.2095, 262.2461
576.6917, 288.2422
577.1738, 357.7383
577.6559, 414.8594
578.1380, 447.5703
578.6201, 455.2656
579.1022, 415.2461
579.5844, 307.7227
580.0665, 224.6016
580.5486, 265.7695
581.0307, 408.0273
581.5128, 483.9531
581.9949, 473.3008
582.4771, 422.7852
582.9592, 364.0000
583.4413, 304.3320
583.9234, 264.5820
584.4055, 265.5352
584.8876, 282.4219
585.3698, 308.6562
585.8519, 340.3633
586.3340, 354.7070
586.8161, 320.4062
587.2982, 283.0625
587.7803, 272.7227
588.2625, 313.1914
588.7446, 325.9180
589.2267, 278.8008
589.7088, 221.6836
590.1909, 212.3672
590.6730, 274.3242
591.1552, 317.2656
591.6373, 315.3984
592.1194, 290.9141
592.6015, 318.4023
593.0836, 401.3008
593.5657, 477.3086
594.0479, 510.8281
594.5300, 511.8203
595.0121, 502.2773
595.4942, 481.8398
595.9763, 465.0273
596.4584, 461.9883
596.9406, 470.0742
597.4227, 490.9609
597.9048, 552.0469
598.3869, 577.3438
598.8690, 493.9336
599.3511, 354.6016
599.8333, 260.5078
600.3154, 260.2930
600.7975, 281.4062
601.2796, 314.4414
601.7617, 359.4102
602.2438, 385.1211
602.7260, 394.3281
603.2081, 383.2617
603.6902, 348.4961
604.1723, 289.9492
604.6544, 218.4883
605.1365, 134.9609
605.6187, 42.70703
606.1008, 90.17969
606.5829, 238.1055
607.0650, 288.0000
607.5471, 149.3164
608.0292, 42.37891
608.5114, 135.2930
608.9935, 145.8242
609.4756, 134.5117
609.9577, 98.42578
610.4398, 75.32031
610.9219, 92.36328
611.4041, 156.5664
611.8862, 223.2305
612.3683, 308.1172
612.8504, 375.3594
613.3325, 396.0977
613.8146, 340.0664
614.2968, 294.9648
614.7789, 264.7422
615.2610, 249.1953
615.7431, 232.1836
616.2252, 210.1328
616.7073, 211.5273
617.1895, 267.2305
617.6716, 345.1328
618.1537, 343.9609
618.6358, 269.9023
619.1179, 194.7344
619.6000, 164.5703
620.0822, 165.5781
620.5643, 190.2188
621.0464, 244.9414
621.5285, 281.5625
622.0106, 257.7305
622.4927, 209.1875
622.9749, 174.1523
623.4570, 184.7930
623.9391, 180.7031
624.4212, 128.4961
624.9033, 58.11328
625.3854, 53.73828
625.8676, 151.3906
626.3497, 234.3320
626.8318, 253.0508
627.3139, 217.1562
627.7960, 212.4727
628.2781, 241.1562
628.7603, 270.3594
629.2424, 271.9609
629.7245, 253.0430
630.2066, 227.6328
630.6887, 192.9102
631.1708, 166.7461
631.6530, 186.1562
632.1351, 219.6289
632.6172, 219.5234
633.0993, 102.1289
633.5814, 18.52734
634.0635, 55.33594
634.5457, 177.2617
635.0278, 247.1133
635.5099, 188.4883
635.9920, 146.1797
636.4741, 182.6836
636.9562, 307.2227
637.4384, 346.9219
637.9205, 277.6211
638.4026, 177.3125
638.8847, 102.0312
639.3668, 54.01562
639.8489, 73.52734
640.3311, 180.5469
640.8132, 292.2812
641.2953, 304.8047
641.7774, 248.5859
642.2595, 190.9102
642.7416, 143.9648
643.2238, 116.5000
643.7059, 133.8633
644.1880, 179.8320
644.6701, 199.3281
645.1522, 134.1484
645.6343, 76.96875
646.1165, 77.71094
646.5986, 146.2969
647.0807, 170.8086
647.5628, 128.6719
648.0449, 76.83594
648.5270, 57.62109
649.0092, 73.61719
649.4913, 97.57031
649.9734, 131.7305
650.4555, 163.2812
650.9376, 161.6445
651.4197, 140.0430
651.9019, 147.9023
652.3840, 228.1250
652.8661, 311.9883
653.3482, 318.1641
653.8303, 270.4414
654.3124, 242.5898
654.7946, 290.1094
655.2767, 341.6797
655.7588, 357.5391
656.2409, 330.1797
656.7230, 319.1523
657.2051, 345.3828
657.6872, 367.4805
658.1693, 355.6406
658.6514, 296.7461
659.1335, 269.8906
659.6157, 286.0625
660.0978, 316.8984
660.5799, 326.6328
661.0620, 318.9531
661.5441, 310.3828
662.0262, 312.2773
662.5084, 306.3789
662.9905, 241.4883
663.4726, 147.3164
663.9547, 99.69141
664.4368, 201.1641
664.9189, 302.6875
665.4011, 320.9258
665.8832, 256.5195
666.3653, 211.6094
666.8474, 212.3516
667.3295, 224.8086
667.8116, 238.7422
668.2938, 260.3516
668.7759, 244.5312
669.2580, 175.8125
669.7401, 104.0977
670.2222, 89.09375
670.7043, 126.3086
671.1865, 165.2422
671.6686, 201.7773
672.1507, 228.5820
672.6328, 234.2539
673.1149, 224.4688
673.5970, 210.8281
674.0792, 204.4141
674.5613, 191.7891
675.0434, 151.6680
675.5255, 94.20703
676.0076, 72.58594
676.4897, 102.7500
676.9719, 149.4414
677.4540, 210.5820
677.9361, 292.7148
678.4182, 335.7500
678.9003, 324.8516
679.3824, 294.3359
679.8646, 269.5898
680.3467, 250.2500
680.8288, 237.1289
681.3109, 229.1016
681.7930, 235.7383
682.2751, 266.6133
682.7573, 311.8320
683.2394, 362.4023
683.7215, 442.3047
684.2036, 489.6289
684.6857, 447.8906
685.1678, 349.6133
685.6500, 267.6797
686.1321, 219.4609
686.6142, 193.1953
687.0963, 194.2109
687.5784, 218.6602
688.0605, 226.8984
688.5427, 215.0156
689.0248, 196.5352
689.5069, 177.6641
689.9890, 158.0703
690.4711, 136.4727
690.9532, 112.3359
691.4354, 84.21094
691.9175, 38.96484
692.3996, 6.703125
692.8817, 20.22266
693.3638, 18.15234
693.8459, 47.63281
694.3281, 4.894531
694.8102, 57.51172
695.2923, 69.43750
695.7744, 60.30859
696.2565, 146.0273
696.7386, 139.9688
697.2208, 81.16797
697.7029, 80.47656
698.1850, 163.0195
698.6671, 212.8750
699.1492, 166.6875
699.6313, 62.80469
700.1135, 44.77734
700.5956, 108.1758
701.0777, 182.3477
701.5598, 216.3320
702.0419, 234.8633
702.5240, 275.9336
703.0062, 343.3945
703.4883, 388.2109
703.9704, 373.9805
704.4525, 334.9258
704.9346, 297.4062
705.4167, 261.0430
705.8989, 229.6484
706.3810, 206.0508
706.8631, 190.5938
707.3452, 181.2617
707.8273, 176.9414
708.3094, 194.2070
708.7916, 245.1328
709.2737, 304.5430
709.7558, 318.4414
710.2379, 298.0117
710.7200, 288.8672
711.2021, 343.8750
711.6843, 394.2344
712.1664, 362.0938
712.6485, 266.6484
713.1306, 191.3438
713.6127, 163.7734
714.0948, 165.1172
714.5770, 194.0625
715.0591, 250.6641
715.5412, 308.4844
716.0233, 380.6406
716.5054, 428.8008
716.9875, 413.1289
717.4697, 334.3594
717.9518, 290.3711
718.4339, 289.3906
718.9160, 302.5703
