##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb^2+^_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
537.0090, 13.46741
537.4911, 14.17871
537.9733, 14.80054
538.4554, 14.36743
538.9375, 11.29895
539.4196, 8.398560
539.9017, 7.837524
540.3839, 9.226929
540.8660, 10.27795
541.3481, 9.190552
541.8302, 6.963257
542.3123, 5.872803
542.7944, 6.035156
543.2766, 6.387573
543.7587, 6.727295
544.2408, 6.883179
544.7229, 6.611938
545.2050, 5.884399
545.6871, 5.074219
546.1693, 4.019287
546.6514, 3.130615
547.1335, 3.029175
547.6156, 3.625244
548.0977, 4.028198
548.5798, 3.557251
549.0620, 2.715088
549.5441, 3.193970
550.0262, 5.943481
550.5083, 8.820557
550.9904, 13.57019
551.4725, 17.10107
551.9547, 15.87659
552.4368, 10.88306
552.9189, 6.585815
553.4010, 6.578735
553.8831, 9.567017
554.3652, 10.00952
554.8474, 6.284302
555.3295, 4.129150
555.8116, 7.264282
556.2937, 10.95264
556.7758, 11.53638
557.2579, 8.947144
557.7401, 6.104126
558.2222, 4.361450
558.7043, 3.600830
559.1864, 3.929565
559.6685, 5.339722
560.1506, 6.416260
560.6328, 6.257568
561.1149, 5.534058
561.5970, 5.835815
562.0791, 7.483398
562.5612, 8.860840
563.0433, 10.12732
563.5255, 10.65271
564.0076, 9.460327
564.4897, 6.904419
564.9718, 4.355225
565.4539, 2.646851
565.9360, 1.727051
566.4182, 1.505127
566.9003, 2.530518
567.3824, 3.234131
567.8645, 3.682739
568.3466, 3.691650
568.8287, 2.705444
569.3109, 1.093628
569.7930, 9.7290002E-02
570.2751, 0.6606450
