##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
303.2860, 23.58130
303.7680, 39.67725
304.2500, 40.49768
304.7320, 24.52612
305.2150, 13.28491
305.6970, 5.838196
306.1790, 3.059814
306.6610, 9.945923
307.1430, 22.27692
307.6250, 29.37445
308.1070, 23.91833
308.5890, 9.203552
309.0710, 2.712524
309.5530, 16.24103
310.0360, 24.57397
310.5180, 21.81964
311.0000, 13.65002
311.4820, 5.521484
311.9640, 0.4913940
312.4460, 3.567688
312.9280, 0.3812260
313.4100, 16.88629
313.8930, 23.87939
314.3750, 9.393311
314.8570, 6.704590
315.3390, 10.16614
315.8210, 0.2240600
316.3030, 12.84198
316.7850, 17.30359
317.2670, 12.04913
317.7500, 12.37244
318.2320, 5.011658
318.7140, 15.86060
319.1960, 27.53961
319.6780, 30.35449
320.1600, 1.924194
320.6420, 10.81696
321.1240, 5.213745
321.6060, 1.206970
322.0890, 17.77625
322.5710, 9.549255
323.0530, 9.077332
323.5350, 8.867432
324.0170, 16.67102
324.4990, 7.017700
324.9810, 3.152405
325.4630, 17.50195
325.9450, 22.07153
326.4280, 11.35254
326.9100, 20.54443
327.3920, 0.8416140
327.8740, 2.958252
328.3560, 9.899048
328.8380, 20.65143
329.3200, 18.22235
329.8020, 8.691833
330.2840, 3.244446
330.7670, 4.286255
331.2490, 8.881409
331.7310, 15.24579
332.2130, 23.65625
332.6950, 27.20990
333.1770, 18.58331
333.6590, 10.30249
334.1420, 15.54504
334.6240, 31.81415
335.1060, 43.03851
335.5880, 36.86072
336.0700, 15.60541
336.5520, 3.691406
337.0340, 4.159485
337.5160, 8.857239
337.9980, 21.54718
338.4800, 35.74200
338.9630, 41.20648
339.4450, 33.57056
339.9270, 19.25555
340.4090, 11.85321
340.8910, 16.36243
341.3730, 19.02289
341.8550, 17.11548
342.3370, 15.39465
342.8190, 18.46539
343.3020, 25.98346
343.7840, 32.71350
344.2660, 33.20630
344.7480, 27.07837
345.2300, 19.59149
345.7120, 3.543884
346.1940, 6.280212
346.6770, 1.552124
347.1590, 20.34039
347.6410, 38.97681
348.1230, 51.96460
348.6050, 60.80853
349.0870, 66.06287
349.5690, 68.49298
350.0510, 64.43256
350.5330, 42.04688
351.0160, 16.61273
351.4980, 2.528320
351.9800, 3.495850
352.4620, 9.721680
352.9440, 16.87891
353.4260, 23.91302
353.9080, 24.05524
354.3900, 11.87323
354.8720, 9.0332001E-02
355.3550, 8.077881
355.8370, 5.049927
356.3190, 12.39996
356.8010, 22.46002
357.2830, 25.47931
357.7650, 0.4464720
358.2470, 11.56891
358.7290, 8.215576
359.2110, 4.276611
359.6940, 20.49115
360.1760, 0.6575930
360.6580, 15.23969
361.1400, 16.49902
361.6220, 24.56494
362.1040, 18.04968
362.5860, 15.97729
363.0690, 28.44958
363.5510, 32.81616
364.0330, 24.47351
364.5150, 32.86194
364.9970, 11.48303
365.4790, 16.30695
365.9610, 32.40234
366.4430, 24.84308
366.9250, 33.47894
367.4080, 36.00281
367.8900, 10.48199
368.3720, 33.79205
368.8540, 35.94995
369.3360, 16.39032
369.8180, 37.83923
370.3000, 20.98969
370.7820, 17.93250
371.2640, 24.80646
371.7470, 22.04974
372.2290, 21.13904
372.7110, 19.34668
373.1930, 16.88696
373.6750, 15.26300
374.1570, 15.57214
374.6390, 15.22711
375.1210, 10.25812
375.6030, 0.3332520
376.0860, 8.625122
376.5680, 10.43097
377.0500, 6.421082
377.5320, 5.165649
378.0140, 25.45227
378.4960, 44.95978
378.9780, 55.30084
379.4600, 55.50726
379.9430, 48.97925
380.4250, 22.82599
380.9070, 1.585938
381.3890, 1.744263
