##NAMES=Zharchikhite
##RRUFFID=R061136
##IDEAL CHEMISTRY=Al(OH)_2_F
##LOCALITY=Zharchikha deposit, Buryatia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White granular massive, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061136
551.7842, 14.96094
552.2663, 16.33594
552.7484, 0.1484380
553.2305, 46.76562
553.7126, 13.71875
554.1948, 104.2422
554.6769, 203.1797
555.1590, 156.1250
555.6411, 34.50781
556.1232, 2.781250
556.6053, 91.35938
557.0875, 196.4688
557.5696, 198.4375
558.0517, 139.1484
558.5338, 91.34375
559.0159, 111.6016
559.4980, 133.6406
559.9802, 113.1719
560.4623, 57.18750
560.9444, 32.38281
561.4265, 94.89844
561.9086, 156.3281
562.3907, 171.6797
562.8729, 121.4062
563.3550, 82.33594
563.8371, 51.46094
564.3192, 34.75000
564.8013, 48.46094
565.2834, 104.3516
565.7656, 128.6641
566.2477, 102.2109
566.7298, 42.83594
567.2119, 38.89062
567.6940, 87.46094
568.1761, 129.6797
568.6583, 143.9844
569.1404, 128.4922
569.6225, 53.55469
570.1046, 79.35156
570.5867, 166.4844
571.0688, 84.65625
571.5510, 60.79688
572.0331, 150.9844
572.5152, 126.1719
572.9973, 111.3438
573.4794, 182.0781
573.9615, 288.8438
574.4437, 344.6250
574.9258, 285.7188
575.4079, 233.5938
575.8900, 223.0312
576.3721, 246.9375
576.8542, 228.2344
577.3364, 152.8750
577.8185, 59.17188
578.3006, 41.68750
578.7827, 148.5781
579.2648, 190.4219
579.7469, 157.2500
580.2291, 95.76562
580.7112, 57.71875
581.1933, 36.43750
581.6754, 5.468750
582.1575, 49.89062
582.6396, 100.1406
583.1218, 91.64062
583.6039, 47.96875
584.0860, 34.21875
584.5681, 141.6094
585.0502, 241.1875
585.5323, 231.3750
586.0145, 118.5469
586.4966, 20.31250
586.9787, 67.64062
587.4608, 110.2656
587.9429, 77.71875
588.4250, 95.93750
588.9072, 212.6250
589.3893, 247.2656
589.8714, 244.9375
590.3535, 278.4219
590.8356, 363.8125
591.3177, 405.5000
591.7999, 371.0625
592.2820, 284.9375
592.7641, 194.3438
593.2462, 101.3281
593.7283, 55.67188
594.2104, 144.6094
594.6926, 277.0938
595.1747, 267.6875
595.6568, 107.5000
596.1389, 7.218750
596.6210, 141.7031
597.1031, 369.6406
597.5853, 475.6719
598.0674, 329.5469
598.5495, 220.3906
599.0316, 262.8125
599.5137, 387.8125
599.9958, 480.5625
600.4780, 525.4062
600.9601, 545.2500
601.4423, 537.8750
601.9244, 506.7344
602.4065, 470.1250
602.8886, 420.5469
603.3707, 388.5781
603.8528, 399.8750
604.3350, 449.2344
604.8171, 483.2812
605.2992, 500.8906
605.7813, 511.9844
606.2634, 541.9688
606.7455, 571.6250
607.2277, 555.4375
607.7098, 462.4375
608.1919, 371.2344
608.6740, 330.7969
609.1561, 335.3906
609.6382, 378.1406
610.1204, 541.6250
610.6025, 654.6406
611.0846, 624.4062
611.5667, 471.2031
612.0488, 362.0938
612.5309, 320.4688
613.0131, 302.2344
613.4952, 284.0938
613.9773, 259.2344
614.4594, 305.7500
614.9415, 455.9531
615.4236, 591.5312
615.9058, 546.4844
616.3879, 347.9531
616.8700, 260.3438
617.3521, 343.9219
617.8342, 501.5000
618.3163, 631.7656
618.7985, 736.8125
619.2806, 822.0625
619.7627, 40.73438
620.2448, 436.5625
620.7269, 754.8125
621.2090, 915.9844
621.6912, 816.4219
622.1733, 773.2656
622.6554, 536.0938
