##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
537.5682, 16.16064
538.0504, 17.64673
538.5325, 19.31396
539.0146, 17.82520
539.4967, 8.673584
539.9788, 5.362061
540.4609, 10.41431
540.9431, 0.7407230
541.4252, 9.843506
541.9073, 9.286865
542.3894, 7.590332
542.8715, 15.73975
543.3536, 32.55078
543.8358, 45.11743
544.3179, 41.36304
544.8000, 26.84717
545.2821, 28.53809
545.7642, 55.97656
546.2463, 73.41064
546.7285, 64.27271
547.2106, 47.06299
547.6927, 33.91284
548.1748, 25.52881
548.6569, 20.74170
549.1390, 18.93457
549.6211, 20.63428
550.1032, 30.62231
550.5853, 45.77539
551.0674, 50.90137
551.5496, 38.60669
552.0317, 20.76587
552.5138, 17.22168
552.9959, 34.15894
553.4780, 43.17529
553.9601, 39.11182
554.4423, 37.65454
554.9244, 43.13794
555.4065, 53.06372
555.8886, 64.40161
556.3707, 76.24756
556.8528, 84.55396
557.3350, 83.64282
557.8171, 74.32129
558.2992, 61.12500
558.7813, 41.09473
559.2634, 28.20312
559.7455, 36.29858
560.2277, 58.27930
560.7098, 70.36060
561.1919, 67.56909
561.6740, 63.35547
562.1561, 60.58691
562.6382, 59.27441
563.1204, 60.13159
563.6025, 62.70776
564.0846, 65.10938
564.5667, 66.08691
565.0488, 65.60767
565.5309, 63.42310
566.0131, 58.91162
566.4952, 54.23608
566.9773, 44.69458
567.4594, 39.38281
567.9415, 50.00195
568.4236, 71.91455
568.9058, 83.54468
569.3879, 65.67480
569.8700, 42.71118
570.3521, 41.68823
570.8342, 56.71704
571.3163, 68.03516
571.7985, 69.53027
572.2806, 66.51416
572.7627, 65.27490
573.2448, 66.20679
573.7269, 65.10791
574.2090, 64.51489
574.6912, 58.97046
575.1733, 39.58789
575.6554, 18.47656
576.1375, 10.08203
576.6196, 17.04761
577.1017, 28.83203
577.5839, 37.59839
578.0660, 43.51831
578.5481, 45.77246
579.0302, 32.36475
579.5123, 51.18945
579.9944, 61.64136
580.4766, 64.17017
580.9587, 35.04663
581.4408, 46.79858
581.9229, 42.17065
582.4050, 36.68799
582.8871, 53.58350
583.3693, 28.34497
583.8514, 44.97510
584.3335, 45.49365
584.8156, 53.62451
585.2977, 45.27368
585.7798, 42.01562
586.2620, 55.24634
586.7441, 59.03149
587.2262, 48.20898
587.7083, 36.33789
588.1904, 46.98145
588.6725, 59.80249
589.1547, 60.30029
589.6368, 40.28882
590.1189, 24.61597
590.6010, 30.46802
591.0831, 44.54224
591.5652, 47.77637
592.0474, 40.57373
592.5295, 38.90259
593.0116, 54.77393
593.4937, 79.44604
593.9758, 84.51050
594.4579, 58.88086
594.9401, 39.93091
595.4222, 34.13647
595.9043, 32.83398
596.3864, 33.77100
596.8685, 35.71167
597.3506, 36.27441
597.8328, 33.60010
598.3149, 30.83179
598.7970, 31.53931
599.2791, 33.75537
599.7612, 37.00000
600.2433, 41.30151
600.7255, 43.27173
601.2076, 38.55420
601.6897, 29.03735
602.1718, 30.35913
602.6539, 61.79150
603.1360, 80.22998
603.6182, 70.31641
604.1003, 52.68042
604.5824, 40.81958
605.0645, 36.51636
605.5466, 37.29126
606.0287, 39.31860
606.5109, 42.92212
606.9930, 55.97363
607.4751, 75.95264
607.9572, 79.59448
608.4393, 57.42236
608.9214, 32.29712
