##NAMES=Tomichite
##RRUFFID=R070708
##IDEAL CHEMISTRY=V^3+^_4_Ti^4+^_3_As^3+^O_13_(OH)
##LOCALITY=Hemlo Mines, Hemlo gold deposit, Marathon, Thunder Bay District, Ontario, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bleb associated with titanite, sanidine and tetrahedrite; opaque under microscope
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070708
559.1766, 56.03400
559.6587, 26.14349
560.1408, 56.18463
560.6229, 30.63879
561.1050, 24.80396
561.5872, 33.53741
562.0693, 26.73572
562.5514, 44.67743
563.0335, 39.00513
563.5156, 31.05005
563.9977, 32.37946
564.4799, 7.860413
564.9620, 31.82587
565.4441, 22.69104
565.9262, 29.98370
566.4083, 40.93793
566.8904, 23.24133
567.3726, 35.70905
567.8547, 19.66638
568.3368, 16.43402
568.8189, 14.05884
569.3010, 16.60455
569.7831, 34.36963
570.2653, 54.20172
570.7474, 53.29730
571.2295, 33.03491
571.7116, 15.67249
572.1937, 11.62500
572.6758, 14.62775
573.1580, 12.57275
573.6401, 2.338867
574.1222, 5.104248
574.6043, 7.386536
575.0864, 7.617004
575.5685, 8.565308
576.0507, 9.659546
576.5328, 7.540955
577.0149, 0.7055660
577.4970, 11.69537
577.9791, 13.08008
578.4612, 1.603394
578.9434, 10.11432
579.4255, 2.532776
579.9076, 7.975281
580.3897, 13.40125
580.8718, 13.54285
581.3539, 12.99103
581.8361, 16.50916
582.3182, 19.64703
582.8003, 12.04517
583.2824, 5.513855
583.7645, 15.54639
584.2467, 8.227234
584.7288, 9.058228
585.2109, 20.83307
585.6931, 26.84369
586.1752, 28.27899
586.6573, 22.30383
587.1394, 14.24689
587.6215, 6.661316
588.1036, 0.3980710
588.5858, 4.004333
589.0679, 6.473145
589.5500, 6.150513
590.0321, 1.218262
590.5142, 21.87042
590.9963, 33.58722
591.4785, 21.36865
591.9606, 7.240173
592.4427, 8.303955
592.9248, 22.93695
593.4069, 35.87512
593.8890, 41.44904
594.3712, 40.57416
594.8533, 31.89581
595.3354, 16.83148
595.8175, 7.891418
596.2996, 11.38275
596.7817, 21.50787
597.2639, 27.58984
597.7460, 28.84656
598.2281, 27.16534
598.7102, 14.70282
599.1923, 6.362854
599.6744, 16.56866
600.1566, 38.03986
600.6387, 52.09387
601.1208, 47.63513
601.6029, 34.48865
602.0850, 33.97015
602.5671, 49.54144
603.0493, 58.04846
603.5314, 52.75122
604.0135, 42.53534
604.4956, 32.71222
604.9777, 23.69269
605.4598, 17.52551
605.9420, 15.68579
606.4241, 16.16901
606.9062, 18.65802
607.3883, 22.21826
607.8704, 23.87659
608.3525, 22.48096
608.8347, 20.48938
609.3168, 21.90088
609.7989, 28.63922
610.2810, 30.49664
610.7631, 22.59888
611.2452, 15.52509
611.7274, 13.79016
612.2095, 15.01666
612.6916, 14.97119
613.1737, 11.95941
613.6558, 8.871033
614.1379, 9.670288
614.6201, 13.88599
615.1022, 17.59821
615.5843, 20.38269
616.0664, 22.32336
616.5485, 22.34296
617.0306, 21.44104
617.5128, 23.70581
617.9949, 34.65247
618.4770, 42.39758
618.9591, 39.43115
619.4412, 32.07550
619.9233, 28.44543
620.4055, 30.18604
620.8876, 34.41205
621.3697, 39.30249
621.8518, 44.52429
622.3339, 43.45081
622.8160, 30.48267
623.2982, 21.70996
623.7803, 24.39520
624.2624, 30.95258
624.7445, 33.41687
625.2266, 30.70496
625.7087, 30.66736
626.1909, 43.54987
626.6730, 60.07794
627.1551, 62.48730
627.6372, 50.71960
628.1193, 39.61322
628.6014, 37.09253
629.0836, 39.67523
629.5657, 38.38104
630.0478, 25.31836
630.5299, 22.90918
631.0120, 43.44769
631.4941, 63.51215
631.9763, 67.06335
632.4584, 57.46246
632.9405, 45.83826
633.4226, 37.64850
633.9047, 33.04114
634.3868, 34.14551
634.8690, 41.85931
635.3511, 47.02612
635.8332, 46.39142
636.3153, 44.25055
636.7974, 46.63062
637.2795, 53.05939
637.7617, 55.66357
638.2438, 50.23999
638.7259, 43.54572
639.2080, 38.18188
639.6901, 34.42181
640.1722, 33.13519
640.6544, 34.37286
641.1365, 35.28870
641.6186, 33.02161
642.1007, 28.40692
642.5828, 28.08685
643.0649, 35.17242
643.5471, 39.87036
644.0292, 35.41785
644.5113, 29.11835
644.9934, 11.32178
645.4755, 35.59216
645.9576, 48.84369
646.4398, 51.63312
646.9219, 13.47845
647.4040, 28.05078
647.8861, 21.93262
648.3682, 15.20123
648.8503, 37.87567
649.3325, 6.375854
649.8146, 28.56000
650.2967, 29.32953
650.7788, 39.92804
651.2609, 29.28259
651.7430, 25.20465
652.2252, 42.38855
652.7073, 47.80719
653.1894, 34.73486
653.6715, 45.98267
654.1536, 13.78821
654.6357, 19.72681
655.1179, 42.12103
655.6000, 30.14050
656.0821, 41.80420
656.5642, 44.46954
657.0463, 6.214417
657.5284, 39.13025
658.0106, 41.27875
658.4927, 11.83533
658.9748, 42.32837
659.4569, 17.25104
659.9390, 12.01654
660.4211, 21.71582
660.9033, 15.85779
661.3854, 34.54126
661.8675, 29.59247
662.3496, 22.53717
662.8317, 24.70367
663.3138, 0.7590330
663.7960, 25.27130
664.2781, 16.69244
664.7602, 24.57068
665.2423, 36.18329
665.7244, 19.24927
666.2065, 32.54858
666.6887, 1.022644
667.1708, 4.634766
667.6529, 6.074097
668.1350, 32.59003
668.6171, 0.7299800
669.0992, 3.860535
669.5814, 24.59631
670.0635, 22.75531
670.5456, 30.36224
671.0277, 10.02307
671.5098, 15.94885
671.9919, 14.64264
672.4741, 38.35400
672.9562, 42.32629
673.4383, 22.49249
673.9204, 2.765930
674.4025, 28.30273
674.8846, 10.95105
675.3668, 16.74744
675.8489, 1.349976
676.3310, 1.195007
676.8131, 3.419495
677.2952, 16.22913
677.7773, 3.031372
678.2595, 19.32312
678.7416, 17.63544
679.2237, 23.03882
679.7058, 27.66095
680.1879, 1.9714000E-02
680.6700, 1.160034
681.1522, 35.52075
681.6343, 14.47949
682.1164, 5.096741
682.5985, 4.004028
683.0806, 42.00909
683.5627, 28.46106
684.0449, 26.57562
684.5270, 12.25018
685.0091, 4.453857
685.4912, 15.84680
685.9733, 21.87451
686.4554, 21.27600
686.9376, 6.825500
687.4197, 4.938660
687.9018, 12.06311
688.3839, 16.04193
688.8660, 17.07373
689.3481, 15.94470
689.8303, 15.34863
690.3124, 19.24359
690.7945, 22.55170
691.2766, 12.40613
691.7587, 9.366760
692.2408, 19.45874
692.7230, 8.564758
693.2051, 7.129822
693.6872, 7.584534
694.1693, 9.602600
694.6514, 11.79254
695.1335, 19.57141
695.6157, 42.21960
696.0978, 36.62726
696.5799, 20.06744
697.0620, 11.06903
697.5441, 13.37524
698.0262, 20.48505
698.5084, 30.77594
698.9905, 40.71295
699.4726, 16.88312
699.9547, 41.05670
700.4368, 54.44336
700.9189, 57.62292
701.4011, 20.00018
701.8832, 35.08313
702.3653, 29.05493
