##NAMES=Cleusonite
##RRUFFID=R061019
##IDEAL CHEMISTRY=Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_
##LOCALITY=Bella Tola, Alpe Roua, St-Luc, Val d'Annivers, Wallis
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metamict black semimetallic prismatic, associated with quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061019
392.4774, 27.62158
392.9595, 36.56152
393.4417, 46.30615
393.9238, 51.03296
394.4059, 50.51221
394.8880, 47.39038
395.3701, 35.57251
395.8522, 26.77881
396.3344, 30.46631
396.8165, 43.12305
397.2986, 55.42847
397.7807, 62.96533
398.2628, 66.09033
398.7449, 65.86328
399.2271, 61.97217
399.7092, 54.63550
400.1913, 35.83545
400.6734, 19.12964
401.1555, 19.77417
401.6376, 36.54175
402.1198, 51.29956
402.6019, 44.01099
403.0840, 14.46826
403.5661, 3.439941
404.0482, 4.403076
404.5303, 8.9844003E-02
405.0125, 10.14917
405.4946, 21.35791
405.9767, 25.14502
406.4588, 16.45703
406.9409, 4.780273
407.4230, 4.289795
407.9052, 14.90894
408.3873, 19.88232
408.8694, 8.866211
409.3515, 2.486816
409.8336, 8.109375
410.3157, 40.81543
410.7979, 62.97998
411.2800, 55.52344
411.7621, 35.90601
412.2442, 22.97949
412.7263, 18.25537
413.2084, 18.80811
413.6906, 23.74585
414.1727, 32.15454
414.6548, 37.68506
415.1369, 37.65356
415.6190, 38.53540
416.1011, 43.78296
416.5833, 49.75635
417.0654, 50.49976
417.5475, 44.80420
418.0296, 38.99658
418.5117, 43.56104
418.9938, 62.87305
419.4760, 70.08374
419.9581, 50.66992
420.4402, 32.32251
420.9223, 26.00073
421.4044, 28.64526
421.8865, 33.92676
422.3687, 39.12524
422.8508, 44.20703
423.3329, 52.53247
423.8150, 66.43164
424.2971, 69.92432
424.7792, 48.12500
425.2614, 20.30078
425.7435, 6.395020
426.2256, 7.876709
426.7077, 14.15112
427.1898, 23.49829
427.6719, 33.16748
428.1541, 38.50098
428.6362, 38.94946
429.1183, 37.08936
429.6004, 33.95239
430.0825, 30.24390
430.5646, 29.26440
431.0468, 34.60718
431.5289, 38.40088
432.0110, 36.52930
432.4931, 32.20996
432.9752, 31.12012
433.4573, 34.77954
433.9395, 37.87646
434.4216, 30.38306
434.9037, 4.234863
435.3858, 2.866699
435.8679, 33.67041
436.3500, 65.43555
436.8322, 67.73926
437.3143, 51.15356
437.7964, 40.54077
438.2785, 51.41675
438.7606, 70.96606
439.2427, 72.23438
439.7249, 51.93579
440.2070, 35.39551
440.6891, 29.95264
441.1712, 31.71289
441.6533, 37.69458
442.1354, 48.13257
442.6176, 55.66431
443.0997, 54.54858
443.5818, 49.89600
444.0639, 48.83130
444.5460, 52.44238
445.0281, 55.65112
445.5103, 55.06250
445.9924, 51.83301
446.4745, 49.29663
446.9566, 48.07422
447.4387, 46.96167
447.9208, 47.58569
448.4030, 46.83032
448.8851, 38.34619
449.3672, 22.14429
449.8493, 8.312256
450.3314, 10.41797
450.8135, 30.88574
451.2957, 42.56055
451.7778, 38.51929
452.2599, 33.55493
452.7420, 32.53540
453.2241, 33.83203
453.7062, 34.55542
454.1884, 33.44434
454.6705, 32.15210
455.1526, 33.18359
455.6347, 36.32568
456.1168, 38.99121
456.5989, 41.33325
457.0811, 41.75415
457.5632, 36.51416
458.0453, 26.33276
458.5274, 19.61963
459.0095, 22.01270
459.4916, 25.19556
459.9738, 21.12305
460.4559, 11.87720
460.9380, 4.802002
461.4201, 3.347656
461.9022, 6.864990
462.3843, 14.14453
462.8665, 31.28955
463.3486, 41.98584
463.8307, 41.26147
464.3128, 38.64380
464.7949, 41.65674
465.2770, 49.11743
465.7592, 53.84106
466.2413, 49.47949
466.7234, 38.91943
467.2055, 33.88159
467.6876, 37.63721
468.1697, 37.78149
468.6519, 21.94751
469.1340, 5.083008
469.6161, 3.966309
470.0982, 21.84424
470.5803, 38.70190
471.0624, 43.65356
471.5446, 40.03467
472.0267, 30.59741
472.5088, 15.65137
472.9909, 6.284668
473.4730, 13.45923
473.9551, 33.67944
474.4373, 38.14331
474.9194, 13.55591
475.4015, 7.608154
475.8836, 18.54541
476.3657, 21.47607
476.8478, 17.53320
477.3300, 7.941162
477.8121, 4.945068
478.2942, 22.79102
478.7763, 46.67163
479.2584, 57.20435
479.7405, 47.08276
480.2227, 33.34863
480.7048, 18.12891
481.1869, 4.721191
481.6690, 1.668213
482.1511, 1.221680
482.6332, 7.642334
483.1154, 12.30273
483.5975, 15.95557
484.0796, 22.59912
484.5617, 34.13623
485.0438, 44.31152
485.5259, 47.81250
486.0081, 44.23535
486.4902, 36.64478
486.9723, 14.84497
487.4544, 0.1965330
487.9365, 4.581055
488.4186, 21.41504
488.9008, 39.17090
489.3829, 53.59277
489.8650, 63.46191
490.3471, 66.69629
490.8292, 62.42920
491.3113, 55.25854
491.7935, 42.21313
492.2756, 29.10083
492.7577, 13.12402
493.2398, 0.7133790
493.7219, 1.528076
494.2040, 18.44556
494.6862, 42.13477
495.1683, 46.17041
495.6504, 32.83789
496.1325, 23.68774
496.6146, 24.17236
497.0967, 28.63525
497.5789, 32.11768
498.0610, 34.62280
498.5431, 35.30273
499.0252, 32.77026
499.5073, 29.65527
499.9895, 28.98511
500.4716, 28.68262
500.9537, 22.12329
501.4358, 6.630371
501.9179, 8.698486
502.4001, 6.161377
502.8822, 25.01733
503.3643, 40.26123
503.8464, 23.25122
504.3285, 5.858887
504.8106, 0.5085450
505.2928, 1.858398
505.7749, 6.924805
506.2570, 12.55615
506.7391, 18.68262
507.2212, 26.86963
507.7033, 36.53198
508.1855, 39.69800
508.6676, 31.99048
509.1497, 22.60864
509.6318, 23.77759
510.1139, 35.31055
510.5960, 39.11499
511.0782, 21.72534
511.5603, 8.130615
512.0424, 17.58618
512.5245, 39.62207
513.0066, 51.40332
513.4887, 43.93970
513.9708, 30.35864
514.4529, 35.00269
514.9351, 68.69336
515.4172, 79.96484
515.8993, 39.56714
516.3814, 6.050781
516.8635, 7.494629
517.3456, 30.73096
517.8278, 50.40039
518.3099, 56.72168
518.7920, 56.71802
519.2741, 59.79834
519.7562, 64.12622
