##NAMES=Litidionite
##RRUFFID=R130088
##IDEAL CHEMISTRY=KNaCu^2+^Si_4_O_10_
##LOCALITY=Mt Vesuvius, Napoli, Italy
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Blue to green glassy, massive. The two larger fragments are from the 1880 eruption. The smaller fragment is from 1873.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130088
599.8323, 1.423389
600.3145, 1.165890
600.7966, 0.9725800
601.2787, 0.8274690
601.7608, 0.7993930
602.2429, 1.102398
602.7250, 1.494919
603.2072, 1.566750
603.6893, 1.161465
604.1714, 0.7519650
604.6535, 0.5392000
605.1356, 0.4837070
605.6177, 0.6238710
606.0999, 0.9235420
606.5820, 1.059151
607.0641, 0.7487750
607.5462, 0.1395340
608.0283, 0.1007800
608.5104, 0.4220350
608.9926, 0.7618480
609.4747, 0.7923970
609.9568, 0.7087780
610.4389, 0.5696030
610.9210, 0.4356730
611.4031, 0.4354360
611.8853, 0.6868630
612.3674, 1.061985
612.8495, 1.300594
613.3316, 1.398315
613.8137, 1.418030
614.2958, 1.350883
614.7780, 1.227577
615.2601, 1.045460
615.7422, 0.8391110
616.2243, 0.7503660
616.7064, 0.9137690
617.1885, 1.069256
617.6707, 1.063663
618.1528, 0.9336470
618.6349, 0.7154200
619.1170, 0.4291500
619.5991, 0.1755750
620.0812, 7.6747999E-02
620.5634, 0.1402930
621.0455, 0.2404250
621.5276, 0.5235440
622.0097, 0.6566390
622.4918, 0.3953820
622.9739, 5.1410999E-02
623.4561, 1.8363999E-02
623.9382, 0.2381360
624.4203, 0.5295980
624.9023, 0.6258130
625.3845, 0.5748370
625.8666, 0.4817580
626.3487, 0.3420830
626.8308, 0.2255630
627.3129, 0.1166530
627.7950, 7.5370997E-02
628.2772, 0.3099250
628.7593, 0.9520760
629.2414, 1.223003
629.7235, 0.6643330
630.2056, 6.9160000E-03
630.6877, 0.2595630
631.1699, 0.2083890
631.6520, 8.8340998E-02
632.1341, 2.2320000E-02
632.6162, 1.4362000E-02
633.0983, 4.4571001E-02
633.5804, 5.7068001E-02
634.0626, 7.8097999E-02
634.5447, 6.9374003E-02
635.0268, 0.1237220
635.5089, 0.3421290
635.9910, 0.6224750
636.4731, 0.8005330
636.9553, 0.8202480
637.4374, 0.8124500
637.9195, 0.9397350
638.4016, 1.082169
638.8837, 0.9355890
639.3658, 0.4813270
639.8480, 0.1217960
640.3301, 0.1450160
640.8122, 0.4258190
641.2943, 0.5452190
641.7764, 0.3575630
642.2585, 0.2367820
642.7407, 0.1460380
643.2228, 8.9863002E-02
643.7049, 0.2051890
644.1870, 0.4159510
644.6691, 0.5229340
645.1512, 0.4042850
645.6334, 0.2165720
646.1155, 0.2450680
646.5976, 0.4874380
647.0797, 0.6379050
647.5618, 0.6414110
648.0439, 0.5642130
648.5261, 0.3486980
649.0082, 9.1732003E-02
649.4903, 0.1179810
649.9724, 0.6806910
650.4545, 1.174740
650.9366, 1.371265
651.4188, 1.374908
651.9009, 1.228233
652.3830, 0.9622990
652.8651, 0.7200090
653.3472, 0.6062930
653.8293, 0.6317860
654.3115, 0.8886600
654.7936, 1.606747
655.2757, 1.994511
655.7578, 1.599174
656.2399, 1.136208
656.7220, 0.9712450
657.2042, 1.063732
657.6863, 1.246948
658.1684, 1.548065
658.6505, 1.771866
659.1326, 1.666306
659.6147, 1.345882
660.0969, 1.087391
660.5790, 0.9494360
661.0611, 0.9224590
661.5432, 1.022224
662.0253, 1.230576
662.5074, 1.354553
662.9896, 1.295975
663.4717, 1.275021
663.9538, 1.378544
664.4359, 1.471489
664.9180, 1.395077
665.4001, 1.186161
665.8823, 1.032589
666.3644, 1.122261
