##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
629.3795, 199.3945
629.8616, 247.6797
630.3438, 304.8203
630.8259, 264.0312
631.3080, 159.9844
631.7901, 89.06641
632.2722, 132.1992
632.7543, 194.5430
633.2365, 208.1719
633.7186, 181.4297
634.2007, 153.2109
634.6828, 144.9766
635.1649, 133.1953
635.6470, 100.4805
636.1292, 37.35156
636.6113, 9.378906
637.0934, 37.27344
637.5755, 75.80078
638.0576, 94.60156
638.5397, 93.89453
639.0219, 62.24219
639.5040, 14.25000
639.9861, 89.07422
640.4682, 90.11328
640.9503, 28.96484
641.4324, 41.17188
641.9146, 108.2383
642.3967, 167.6445
642.8788, 222.1875
643.3609, 265.6133
643.8430, 281.9219
644.3251, 230.7891
644.8073, 177.5977
645.2894, 171.9883
645.7715, 214.0352
646.2536, 221.6797
646.7357, 132.2070
647.2178, 51.73047
647.7000, 32.60938
648.1821, 95.02344
648.6642, 136.7969
649.1463, 156.2109
649.6284, 162.1133
650.1105, 158.6797
650.5927, 147.6836
651.0748, 150.1211
651.5569, 172.1289
652.0390, 199.8398
652.5211, 226.4180
653.0032, 244.4258
653.4854, 236.0898
653.9675, 151.4375
654.4496, 78.80859
654.9317, 94.33594
655.4138, 170.4453
655.8959, 220.8125
656.3781, 185.0820
656.8602, 151.8867
657.3423, 160.6680
657.8244, 211.7227
658.3065, 236.9219
658.7886, 227.1562
659.2708, 206.9961
659.7529, 185.3789
660.2350, 161.5312
660.7171, 166.7617
661.1992, 206.8867
661.6813, 245.8633
662.1635, 241.7227
662.6456, 205.8086
663.1277, 162.3672
663.6099, 108.4258
664.0920, 70.95703
664.5741, 81.50000
665.0562, 121.3359
665.5383, 159.6719
666.0204, 191.5117
666.5026, 214.0898
666.9847, 221.6719
667.4668, 220.0156
667.9489, 230.6641
668.4310, 272.9961
668.9131, 289.8516
669.3953, 250.1289
669.8774, 162.7695
670.3595, 120.3711
670.8416, 126.3750
671.3237, 150.6562
671.8058, 185.4727
672.2880, 220.7852
672.7701, 225.5039
673.2522, 196.1406
673.7343, 165.3711
674.2164, 160.4297
674.6985, 167.4648
675.1807, 169.2539
675.6628, 152.9570
676.1449, 151.1523
676.6270, 181.9727
677.1091, 229.9141
677.5912, 276.3008
678.0734, 333.8945
678.5555, 366.9648
679.0376, 359.0938
679.5197, 328.1719
680.0018, 323.8086
680.4839, 348.4062
680.9661, 372.8320
681.4482, 394.9062
681.9303, 403.9297
682.4124, 360.1992
682.8945, 273.4961
683.3766, 204.0664
683.8588, 220.5586
