##NAMES=Fergusonite-(Ce)
##RRUFFID=R110050
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_&#183;0.3H_2_O
##LOCALITY=Mount Malosa, Zomba District, Malawi
##OWNER=RRUFF
##SOURCE=Donald M Doell
##DESCRIPTION=Brown prismatic crystals on microcline, associated with zircon
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110050
658.6505, 5256.318
659.1326, 5239.438
659.6147, 5227.342
660.0969, 5213.725
660.5790, 5197.269
661.0611, 5179.907
661.5432, 5163.091
662.0253, 5146.822
662.5074, 5131.318
662.9896, 5118.283
663.4717, 5103.798
663.9538, 5084.969
664.4359, 5066.494
664.9180, 5053.395
665.4001, 5044.483
665.8823, 5033.915
666.3644, 5017.562
666.8465, 4998.247
667.3286, 4980.667
667.8107, 4964.788
668.2928, 4949.205
668.7750, 4933.469
669.2571, 4918.514
669.7392, 4906.456
670.2213, 4896.596
670.7034, 4883.096
671.1855, 4862.462
671.6677, 4842.326
672.1498, 4825.206
672.6319, 4809.855
673.1140, 4795.120
673.5961, 4780.674
674.0782, 4766.419
674.5604, 4752.358
675.0425, 4738.131
675.5246, 4722.264
676.0067, 4704.320
676.4888, 4686.783
676.9709, 4670.240
677.4531, 4654.047
677.9352, 4637.687
678.4173, 4621.271
678.8994, 4605.278
679.3815, 4590.849
679.8636, 4575.601
680.3458, 4556.126
680.8279, 4535.729
