##NAMES=Coronadite
##RRUFFID=R070320
##IDEAL CHEMISTRY=Pb^2+^(Mn^4+^_6_Mn^3+^_2_)O_16_
##LOCALITY=Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Dark gray fine-grained aggregate, some thin acicular crystals lining cracks in the rock
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070320
482.6069, 29.65771
483.0890, 28.41089
483.5711, 44.90112
484.0533, 55.67480
484.5354, 51.28613
485.0175, 57.19507
485.4996, 92.54004
485.9817, 127.4250
486.4638, 134.3279
486.9460, 112.3618
487.4281, 85.44336
487.9102, 70.39624
488.3923, 65.64185
488.8744, 66.38281
489.3565, 72.52246
489.8387, 79.32959
490.3208, 84.44116
490.8029, 88.83813
491.2850, 95.14062
491.7671, 105.1006
492.2492, 111.2034
492.7314, 109.0361
493.2135, 103.1714
493.6956, 98.57593
494.1777, 95.77563
494.6598, 93.34985
495.1419, 89.56885
495.6241, 84.75415
496.1062, 81.12598
496.5883, 81.43481
497.0704, 78.97852
497.5525, 68.35205
498.0346, 58.06592
498.5168, 56.39355
498.9989, 63.40186
499.4810, 71.82056
499.9631, 78.56470
500.4452, 81.83374
500.9273, 71.82666
501.4095, 44.00415
501.8916, 20.15259
502.3737, 10.16040
502.8558, 9.909424
503.3379, 13.17310
503.8200, 19.59473
504.3022, 27.43188
504.7843, 37.50708
505.2664, 49.54834
505.7485, 69.95117
506.2306, 95.76074
506.7127, 104.9280
507.1949, 78.96387
507.6770, 29.99951
508.1591, 12.07495
508.6412, 61.87134
509.1233, 89.20776
509.6054, 69.41797
510.0876, 41.95459
510.5697, 39.33179
511.0518, 59.22119
511.5339, 74.51294
512.0161, 63.11963
512.4982, 34.85107
512.9803, 14.38623
513.4624, 1.367432
513.9445, 0.4379880
514.4266, 17.51562
514.9088, 42.02612
515.3909, 57.33081
515.8730, 63.37134
516.3551, 62.67847
516.8372, 47.92310
517.3193, 32.76074
517.8015, 34.20239
518.2836, 48.06885
518.7657, 53.77808
519.2478, 39.39990
519.7299, 14.90820
520.2120, 4.840332
520.6942, 21.63037
521.1763, 29.07764
521.6584, 18.13916
