##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
617.5723, 7.401546
618.0544, 8.749496
618.5365, 8.171974
619.0186, 6.741379
619.5007, 3.947678
619.9828, 1.052204
620.4650, 0.4488490
620.9471, 2.275429
621.4292, 4.472717
621.9113, 5.715996
622.3934, 6.251640
622.8755, 7.018459
623.3577, 8.871967
623.8398, 9.682732
624.3219, 8.528538
624.8040, 7.136013
625.2861, 6.599495
625.7682, 6.802166
626.2504, 7.170460
626.7325, 7.577015
627.2145, 7.412441
627.6967, 4.643623
628.1788, 0.9549450
628.6609, 3.629536
629.1430, 1.197330
629.6251, 2.715687
630.1072, 5.273685
630.5894, 6.765564
631.0715, 7.782207
631.5536, 8.665802
632.0357, 8.813126
632.5178, 7.601116
632.9999, 5.565266
633.4821, 3.115471
633.9642, 0.5274700
634.4463, 1.008553
634.9284, 7.3406003E-02
635.4105, 3.064743
635.8926, 4.256737
636.3748, 1.329693
636.8569, 7.0683002E-02
637.3390, 2.323307
637.8211, 5.498360
638.3032, 7.271687
638.7853, 7.406219
639.2675, 6.755730
639.7496, 4.676891
640.2317, 2.086838
640.7138, 1.162537
641.1959, 1.677032
641.6780, 2.760197
642.1602, 4.346722
642.6423, 5.843822
643.1244, 6.370323
643.6065, 5.599674
644.0886, 4.877605
644.5707, 3.982368
645.0529, 3.478313
645.5350, 4.024731
646.0171, 4.932255
646.4992, 5.039490
646.9813, 4.126141
647.4634, 3.291031
647.9456, 4.045612
648.4277, 6.159679
648.9098, 6.644085
649.3919, 4.732697
649.8740, 3.172215
650.3561, 3.301815
650.8383, 4.154057
651.3204, 4.802631
651.8025, 5.210190
652.2846, 5.189880
652.7667, 4.277660
653.2488, 3.201057
653.7310, 2.356255
654.2131, 1.946571
654.6952, 2.939529
655.1773, 5.837612
655.6594, 8.729462
656.1415, 8.080833
656.6237, 2.538898
657.1058, 0.4342840
657.5879, 1.529408
658.0700, 3.558651
658.5521, 4.732044
659.0342, 5.086029
659.5164, 4.426758
659.9985, 2.771751
660.4806, 1.385342
660.9627, 1.722858
661.4448, 3.092976
661.9269, 3.835796
662.4091, 3.866550
662.8912, 3.726974
663.3733, 3.702366
663.8554, 3.612560
664.3375, 2.962448
664.8196, 1.126427
665.3018, 0.6155430
665.7839, 2.914139
666.2660, 5.114601
666.7481, 5.358063
667.2302, 4.496777
667.7123, 4.062748
668.1945, 4.636406
668.6766, 5.900047
669.1587, 8.274803
669.6408, 11.51777
670.1229, 11.25378
670.6050, 5.965096
671.0872, 1.378803
671.5693, 0.9119340
672.0514, 2.621830
672.5335, 2.965969
673.0156, 1.450809
673.4977, 0.7930070
673.9799, 2.754845
674.4620, 5.103474
674.9441, 6.086330
675.4262, 5.825611
675.9083, 4.821564
676.3904, 3.289967
676.8726, 2.039974
677.3547, 2.119686
677.8368, 3.840191
678.3189, 5.140747
678.8010, 5.327026
679.2831, 6.161743
679.7653, 10.24172
680.2474, 14.39598
680.7295, 13.93778
681.2116, 7.748070
681.6937, 2.006054
682.1758, 7.9689004E-02
682.6580, 0.5353470
683.1401, 2.355499
683.6222, 5.018353
684.1043, 6.425694
684.5864, 5.447330
685.0685, 3.779064
685.5507, 4.604301
686.0328, 9.016659
686.5149, 11.03601
686.9970, 9.216164
687.4791, 7.195240
687.9612, 5.612568
688.4434, 4.487514
688.9255, 3.870354
689.4076, 3.760612
689.8897, 3.728859
690.3718, 3.022354
690.8539, 2.315979
691.3361, 3.497864
691.8182, 6.458462
692.3003, 8.079739
692.7824, 6.850029
693.2645, 4.662762
693.7466, 4.734245
694.2288, 7.986835
694.7109, 9.625668
695.1930, 9.815735
695.6751, 8.415791
696.1572, 3.004818
696.6393, 2.879105
697.1215, 4.064461
697.6036, 0.2324070
698.0857, 5.039246
698.5678, 5.866909
699.0499, 3.824757
