##NAMES=Bario-olgite
##RRUFFID=R060614
##IDEAL CHEMISTRY=Na(Na,Sr,Ce)_2_Ba(PO_4_)_2_
##LOCALITY=Palitra pegmatite, Kedykverpakhk Mountain, Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Grayish-green grains associated with brown manaksite R060693, and purple ussingite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060614
591.0325, 72219.91
591.5146, 72072.38
591.9967, 71857.95
592.4788, 71613.48
592.9609, 71359.38
593.4431, 71102.41
593.9252, 70862.86
594.4073, 70650.34
594.8894, 70441.77
595.3715, 70198.72
595.8536, 69902.00
596.3358, 69658.20
596.8179, 69551.30
597.3000, 69396.77
597.7821, 69099.43
598.2642, 68723.95
598.7463, 68355.16
599.2285, 68022.99
599.7106, 67725.80
600.1927, 67462.92
600.6748, 67232.78
601.1569, 67034.14
601.6390, 66904.23
602.1212, 66727.34
602.6033, 66390.83
603.0854, 65978.45
603.5675, 65620.23
604.0496, 65337.72
604.5317, 65085.91
605.0139, 64869.05
605.4960, 64655.29
605.9781, 64386.48
606.4602, 64062.72
606.9423, 63746.07
607.4244, 63483.96
607.9066, 63264.98
608.3887, 63034.11
608.8708, 62790.34
609.3529, 62536.84
609.8350, 62263.81
610.3171, 61990.22
610.7993, 61736.70
611.2814, 61496.27
611.7635, 61239.39
612.2456, 60939.13
612.7277, 60624.35
613.2098, 60362.14
613.6920, 60156.96
614.1741, 59928.04
614.6562, 59629.89
615.1383, 59333.84
615.6204, 59133.02
616.1025, 59007.06
616.5847, 58831.37
617.0668, 58527.10
617.5489, 58218.89
618.0310, 57995.84
618.5131, 57825.18
618.9952, 57640.76
619.4774, 57422.43
619.9595, 57181.56
620.4416, 56922.52
620.9237, 56638.02
621.4058, 56434.34
621.8879, 56383.61
622.3701, 56328.63
622.8522, 56276.18
623.3343, 56182.68
623.8164, 55988.55
624.2985, 55689.73
624.7806, 55365.53
625.2628, 55050.42
625.7448, 54764.20
626.2269, 54580.30
626.7090, 54508.21
627.1912, 54439.11
627.6733, 54327.74
628.1554, 54186.02
628.6375, 54034.82
629.1196, 53879.70
629.6017, 53697.42
630.0839, 53430.46
630.5660, 53182.36
631.0481, 53040.12
631.5302, 52973.38
632.0123, 52904.76
632.4944, 52799.18
632.9766, 52666.98
633.4587, 52521.63
633.9408, 52357.78
634.4229, 52205.90
634.9050, 52083.00
635.3871, 51951.02
635.8693, 51771.91
636.3514, 51581.39
636.8335, 51437.25
637.3156, 51360.08
637.7977, 51300.75
638.2798, 51226.35
638.7620, 51146.00
639.2441, 51081.27
639.7262, 51033.87
640.2083, 50975.93
640.6904, 50888.48
641.1725, 50778.32
641.6547, 50667.00
642.1368, 50551.96
642.6189, 50439.77
643.1010, 50324.78
643.5831, 50217.54
644.0652, 50125.93
644.5474, 50047.31
645.0295, 49973.95
645.5116, 49902.63
645.9937, 49832.59
646.4758, 49761.17
646.9579, 49688.46
647.4401, 49624.87
647.9222, 49575.62
648.4043, 49528.66
648.8864, 49470.18
649.3685, 49407.06
649.8506, 49364.64
650.3328, 49378.99
650.8149, 49362.04
651.2970, 49240.36
651.7791, 49090.59
652.2612, 49010.99
652.7433, 49006.37
653.2255, 49014.40
653.7076, 48988.14
654.1897, 48940.16
654.6718, 48920.21
655.1539, 48944.98
655.6360, 48956.52
656.1182, 48938.84
656.6003, 48911.63
657.0824, 48861.36
657.5645, 48808.13
658.0466, 48814.04
658.5287, 48936.92
659.0109, 49071.28
659.4930, 49112.83
659.9751, 49086.01
660.4572, 49055.12
660.9393, 49033.49
661.4214, 49020.89
661.9036, 49018.59
662.3857, 49025.64
662.8678, 49029.78
663.3499, 49032.81
663.8320, 49031.49
664.3141, 49013.57
664.7963, 49001.07
