##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
361.1135, 6.737671
361.5956, 20.27527
362.0777, 25.44360
362.5598, 23.20752
363.0420, 16.13928
363.5241, 5.259888
364.0062, 15.59143
364.4883, 4.251587
364.9704, 13.26318
365.4525, 24.79761
365.9347, 27.47192
366.4168, 25.20483
366.8989, 19.40430
367.3810, 9.261841
367.8631, 9.541382
368.3452, 31.67590
368.8274, 51.34412
369.3095, 54.06628
369.7916, 45.06604
370.2737, 37.31055
370.7558, 38.31287
371.2379, 42.83069
371.7201, 40.52539
372.2022, 30.31458
372.6843, 23.93872
373.1664, 28.94849
373.6485, 39.19006
374.1306, 44.96118
374.6128, 44.92932
375.0949, 44.22681
375.5770, 44.88171
376.0591, 46.82556
376.5412, 51.31018
377.0233, 59.20483
377.5055, 64.58032
377.9876, 59.17566
378.4697, 41.59924
378.9518, 33.37305
379.4339, 44.03662
379.9160, 55.68970
380.3982, 58.76172
380.8803, 54.01770
381.3624, 43.82898
381.8445, 28.59692
382.3266, 11.91870
382.8087, 4.647217
383.2909, 15.89331
383.7730, 25.31531
384.2551, 30.70703
384.7372, 35.24854
385.2193, 44.23792
385.7014, 56.45471
386.1836, 64.59509
386.6657, 59.47522
387.1478, 40.09070
387.6299, 27.32715
388.1120, 26.16504
388.5941, 26.20667
389.0763, 24.52197
389.5584, 21.65869
390.0405, 18.77429
390.5226, 16.41699
391.0047, 13.99048
391.4868, 9.434326
391.9690, 2.144897
392.4511, 1.226074
392.9332, 2.556763
393.4153, 10.16614
393.8974, 18.95349
394.3795, 27.68250
394.8617, 34.91333
395.3438, 39.73755
