##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
312.8347, 2520929.
313.3168, 2520465.
313.7989, 2520238.
314.2810, 2520604.
314.7632, 2521085.
315.2453, 2520930.
315.7274, 2519913.
316.2095, 2518661.
316.6916, 2518090.
317.1737, 2518451.
317.6559, 2518380.
318.1380, 2517297.
318.6201, 2516024.
319.1022, 2515414.
319.5843, 2515547.
320.0664, 2515767.
320.5485, 2515367.
321.0306, 2514286.
321.5128, 2513944.
321.9949, 2515082.
322.4770, 2516304.
322.9591, 2516652.
323.4412, 2516221.
323.9233, 2515769.
324.4055, 2515904.
324.8876, 2516423.
325.3697, 2515951.
325.8518, 2513388.
326.3339, 2511181.
326.8160, 2510369.
327.2982, 2510583.
327.7803, 2511074.
328.2624, 2511567.
328.7445, 2511968.
329.2266, 2511983.
329.7087, 2511406.
330.1909, 2510886.
330.6730, 2510721.
331.1551, 2510621.
331.6372, 2510107.
332.1193, 2509031.
332.6014, 2507837.
333.0836, 2507149.
333.5657, 2507111.
334.0478, 2507252.
334.5299, 2507823.
335.0120, 2508393.
335.4941, 2508512.
335.9763, 2508167.
336.4584, 2507791.
336.9405, 2507820.
337.4226, 2508296.
337.9047, 2508517.
338.3868, 2508424.
338.8690, 2508162.
339.3511, 2507655.
339.8332, 2507022.
340.3153, 2506631.
340.7974, 2506778.
341.2795, 2507321.
341.7617, 2507298.
342.2438, 2506053.
342.7259, 2505119.
343.2080, 2505104.
343.6901, 2505561.
344.1722, 2505818.
344.6544, 2505605.
345.1365, 2505100.
345.6186, 2504664.
346.1007, 2504381.
346.5828, 2504064.
347.0649, 2503457.
347.5471, 2502976.
348.0292, 2503122.
348.5113, 2503925.
348.9934, 2504879.
349.4755, 2505367.
349.9576, 2505261.
350.4398, 2505147.
350.9219, 2504892.
351.4040, 2504725.
351.8861, 2504847.
352.3682, 2505171.
352.8503, 2505418.
353.3325, 2505360.
353.8146, 2505016.
354.2967, 2504788.
354.7788, 2504803.
355.2609, 2504763.
355.7430, 2504288.
356.2252, 2503797.
356.7073, 2504147.
357.1894, 2505771.
357.6715, 2507815.
358.1536, 2508064.
358.6357, 2504741.
359.1179, 2502291.
359.5999, 2501358.
360.0821, 2500996.
360.5642, 2500581.
361.0463, 2499929.
361.5284, 2499066.
362.0105, 2497958.
362.4926, 2496455.
362.9748, 2495350.
363.4569, 2495152.
363.9390, 2494875.
364.4211, 2493970.
364.9032, 2492600.
365.3853, 2491290.
365.8675, 2490412.
366.3496, 2489943.
366.8317, 2489721.
367.3138, 2490005.
367.7959, 2490195.
368.2780, 2489817.
368.7602, 2489383.
369.2423, 2489717.
369.7244, 2491213.
370.2065, 2493037.
370.6886, 2493402.
371.1707, 2491574.
371.6529, 2490107.
372.1350, 2489557.
372.6171, 2489306.
373.0992, 2489039.
373.5813, 2488676.
374.0634, 2488191.
374.5456, 2487529.
375.0277, 2486683.
375.5098, 2485806.
375.9919, 2484491.
376.4740, 2483652.
376.9561, 2484185.
377.4383, 2485500.
377.9204, 2486218.
378.4025, 2485335.
378.8846, 2483439.
379.3667, 2482145.
379.8488, 2481558.
380.3310, 2481321.
380.8131, 2481642.
381.2952, 2482073.
381.7773, 2482133.
382.2594, 2481661.
382.7415, 2480971.
383.2237, 2480331.
383.7058, 2479738.
384.1879, 2479302.
384.6700, 2479063.
385.1521, 2478992.
385.6342, 2479188.
386.1164, 2479610.
386.5985, 2479733.
387.0806, 2479062.
387.5627, 2477906.
388.0448, 2476980.
388.5269, 2476352.
389.0091, 2475927.
389.4912, 2475729.
389.9733, 2475687.
390.4554, 2475642.
390.9375, 2475552.
391.4196, 2475470.
391.9018, 2475575.
392.3839, 2475816.
392.8660, 2475647.
393.3481, 2474623.
393.8302, 2473239.
394.3123, 2472534.
394.7945, 2472775.
395.2766, 2472767.
