##NAMES=Cohenite
##RRUFFID=R100076
##IDEAL CHEMISTRY=Fe_3_C
##LOCALITY=Asuk, Disko, West Greenland, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Polished thick section associated with native iron
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100076
##MEASURED CHEMISTRY=Fe_2.96_Ni_.02_C, normalized to 1 carbon
650.7886, 1.983160
651.2708, 1.545355
651.7529, 1.231414
652.2350, 1.273025
652.7171, 1.517647
653.1992, 1.691247
653.6813, 1.608205
654.1635, 1.423656
654.6456, 1.363016
655.1277, 1.420245
655.6098, 1.524058
656.0919, 1.615551
656.5740, 1.728755
657.0562, 1.871878
657.5383, 2.011425
658.0204, 2.263468
658.5025, 3.019911
658.9846, 3.396642
659.4667, 2.820456
659.9489, 1.930531
660.4310, 1.359928
660.9131, 1.189166
661.3952, 1.201799
661.8773, 1.253119
662.3594, 1.336495
662.8416, 1.439185
663.3237, 1.578461
663.8058, 1.676867
664.2879, 1.744010
664.7700, 1.738229
665.2521, 1.513695
665.7343, 1.181077
666.2164, 1.137819
666.6985, 1.821864
667.1806, 2.369181
667.6627, 1.998493
668.1448, 1.147124
668.6270, 0.6523610
669.1091, 0.6888390
669.5912, 1.117664
670.0733, 1.906849
670.5554, 2.926882
671.0375, 3.170407
671.5197, 1.898485
672.0018, 1.059050
672.4839, 1.051793
672.9660, 1.335351
673.4481, 1.672845
673.9302, 1.979825
674.4124, 2.131894
674.8945, 2.016494
675.3766, 1.793391
675.8587, 1.662016
676.3408, 1.600235
676.8229, 1.470341
677.3051, 1.217719
677.7872, 1.071871
678.2693, 1.307270
678.7514, 1.865596
