##NAMES=Wooldridgeite
##RRUFFID=R100005
##IDEAL CHEMISTRY=Na_2_CaCu^2+^_2_(P_2_O_7_)_2_&#183;10H_2_O
##LOCALITY=Judkins Quarry, Nuneaton, Warwickshire, England
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Pale green equant rhombic-dipyramidal crystals, co-type sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100005
348.6313, 3.144329
349.1134, 3.163864
349.5955, 2.266355
350.0776, 1.583637
350.5598, 1.004805
351.0419, 0.7487660
351.5240, 1.148069
352.0061, 1.994066
352.4882, 2.747143
352.9703, 2.990003
353.4525, 2.762820
353.9346, 2.445619
354.4167, 1.906276
354.8988, 1.456741
355.3809, 1.065434
355.8630, 0.8417250
356.3452, 1.026872
356.8273, 1.807085
357.3094, 2.785588
357.7915, 2.952383
358.2736, 1.791179
358.7557, 1.169601
359.2379, 2.153326
359.7200, 3.409592
360.2021, 3.841689
360.6842, 3.231958
361.1663, 2.339149
361.6484, 2.042773
362.1306, 2.409254
362.6127, 2.591425
363.0948, 2.399783
363.5769, 2.082506
364.0590, 1.621733
364.5411, 1.115306
365.0233, 0.8892350
365.5054, 1.386973
365.9875, 2.386007
366.4696, 2.864115
366.9517, 2.569839
367.4338, 2.241088
367.9160, 2.321327
368.3981, 2.656506
368.8802, 2.882489
369.3623, 2.829992
369.8444, 2.571244
370.3265, 2.177236
370.8087, 1.706431
371.2908, 1.561429
371.7729, 2.266269
372.2550, 3.171832
372.7371, 3.542863
373.2192, 3.224410
373.7014, 2.802197
374.1835, 2.835963
374.6656, 3.213522
375.1477, 3.331205
375.6298, 2.926858
376.1119, 2.492834
376.5941, 2.671229
377.0762, 3.327793
377.5583, 3.661466
378.0404, 3.144874
378.5225, 2.230633
379.0046, 1.417959
379.4868, 0.6974390
379.9689, 0.5524100
380.4510, 1.772742
380.9331, 3.801180
381.4152, 4.885404
381.8973, 4.341678
382.3795, 3.441986
382.8616, 2.944494
383.3437, 2.775698
383.8258, 2.620893
384.3079, 2.317770
384.7900, 2.015500
385.2722, 2.064963
385.7543, 2.555064
386.2364, 2.976835
386.7185, 3.075803
387.2006, 3.096265
387.6827, 3.424701
388.1649, 4.124646
388.6470, 4.711268
389.1291, 4.729918
389.6112, 4.126295
390.0933, 3.361984
390.5754, 1.998349
391.0576, 0.8586800
391.5397, 0.5472820
392.0218, 0.9222250
392.5039, 1.476642
392.9860, 1.950164
393.4681, 2.302732
393.9503, 2.314483
394.4324, 1.498607
394.9145, 0.9740990
395.3966, 1.088895
395.8787, 1.504129
396.3608, 1.922716
396.8430, 2.229618
397.3251, 2.240022
397.8072, 1.648551
398.2893, 9.1962002E-02
398.7714, 0.7022220
399.2535, 0.3719910
399.7357, 0.2431840
400.2178, 0.7535610
400.6999, 1.122674
401.1820, 1.485177
401.6641, 1.994216
402.1462, 2.598438
402.6284, 2.656956
403.1105, 1.479767
403.5926, 0.5558830
404.0747, 0.1561000
404.5568, 0.1399360
405.0389, 0.4265090
405.5211, 0.9798770
406.0032, 1.560707
406.4853, 1.703796
406.9674, 1.233701
407.4495, 0.8658040
407.9316, 0.6881290
408.4138, 0.6157710
408.8959, 0.6153450
409.3780, 0.6825490
409.8601, 0.8270190
410.3422, 1.100237
410.8243, 1.476215
411.3065, 1.717742
411.7886, 1.666351
412.2707, 1.758323
412.7528, 2.462948
413.2349, 3.338806
413.7170, 3.702589
414.1992, 3.199639
414.6813, 2.368638
415.1634, 1.929072
415.6455, 1.902056
416.1276, 1.846685
416.6097, 1.545436
417.0919, 1.249249
417.5740, 1.229817
418.0561, 1.495871
418.5382, 1.802426
419.0203, 2.081181
419.5024, 2.296781
419.9846, 2.384029
420.4667, 2.344187
420.9488, 2.126348
421.4309, 1.515859
421.9130, 0.6752110
422.3951, 0.1943500
422.8773, 0.4263950
423.3594, 0.7966050
423.8415, 1.004300
424.3236, 1.036086
424.8057, 1.149726
425.2878, 7.6774001E-02
425.7700, 0.9864760
426.2521, 0.9116860
426.7342, 0.5507300
427.2163, 1.670636
427.6984, 2.112198
428.1805, 2.102128
428.6627, 1.657818
429.1448, 0.8669420
429.6269, 0.2964930
430.1090, 0.5494630
430.5911, 1.697120
431.0732, 2.236674
431.5554, 1.864780
432.0375, 1.354294
432.5196, 0.7356340
433.0017, 0.2043810
433.4838, 0.1249740
433.9659, 0.6727260
434.4481, 1.523928
434.9302, 1.943308
435.4123, 1.520597
435.8944, 1.408707
436.3765, 2.142464
436.8586, 2.749311
437.3408, 2.331891
437.8229, 1.050154
438.3050, 7.8455999E-02
438.7871, 8.7206997E-02
439.2692, 0.9441460
439.7513, 1.589185
440.2335, 1.599894
440.7156, 1.560012
441.1977, 1.701483
441.6798, 1.876702
442.1619, 1.924341
442.6440, 1.782768
443.1262, 1.449926
443.6083, 0.9359810
444.0904, 0.8917781
444.5725, 0.2875730
445.0546, 0.5325830
445.5367, 0.5272970
446.0189, 0.1826830
446.5010, 0.4296560
446.9831, 0.4266949
447.4652, 0.5263256
447.9473, 0.8408450
448.4294, 0.9768340
448.9116, 1.444243
449.3937, 1.862712
449.8758, 1.987972
450.3579, 1.923058
450.8400, 1.897212
451.3221, 1.881392
451.8043, 1.986298
452.2864, 2.463475
452.7685, 3.042838
453.2506, 3.204510
453.7327, 2.768646
454.2148, 2.214404
454.6970, 2.156388
455.1791, 2.722216
455.6612, 2.892620
456.1433, 2.135341
456.6254, 1.400805
457.1075, 1.564714
457.5897, 2.340194
458.0718, 2.853882
458.5539, 2.626188
459.0360, 1.875521
459.5181, 1.276667
460.0002, 0.6422610
460.4824, 0.4505710
460.9645, 1.274865
