##NAMES=Caryochroite
##RRUFFID=R070008
##IDEAL CHEMISTRY=(Na,Sr)_3_(Fe^3+^,Mg)_10_Ti^4+^_2_Si_12_O_37_(H_2_O,O,OH)_17_
##LOCALITY=Umbozero mine, Alluaiv Mt., Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dark brown massive, very fine grained
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070008
548.8923, 127.3442
549.3745, 142.3784
549.8566, 166.1685
550.3387, 185.3711
550.8208, 188.5581
551.3029, 171.2886
551.7850, 159.8452
552.2672, 155.4492
552.7493, 158.5820
553.2314, 179.5449
553.7135, 216.3765
554.1956, 230.5146
554.6777, 190.6899
555.1599, 128.8999
555.6420, 109.1216
556.1241, 126.9727
556.6062, 145.1479
557.0883, 127.7036
557.5704, 102.0420
558.0526, 101.0571
558.5347, 135.6045
559.0168, 170.2905
559.4989, 198.0166
559.9810, 214.5190
560.4631, 213.9004
560.9453, 170.5835
561.4274, 136.6650
561.9095, 132.2314
562.3916, 148.3994
562.8737, 146.0664
563.3558, 109.5977
563.8380, 77.71924
564.3201, 65.19629
564.8022, 72.18115
565.2843, 102.4692
565.7664, 166.0195
566.2485, 225.1650
566.7307, 229.6343
567.2128, 186.9258
567.6949, 162.7031
568.1770, 174.6748
568.6591, 203.2295
569.1412, 224.2690
569.6234, 239.3223
570.1055, 250.3018
570.5876, 266.8818
571.0697, 274.1753
571.5518, 249.9902
572.0339, 196.3594
572.5161, 152.7251
572.9982, 139.9902
573.4803, 142.6519
573.9624, 149.9707
574.4445, 160.5073
574.9266, 175.7886
575.4088, 209.3867
575.8909, 241.8394
576.3730, 243.8696
576.8551, 193.4087
577.3372, 159.8276
577.8193, 163.8804
578.3015, 194.8491
578.7836, 198.6553
579.2657, 148.7749
579.7478, 173.2261
580.2299, 186.1899
580.7120, 188.2861
581.1942, 146.9058
581.6763, 161.7163
582.1584, 154.0361
582.6405, 145.4521
583.1226, 168.2275
583.6047, 133.2720
584.0869, 155.5869
584.5690, 155.0693
585.0511, 164.6763
585.5332, 152.0059
586.0153, 146.3501
586.4974, 163.3740
586.9796, 168.1123
587.4617, 133.3130
587.9438, 162.1533
588.4259, 178.7061
588.9080, 178.9507
589.3901, 176.5469
589.8723, 180.4775
590.3544, 194.2290
590.8365, 197.7319
591.3186, 187.7666
591.8007, 173.3135
592.2828, 166.5952
592.7650, 167.0557
593.2471, 169.3003
593.7292, 175.8950
594.2113, 178.2158
594.6934, 149.7622
595.1755, 101.0840
595.6577, 74.53564
596.1398, 127.4214
596.6219, 190.1143
597.1040, 194.0317
597.5861, 133.0977
598.0682, 89.05762
598.5503, 114.1309
599.0324, 155.4116
599.5145, 174.6284
599.9966, 142.1909
600.4788, 125.0566
600.9609, 129.4624
601.4430, 146.6699
601.9251, 166.9590
602.4072, 197.5298
602.8893, 207.1343
603.3715, 181.6250
603.8536, 132.5073
604.3357, 99.80420
604.8178, 84.23975
605.2999, 76.83496
605.7820, 80.45996
606.2642, 88.06836
606.7463, 80.74023
607.2284, 57.05127
607.7105, 37.96924
608.1926, 45.34619
608.6747, 63.38525
609.1569, 72.75537
609.6390, 57.40234
610.1211, 53.71045
610.6032, 84.44482
611.0853, 133.1143
611.5674, 172.2148
612.0496, 217.2017
612.5317, 227.6821
613.0138, 177.1323
613.4959, 80.98877
613.9780, 36.96191
614.4601, 59.57617
614.9423, 94.31104
615.4244, 114.9927
615.9065, 122.1582
616.3886, 127.3096
616.8707, 131.1753
617.3528, 126.9839
617.8350, 96.72607
618.3171, 55.06348
618.7992, 34.24805
619.2813, 45.28369
619.7634, 65.50732
620.2455, 76.37646
620.7277, 84.01904
621.2098, 99.13135
621.6919, 151.6309
622.1740, 185.1943
622.6561, 171.7925
623.1382, 117.6143
623.6204, 72.50977
624.1025, 40.64941
624.5846, 14.83887
625.0667, 10.83447
625.5488, 38.38818
626.0309, 37.17236
626.5131, 2.626953
626.9952, 42.30811
627.4773, 36.73340
627.9594, 4.746094
628.4415, 17.03516
628.9236, 14.57324
629.4058, 59.30859
629.8879, 89.56006
630.3700, 107.1763
630.8521, 115.9595
631.3342, 115.0356
631.8163, 107.9238
632.2985, 92.95605
632.7806, 72.81885
633.2627, 56.52100
633.7448, 42.40820
634.2269, 36.59961
634.7090, 44.17822
635.1912, 66.00830
635.6733, 84.33447
636.1554, 103.8149
636.6375, 111.9531
637.1196, 90.41650
637.6017, 35.85986
638.0839, 15.82812
638.5660, 40.63867
639.0481, 79.47412
639.5302, 95.15527
640.0123, 92.59326
640.4944, 87.74805
640.9766, 83.68408
641.4587, 81.73486
641.9408, 89.63770
642.4229, 100.7856
642.9050, 99.12695
643.3871, 69.21240
643.8693, 33.14453
644.3514, 10.89209
644.8335, 61.83887
645.3156, 72.82666
645.7977, 12.01807
646.2798, 53.77734
646.7620, 95.28955
647.2441, 109.7812
647.7262, 113.3887
648.2083, 105.1514
648.6904, 88.61523
649.1725, 56.40771
649.6547, 14.73389
650.1368, 6.627441
650.6189, 50.08838
651.1010, 99.84717
651.5831, 96.13525
652.0652, 58.80078
652.5474, 29.38818
653.0295, 26.45264
653.5116, 34.74463
653.9937, 57.17383
654.4758, 86.53369
654.9579, 97.93555
655.4401, 54.58105
655.9222, 24.28760
656.4043, 37.94043
656.8864, 98.03760
657.3685, 125.4951
657.8506, 110.8101
658.3328, 84.42676
658.8149, 62.81934
659.2970, 46.35449
659.7791, 51.82520
660.2612, 85.01318
660.7433, 111.6484
661.2255, 76.41748
661.7076, 10.36768
662.1897, 23.72070
662.6718, 4.782227
663.1539, 30.62354
663.6360, 69.17383
664.1181, 103.3623
664.6002, 119.8057
665.0823, 84.46045
665.5645, 63.15723
666.0466, 95.09668
666.5287, 162.0552
667.0108, 171.8433
667.4929, 92.56738
667.9750, 19.86328
668.4572, 2.078125
668.9393, 22.10352
669.4214, 33.52686
669.9035, 30.80566
670.3856, 29.28906
670.8677, 49.88379
671.3499, 79.26709
671.8320, 83.22754
672.3141, 53.42480
672.7962, 32.56689
673.2783, 77.27637
673.7604, 139.1460
674.2426, 161.1963
674.7247, 91.63867
675.2068, 32.19580
675.6889, 1.387207
676.1710, 9.865234
676.6531, 7.717285
677.1353, 76.35352
677.6174, 120.3774
678.0995, 118.1626
678.5816, 83.33496
679.0637, 59.76318
679.5458, 46.80273
680.0280, 51.69922
680.5101, 96.10742
680.9922, 155.6123
681.4743, 181.6885
681.9564, 176.8477
682.4385, 152.4448
682.9207, 83.13330
683.4028, 12.99658
683.8849, 9.258789
684.3670, 34.23145
684.8491, 63.33447
685.3312, 40.14307
685.8134, 5.637207
686.2955, 6.908203
686.7776, 15.45410
687.2597, 31.34521
687.7418, 35.67432
688.2239, 38.18457
688.7061, 59.70068
689.1882, 99.39502
689.6703, 117.4453
690.1524, 98.50488
690.6345, 62.99951
691.1166, 29.48682
691.5988, 3.746094
692.0809, 1.375000
692.5630, 59.41504
693.0451, 116.3247
693.5272, 133.3428
694.0093, 115.3447
