##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
495.4702, 27.24191
495.9523, 26.66506
496.4344, 25.97487
496.9165, 25.54247
497.3987, 26.00029
497.8808, 26.95781
498.3629, 27.66996
498.8450, 27.65595
499.3271, 27.44287
499.8092, 27.33888
500.2914, 27.32591
500.7735, 27.29870
501.2556, 26.99572
501.7377, 26.82746
502.2198, 27.15545
502.7019, 28.45850
503.1841, 29.11429
503.6662, 28.42551
504.1483, 27.19118
504.6304, 26.31732
505.1125, 25.76569
505.5946, 25.67923
506.0768, 26.33005
506.5589, 27.48878
507.0410, 27.89877
507.5231, 27.25438
508.0052, 26.71943
508.4873, 27.10273
508.9695, 28.41165
509.4516, 29.05638
509.9337, 28.97477
510.4158, 28.44747
510.8979, 27.47800
511.3800, 26.24060
511.8622, 25.61351
512.3443, 26.04713
512.8264, 26.87448
513.3085, 27.21219
513.7906, 27.17748
514.2728, 27.19060
514.7549, 27.57112
515.2370, 28.04806
515.7191, 28.46134
516.2012, 28.80800
516.6833, 28.88074
517.1655, 28.33925
517.6476, 27.61560
518.1297, 27.07554
518.6118, 26.67975
519.0939, 26.61533
519.5760, 27.25869
520.0582, 28.23640
520.5403, 28.67625
521.0224, 28.31823
521.5045, 27.75834
521.9866, 26.96607
522.4688, 25.94228
522.9509, 25.84384
523.4330, 27.01274
523.9151, 28.30734
524.3972, 28.75864
524.8793, 28.34183
525.3615, 28.20611
525.8436, 28.52462
526.3257, 28.95069
526.8078, 28.87847
527.2899, 28.41984
527.7720, 28.11865
528.2542, 28.36904
528.7363, 28.75358
529.2184, 28.64910
529.7005, 28.13619
530.1826, 27.64938
530.6647, 27.39113
531.1469, 27.31567
531.6290, 27.47559
532.1111, 27.97616
532.5932, 28.21681
533.0753, 27.60814
533.5574, 26.77383
534.0396, 26.37067
534.5217, 26.98594
535.0038, 27.47840
535.4859, 27.65829
535.9680, 27.60102
536.4501, 27.52192
536.9323, 27.31610
537.4144, 27.27600
537.8965, 27.62263
538.3786, 28.37486
538.8607, 28.57473
539.3428, 28.08235
539.8250, 27.46298
540.3071, 27.26875
540.7892, 27.45570
541.2713, 27.60469
541.7534, 27.67014
542.2355, 27.63015
542.7177, 27.30438
543.1998, 26.81810
543.6819, 26.58060
544.1640, 27.01480
544.6461, 27.61930
545.1282, 27.96061
545.6104, 28.05742
546.0925, 28.04707
546.5746, 27.88193
547.0567, 27.71804
547.5388, 27.68747
548.0209, 27.87838
548.5031, 27.96362
548.9852, 27.68595
549.4673, 27.36022
549.9494, 27.33680
550.4315, 28.03188
550.9136, 28.36432
551.3958, 28.02072
551.8779, 27.29239
552.3600, 27.11492
552.8421, 27.65870
553.3242, 28.14902
553.8063, 28.22071
554.2885, 27.93625
554.7706, 27.75598
555.2527, 27.67509
555.7348, 27.74825
556.2169, 28.26986
556.6990, 28.97379
557.1812, 29.09919
557.6633, 28.41238
558.1454, 27.58068
558.6275, 27.06209
559.1096, 26.87750
559.5917, 27.05384
560.0739, 28.08758
560.5560, 29.02513
561.0381, 29.36405
561.5202, 29.18840
562.0023, 28.90284
562.4844, 28.47581
562.9666, 28.07372
563.4487, 27.78552
563.9308, 27.63846
564.4129, 27.46201
564.8950, 27.17739
565.3771, 26.94918
565.8593, 26.95353
566.3414, 27.27981
566.8235, 27.42512
567.3056, 27.26574
567.7877, 27.02193
568.2698, 27.10883
568.7520, 27.51264
569.2341, 28.00344
569.7162, 28.66499
570.1983, 29.24873
570.6804, 29.14631
571.1625, 28.45617
571.6447, 27.86123
572.1268, 27.89457
572.6089, 28.18805
573.0910, 28.41686
573.5731, 28.54901
574.0552, 28.58880
574.5374, 28.59487
575.0195, 28.48210
575.5016, 28.17177
575.9837, 27.08372
576.4658, 26.50353
576.9479, 26.89587
577.4301, 27.78185
577.9122, 28.20394
