##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=(Cu^2+^,Zn^2+^)_15_(CO_3_)_4_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_14_&#183;7H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
514.4199, 3.914425
514.9020, 4.691673
515.3841, 4.578976
515.8662, 3.365586
516.3483, 2.697103
516.8304, 3.438723
517.3126, 3.818821
517.7947, 3.010570
518.2768, 1.628375
518.7589, 0.5496590
519.2410, 0.1189110
519.7231, 0.1300740
520.2053, 0.5559930
520.6874, 1.481800
521.1695, 1.390906
521.6516, 1.100022
522.1337, 3.101871
522.6158, 2.025777
523.0980, 1.088537
523.5801, 3.219346
524.0622, 2.569874
524.5443, 1.200373
525.0264, 1.510104
525.5085, 3.199091
525.9907, 4.444111
526.4728, 4.565105
526.9549, 4.085695
527.4370, 3.709467
527.9191, 3.432723
528.4012, 3.477158
528.8834, 3.988475
529.3655, 4.185757
529.8476, 3.583349
530.3297, 2.558151
530.8118, 1.935995
531.2939, 2.183786
531.7761, 2.950675
532.2582, 3.327825
532.7403, 2.952274
533.2224, 2.854195
533.7045, 3.223199
534.1866, 3.683996
534.6688, 4.168341
535.1509, 4.559401
535.6330, 4.588537
536.1151, 3.972973
536.5972, 3.018804
537.0793, 2.582802
537.5615, 2.794126
538.0436, 3.009783
538.5257, 3.199935
539.0078, 3.190061
539.4899, 2.697435
539.9720, 1.753057
540.4542, 0.9827240
540.9363, 0.6280240
541.4184, 0.6593330
541.9005, 1.209689
542.3826, 2.242363
542.8647, 3.107574
543.3469, 3.484834
543.8290, 3.544292
544.3111, 3.664736
544.7932, 4.021034
545.2753, 4.043837
545.7574, 3.100058
546.2396, 2.177859
546.7217, 2.325692
547.2038, 3.398459
547.6859, 4.393909
548.1680, 4.586720
548.6501, 4.187185
549.1323, 4.147200
549.6144, 4.782290
550.0965, 5.232347
550.5786, 5.639565
551.0607, 5.681470
551.5428, 4.853416
552.0250, 3.317101
552.5071, 1.955911
552.9892, 1.420177
553.4713, 1.528614
553.9534, 1.884560
554.4355, 2.604760
554.9177, 2.929730
555.3998, 2.094008
555.8819, 1.051412
556.3640, 1.234699
556.8461, 2.849703
557.3282, 4.142418
557.8104, 4.212546
558.2925, 3.735746
558.7746, 3.360568
559.2567, 3.173770
559.7388, 3.347429
560.2209, 4.074099
560.7031, 5.095781
561.1852, 5.595237
561.6673, 5.586674
562.1494, 4.978079
562.6315, 3.053287
563.1136, 1.086731
563.5958, 4.5518000E-02
564.0779, 0.3399910
564.5600, 0.1798170
565.0421, 0.1922850
565.5242, 0.7636740
