##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
547.0567, 2.870239
547.5388, 2.979858
548.0209, 3.171143
548.5031, 3.516113
548.9852, 4.212158
549.4673, 5.445679
549.9494, 6.867676
550.4315, 8.879761
550.9136, 11.47913
551.3958, 11.68835
551.8779, 8.031982
552.3600, 4.515381
552.8421, 3.829346
553.3242, 6.238037
553.8063, 9.122192
554.2885, 13.06531
554.7706, 16.18213
555.2527, 14.77588
555.7348, 9.621826
556.2169, 5.582642
556.6990, 4.225586
557.1812, 4.538574
557.6633, 5.753174
558.1454, 7.579712
558.6275, 8.956421
559.1096, 9.213135
559.5917, 8.789917
560.0739, 7.579834
560.5560, 5.628662
561.0381, 4.543457
561.5202, 5.549438
562.0023, 7.323120
562.4844, 8.896118
562.9666, 10.32739
563.4487, 11.17224
563.9308, 10.29407
564.4129, 9.249634
564.8950, 10.81958
565.3771, 16.77979
565.8593, 20.96655
566.3414, 21.32043
566.8235, 18.78479
567.3056, 17.82849
567.7877, 18.48364
568.2698, 19.79126
568.7520, 22.36487
569.2341, 25.74304
569.7162, 27.20532
570.1983, 26.29736
570.6804, 24.42932
571.1625, 21.93469
571.6447, 19.62231
572.1268, 19.09631
572.6089, 21.90930
573.0910, 24.06372
573.5731, 21.86572
574.0552, 17.49683
574.5374, 14.77295
575.0195, 16.67700
575.5016, 18.66870
575.9837, 19.76892
576.4658, 19.85168
576.9479, 18.08936
577.4301, 12.86328
577.9122, 7.715332
578.3943, 4.171265
578.8764, 2.495850
579.3585, 1.074097
579.8406, 0.2392580
580.3228, 1.015137
580.8049, 0.8304440
581.2870, 0.2733150
581.7691, 2.501709
582.2512, 6.464966
582.7333, 10.05884
583.2155, 9.144287
583.6975, 4.998291
584.1796, 1.880249
584.6617, 2.321411
585.1439, 4.092651
585.6260, 5.122192
586.1081, 5.649414
586.5902, 6.958130
587.0723, 10.79626
587.5544, 14.90894
588.0366, 18.17566
588.5187, 20.33936
589.0008, 20.78564
589.4829, 17.49121
589.9650, 14.13062
590.4471, 13.55237
590.9293, 17.97913
591.4114, 20.06750
591.8935, 18.75476
592.3756, 15.62964
592.8577, 13.17114
593.3398, 11.31946
593.8220, 10.90723
594.3041, 13.32825
594.7862, 16.53284
595.2683, 14.36523
595.7504, 7.657959
596.2325, 2.585815
596.7147, 5.066650
597.1968, 10.18591
597.6789, 12.02271
598.1610, 10.11060
598.6431, 8.511963
599.1252, 10.40149
599.6074, 13.06372
600.0895, 14.25659
600.5716, 12.84033
601.0537, 11.15259
601.5358, 9.128662
602.0179, 7.201172
602.5001, 5.884521
602.9822, 5.104980
603.4643, 5.047607
603.9464, 5.859375
604.4285, 7.360352
604.9106, 9.525391
605.3928, 12.47241
605.8749, 14.26221
606.3570, 12.71704
