##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
277.1747, 4.584842
277.6568, 4.903898
278.1389, 4.828533
278.6211, 3.936389
279.1032, 2.566284
279.5853, 2.222676
280.0674, 4.144964
280.5495, 5.438931
281.0316, 4.691154
281.5138, 2.899678
281.9959, 1.928089
282.4780, 2.657260
282.9601, 4.401350
283.4422, 5.380578
283.9243, 5.388867
284.4065, 5.203702
284.8886, 4.946232
285.3707, 4.592678
285.8528, 4.049736
286.3349, 3.264847
286.8170, 2.439984
287.2992, 1.908087
287.7813, 1.733788
288.2634, 1.603080
288.7455, 1.333793
289.2276, 1.141505
289.7097, 1.343944
290.1919, 2.027137
290.6740, 2.917785
291.1561, 3.754230
291.6382, 4.550076
292.1203, 5.077888
292.6024, 5.362958
293.0846, 5.346292
293.5667, 4.800619
294.0488, 3.709271
294.5309, 2.653947
295.0130, 2.229465
295.4951, 2.452545
295.9773, 2.468800
296.4594, 2.255379
296.9415, 1.814900
297.4236, 0.8795340
297.9057, 0.4610320
298.3878, 1.335978
298.8700, 0.9536300
299.3521, 0.4744040
299.8342, 1.331794
300.3163, 1.297820
300.7984, 0.9993910
301.2805, 0.5883850
301.7627, 0.1567200
302.2448, 0.1122900
302.7269, 0.7750440
303.2090, 1.904253
303.6911, 2.800074
304.1732, 3.619074
304.6554, 3.955810
305.1375, 3.270691
305.6196, 1.994580
306.1017, 1.379094
306.5838, 2.109600
307.0659, 3.315785
307.5481, 3.133183
308.0302, 1.203283
308.5123, 0.3551180
308.9944, 0.5842460
309.4765, 6.0144000E-02
309.9586, 0.2817400
310.4408, 0.2427180
310.9229, 1.9585000E-02
311.4050, 0.2253110
311.8871, 0.5825770
312.3692, 0.9244750
312.8513, 1.387115
313.3335, 1.538048
313.8156, 0.5605530
314.2977, 1.713408
314.7798, 3.919864
315.2619, 4.692594
315.7440, 4.109647
316.2262, 3.739178
316.7083, 4.067459
317.1904, 4.399878
317.6725, 3.922756
318.1546, 2.696241
318.6367, 1.801825
319.1188, 2.070408
319.6010, 3.290762
320.0831, 4.521173
320.5652, 6.377311
321.0473, 7.761304
321.5294, 7.902179
322.0115, 7.022624
322.4937, 5.859564
322.9758, 4.663794
323.4579, 3.510715
323.9400, 2.522560
324.4221, 1.317003
324.9042, 1.134594
325.3864, 3.165236
325.8685, 5.998096
