##NAMES=Gadolinite-(Y)
##RRUFFID=R080129
##IDEAL CHEMISTRY=Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_
##LOCALITY=Ytterøya mine, Røvika, Ytterøya (island), Levanger, Nord-Trøndelag, Norway
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown fragment from metamict sample R070340, after heating at T = 1000 C for 23 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080129
621.2192, 5.047729
621.7013, 5.482239
622.1834, 4.482178
622.6655, 3.764404
623.1476, 5.019104
623.6298, 6.965942
624.1119, 7.388855
624.5940, 5.684753
625.0761, 3.743958
625.5582, 1.944519
626.0403, 0.6297610
626.5225, 0.4285890
627.0046, 1.260620
627.4867, 2.354187
627.9688, 3.288208
628.4509, 4.003113
628.9330, 4.358032
629.4152, 4.263306
629.8973, 3.922180
630.3794, 3.128296
630.8615, 2.318176
631.3436, 1.592957
631.8257, 1.062378
632.3079, 0.9865720
632.7900, 1.627991
633.2721, 2.424133
633.7542, 2.742554
634.2363, 2.563477
634.7184, 1.473267
635.2006, 0.9260860
635.6827, 3.297058
636.1648, 4.337402
636.6469, 4.222412
637.1290, 4.564514
637.6111, 5.775879
638.0933, 6.956787
638.5754, 7.831238
639.0575, 8.517700
639.5396, 9.000732
640.0217, 9.375305
640.5038, 10.04639
640.9860, 11.41486
641.4681, 13.27393
641.9502, 14.56427
642.4323, 15.00098
642.9144, 15.56946
643.3965, 16.52777
643.8787, 17.64130
644.3608, 18.75568
644.8429, 19.88324
645.3250, 21.13391
645.8071, 22.79626
646.2892, 24.38330
646.7714, 25.20776
647.2535, 25.52985
647.7356, 26.28802
648.2177, 27.79291
648.6998, 29.35974
649.1819, 30.17407
649.6641, 30.18414
650.1462, 30.59900
650.6283, 31.83838
651.1104, 32.94501
651.5925, 33.42950
652.0746, 33.87762
652.5568, 35.05188
653.0389, 36.94006
653.5210, 38.69629
654.0031, 39.57184
654.4852, 39.83215
654.9673, 40.09448
655.4495, 40.31549
655.9316, 41.05939
656.4137, 42.82666
656.8958, 44.80786
657.3779, 45.75513
657.8600, 45.70343
658.3422, 46.12396
658.8243, 47.42731
659.3064, 49.03137
659.7885, 50.91156
660.2706, 52.78259
660.7527, 54.18805
661.2349, 55.01154
661.7170, 55.51520
662.1991, 55.91974
662.6812, 56.24371
663.1633, 56.99976
663.6454, 58.61560
664.1276, 59.80359
664.6097, 59.43085
665.0918, 58.90723
665.5739, 59.61304
666.0560, 61.58661
666.5381, 63.53326
667.0203, 64.88947
667.5024, 65.91223
667.9845, 66.68787
668.4666, 67.34723
668.9487, 68.49225
669.4308, 70.40009
669.9130, 72.09802
670.3951, 72.16437
670.8772, 70.31952
671.3593, 69.16370
671.8414, 69.33417
672.3235, 69.46558
672.8057, 69.05792
673.2878, 68.60272
673.7699, 68.71503
674.2520, 69.45166
674.7341, 70.20459
675.2162, 70.58783
675.6984, 70.68597
676.1805, 70.63275
676.6626, 70.41956
677.1447, 70.12939
677.6268, 69.76239
678.1089, 69.26538
678.5911, 68.53503
679.0732, 67.48676
679.5553, 66.75897
680.0374, 66.30426
680.5195, 66.36304
681.0016, 67.49976
681.4838, 68.76727
681.9659, 69.18164
682.4480, 68.61963
682.9301, 67.46283
683.4122, 65.76697
683.8943, 63.77222
684.3765, 62.55585
684.8586, 62.23047
685.3407, 61.61835
685.8228, 60.26672
686.3049, 58.55194
