##NAMES=Katoite
##RRUFFID=R070646
##IDEAL CHEMISTRY=Ca_3_Al_2_(OH)_12_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=White to colorless powder mixed with small trapezohedral crystals, sample from Lager et al (2002) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070646
439.8745, 9.671814
440.3567, 8.693054
440.8388, 7.640930
441.3209, 6.403870
441.8030, 5.173340
442.2851, 4.131836
442.7672, 3.296997
443.2494, 2.723389
443.7315, 2.691772
444.2136, 2.928650
444.6957, 2.944336
445.1778, 2.813293
445.6599, 2.224609
446.1421, 0.7839360
446.6242, 1.643860
447.1063, 3.512573
447.5884, 3.854004
448.0705, 4.023132
448.5526, 5.058899
449.0348, 8.666931
449.5169, 10.67645
449.9990, 9.869507
450.4811, 7.461426
450.9632, 7.052551
451.4453, 9.609497
451.9275, 12.30963
452.4096, 13.93176
452.8917, 14.29382
453.3738, 15.69867
453.8559, 18.57330
454.3380, 21.45038
454.8202, 22.22003
455.3023, 20.84406
455.7844, 20.72516
456.2665, 23.01135
456.7486, 26.54633
457.2307, 28.94366
457.7129, 30.23663
458.1950, 31.16418
458.6771, 31.61615
459.1592, 32.12683
459.6413, 33.92389
460.1234, 37.19562
460.6056, 40.83984
461.0877, 44.39856
461.5698, 47.60675
462.0519, 50.03058
462.5340, 50.99005
463.0161, 51.63525
463.4983, 52.38934
463.9804, 53.38702
464.4625, 55.16394
464.9446, 58.46124
465.4267, 62.28143
465.9088, 65.99640
466.3910, 69.41840
466.8731, 73.15631
467.3552, 78.17480
467.8373, 83.28912
468.3194, 86.97162
468.8015, 87.69818
469.2837, 88.69159
469.7658, 90.17877
470.2479, 92.22540
470.7300, 95.54181
471.2121, 100.9735
471.6942, 106.3257
472.1764, 110.1909
472.6585, 112.0816
473.1406, 114.7315
473.6227, 118.3362
474.1048, 122.4625
474.5869, 126.7082
475.0691, 131.0949
475.5512, 134.7595
476.0333, 136.9825
476.5154, 138.5502
476.9975, 141.6700
477.4796, 146.2972
477.9618, 151.3519
478.4439, 156.0073
478.9260, 160.5485
479.4081, 165.5367
479.8902, 171.1320
480.3723, 176.8811
480.8545, 182.7695
481.3366, 188.5394
481.8187, 193.7422
482.3008, 197.1989
482.7829, 200.7166
483.2650, 205.5185
483.7472, 211.5167
484.2293, 217.6112
484.7114, 224.2310
485.1935, 230.3435
485.6756, 235.0380
486.1577, 237.0038
486.6399, 240.1783
487.1220, 245.6288
487.6041, 252.2952
488.0862, 258.6937
488.5683, 265.0616
489.0504, 270.8936
489.5326, 275.5037
490.0147, 279.2687
490.4968, 285.4300
490.9789, 294.7699
491.4610, 304.1383
491.9431, 311.3638
492.4253, 316.2859
492.9074, 321.6760
493.3895, 327.9158
493.8716, 334.2498
494.3537, 339.5881
494.8358, 344.0714
495.3180, 348.8425
495.8001, 353.9164
496.2822, 359.8165
496.7643, 367.7956
497.2464, 377.6365
497.7285, 387.4850
498.2107, 396.2809
498.6928, 404.5161
499.1749, 412.8517
499.6570, 421.3386
500.1391, 429.7334
500.6212, 437.3026
501.1034, 444.8234
501.5855, 453.3140
502.0676, 463.9719
502.5497, 474.4869
503.0318, 484.1799
503.5139, 493.2473
503.9961, 502.6390
504.4782, 512.6100
504.9603, 522.8759
505.4424, 533.4065
505.9245, 544.4486
