##NAMES=Zincolibethenite
##RRUFFID=R060763
##IDEAL CHEMISTRY=Cu^2+^Zn^2+^P^5+^O_4_(OH)
##LOCALITY=Kabwe mine, Kabwe, Zambia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale greenish-blue botryoidal groups of radiating crystals, associated with colorless tarbuttite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060763
455.5578, 13.40228
456.0399, 14.64104
456.5220, 13.59238
457.0041, 12.36777
457.4862, 11.31021
457.9684, 10.89587
458.4505, 12.26863
458.9326, 15.39650
459.4147, 17.65033
459.8968, 18.66058
460.3789, 18.58072
460.8611, 16.76509
461.3432, 13.67163
461.8253, 11.54604
462.3074, 11.89938
462.7895, 14.13559
463.2716, 15.79140
463.7538, 16.60577
464.2359, 17.08554
464.7180, 17.44337
465.2001, 17.54065
465.6822, 17.20113
466.1643, 16.35669
466.6465, 15.37013
467.1286, 14.83263
467.6107, 14.77664
468.0928, 14.57991
468.5749, 14.08757
469.0570, 13.56380
469.5392, 13.00783
470.0213, 12.49973
470.5034, 12.21815
470.9855, 12.25383
471.4676, 12.30363
471.9497, 11.69543
472.4319, 10.17741
472.9140, 9.110199
473.3961, 8.838120
473.8782, 8.983765
474.3603, 9.720169
474.8424, 10.78818
475.3246, 11.28157
475.8067, 10.28549
476.2888, 8.483505
476.7709, 7.381882
477.2530, 7.083786
477.7351, 6.918869
478.2173, 6.544312
478.6994, 6.142441
479.1815, 6.217682
479.6636, 7.186844
480.1457, 7.163651
480.6278, 4.028824
481.1100, 0.4498290
481.5920, 2.898773
482.0742, 2.669144
482.5563, 1.506409
483.0384, 0.8211060
483.5205, 0.6302190
484.0026, 0.5140230
484.4847, 1.038269
484.9669, 1.014175
485.4490, 0.5747680
485.9311, 2.937668
486.4132, 4.578094
486.8953, 4.946381
487.3774, 4.814392
487.8596, 5.560196
488.3417, 7.978699
488.8238, 9.128540
489.3059, 8.252655
489.7880, 7.053040
490.2701, 6.338348
490.7523, 5.975876
491.2344, 5.398590
491.7165, 4.212631
492.1986, 2.829346
492.6807, 2.388657
493.1628, 3.150757
493.6450, 4.089844
494.1271, 5.529922
494.6092, 6.702515
495.0913, 6.859558
495.5734, 6.067963
496.0555, 5.298447
496.5377, 5.376083
497.0198, 5.977707
497.5019, 6.292007
497.9840, 6.335342
498.4661, 5.868851
498.9482, 3.955521
499.4304, 1.770523
499.9125, 1.754135
500.3946, 5.120300
500.8767, 7.967392
501.3588, 7.708252
501.8409, 5.817398
502.3231, 5.038544
502.8052, 5.944321
503.2873, 7.099152
503.7694, 7.144302
504.2515, 6.028412
504.7336, 4.994141
505.2158, 3.789917
505.6979, 2.934311
506.1800, 2.929794
506.6621, 3.296280
507.1442, 3.184387
507.6263, 2.317108
508.1085, 1.349487
508.5906, 1.388702
509.0727, 2.871262
509.5548, 3.778107
510.0369, 3.621506
510.5190, 3.370911
511.0012, 3.245285
511.4833, 3.315399
511.9654, 3.754852
512.4475, 4.767441
512.9296, 5.800888
513.4117, 5.714584
513.8939, 4.340363
514.3760, 3.105026
514.8581, 2.032471
515.3402, 1.515976
515.8223, 2.141708
516.3044, 3.712708
516.7866, 4.935013
517.2687, 5.129333
517.7508, 4.764328
518.2329, 4.389526
518.7150, 4.010559
519.1971, 3.448074
519.6793, 2.405182
520.1614, 1.379562
520.6435, 1.750488
521.1256, 4.163208
521.6077, 5.795013
522.0898, 5.673904
522.5720, 4.929169
523.0541, 4.593369
523.5362, 4.653763
524.0183, 4.374237
524.5004, 3.138824
524.9825, 1.249390
525.4647, 0.2694240
525.9468, 0.9777830
526.4289, 1.537994
526.9110, 1.488297
527.3931, 1.441650
527.8752, 2.079865
528.3574, 3.356308
528.8395, 4.519440
529.3216, 4.906708
529.8037, 4.610641
530.2858, 4.096161
530.7679, 3.161438
531.2501, 2.487259
531.7322, 2.837631
532.2143, 3.367111
532.6964, 2.964127
533.1785, 1.267395
533.6606, 6.7474000E-02
534.1428, 1.280380
534.6249, 3.671539
535.1070, 4.360703
535.5891, 2.871033
536.0712, 1.185501
536.5533, 0.7917940
537.0355, 1.497879
537.5176, 1.958755
537.9997, 1.509277
538.4818, 1.752991
538.9639, 3.913712
539.4460, 6.269333
539.9282, 6.940323
540.4103, 5.677231
540.8924, 4.043839
541.3745, 3.721848
541.8566, 4.742477
542.3387, 5.213623
542.8209, 4.818283
543.3029, 4.381836
543.7850, 3.873199
544.2672, 3.369797
544.7493, 2.854431
545.2314, 2.349213
545.7135, 2.179031
546.1956, 3.024994
546.6777, 4.747345
547.1599, 5.499802
547.6420, 4.674515
548.1241, 3.974701
548.6062, 4.718384
549.0883, 6.268768
549.5704, 7.697083
550.0526, 9.022064
550.5347, 9.725098
551.0168, 9.109024
551.4989, 7.755798
551.9810, 6.687973
552.4631, 6.104630
552.9453, 6.363663
553.4274, 8.175049
553.9095, 11.54552
554.3916, 12.70341
554.8737, 9.707520
555.3558, 7.172592
555.8380, 6.480591
556.3201, 6.884964
556.8022, 7.667786
557.2843, 8.532303
557.7664, 9.157639
558.2485, 9.042755
558.7307, 8.135635
559.2128, 7.732483
559.6949, 8.146088
560.1770, 8.644745
560.6591, 8.998413
561.1412, 9.307938
561.6234, 9.662704
562.1055, 10.12697
562.5876, 10.44102
563.0697, 10.31380
563.5518, 9.840240
564.0339, 9.313431
564.5161, 8.738159
564.9982, 8.248718
565.4803, 7.919556
565.9624, 7.764572
566.4445, 7.788361
566.9266, 8.254852
567.4088, 8.536285
567.8909, 8.231171
568.3730, 7.706406
568.8551, 7.307327
569.3372, 7.150345
569.8193, 7.473236
570.3015, 8.668427
570.7836, 10.62646
571.2657, 11.12888
571.7478, 8.814545
572.2299, 6.818192
572.7120, 5.389847
573.1942, 4.613068
573.6763, 4.804031
574.1584, 5.883667
574.6405, 7.017685
575.1226, 7.469589
575.6047, 7.374313
576.0869, 7.232956
576.5690, 6.989166
577.0511, 6.961441
577.5332, 7.616837
578.0153, 8.379883
578.4974, 8.332672
578.9796, 7.336563
579.4617, 6.112442
579.9438, 4.316757
580.4259, 2.803238
580.9080, 2.913544
581.3901, 4.478470
581.8723, 5.915482
582.3544, 6.231491
582.8365, 5.662125
583.3186, 5.039139
