##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=Cu^2+^O
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla. Sample is a pseudomorph.
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R060978
600.2641, 209.0879
600.7462, 199.3984
601.2283, 223.4766
601.7104, 257.7539
602.1926, 315.8320
602.6747, 370.8145
603.1568, 391.9648
603.6389, 371.0664
604.1210, 356.0625
604.6031, 354.2383
605.0853, 362.4395
605.5674, 375.1719
606.0495, 392.4512
606.5316, 412.0137
607.0137, 434.0938
607.4958, 457.3711
607.9780, 484.2891
608.4601, 513.2422
608.9422, 532.1035
609.4243, 525.5039
609.9064, 509.5215
610.3885, 496.8867
610.8707, 488.8691
611.3528, 486.0098
611.8349, 487.9395
612.3170, 495.6582
612.7991, 510.8965
613.2813, 544.4375
613.7634, 569.1016
614.2455, 580.9258
614.7276, 583.8887
615.2097, 583.2441
615.6918, 577.1094
616.1740, 570.3984
616.6561, 561.7070
617.1382, 554.4141
617.6203, 566.6895
618.1024, 598.1758
618.5845, 626.9688
619.0667, 631.9805
619.5488, 624.9141
620.0309, 619.0527
620.5130, 613.4473
620.9951, 624.0684
621.4772, 685.2070
621.9594, 758.0098
622.4415, 799.5566
622.9236, 773.2617
623.4057, 744.3105
623.8878, 717.3457
624.3699, 696.2266
624.8521, 690.5820
625.3342, 709.7480
625.8163, 728.7422
626.2984, 742.6934
626.7805, 751.3086
627.2626, 752.3711
627.7448, 746.7559
628.2269, 729.3652
628.7090, 683.4121
629.1911, 622.0293
629.6732, 597.4141
630.1553, 616.2637
630.6375, 638.2461
631.1196, 621.6836
631.6017, 587.9141
632.0838, 567.2598
632.5659, 573.7871
633.0480, 584.8574
633.5302, 588.4746
634.0123, 589.7500
634.4944, 597.7617
634.9765, 642.0078
635.4586, 660.4355
635.9407, 630.9961
636.4229, 562.1816
636.9050, 506.9199
637.3871, 464.1465
637.8692, 436.2578
638.3513, 428.2617
638.8334, 438.4824
639.3155, 446.2285
639.7976, 452.5566
640.2797, 447.3145
640.7618, 405.0254
641.2440, 347.7676
641.7261, 322.0723
642.2082, 342.9473
642.6903, 374.2832
643.1724, 396.7695
643.6545, 411.0781
644.1367, 417.5078
644.6188, 406.4590
645.1009, 398.6074
645.5830, 402.4375
646.0651, 413.7500
646.5472, 417.4609
647.0294, 404.4590
647.5115, 400.0254
647.9936, 410.4141
648.4757, 432.6289
648.9578, 460.1992
649.4399, 495.5664
649.9221, 519.3770
650.4042, 508.9766
650.8863, 474.4238
651.3684, 454.5098
651.8505, 454.9043
652.3326, 454.4434
652.8148, 418.7324
653.2969, 373.7852
653.7790, 355.9629
654.2611, 386.7656
654.7432, 429.9980
655.2253, 494.4102
655.7075, 555.9277
656.1896, 572.8633
656.6717, 482.9141
657.1538, 419.6133
657.6359, 413.7617
658.1180, 449.5762
658.6002, 460.5527
659.0823, 442.9238
659.5644, 413.6758
660.0465, 378.9277
660.5286, 338.9258
661.0107, 287.4023
661.4929, 224.6328
661.9750, 182.1309
662.4571, 206.6738
662.9392, 258.5176
663.4213, 280.5996
663.9034, 260.9863
664.3856, 237.9551
664.8677, 223.3320
665.3498, 219.8789
665.8319, 230.2051
666.3140, 284.9453
666.7961, 313.1152
667.2783, 295.4160
667.7604, 253.6250
668.2425, 224.3340
668.7246, 206.8145
669.2067, 204.1367
669.6888, 223.7754
670.1710, 252.5117
670.6531, 243.6250
671.1352, 199.4199
671.6173, 161.9043
672.0994, 163.9492
672.5815, 184.4863
673.0637, 202.9629
673.5458, 217.7715
674.0279, 210.0938
674.5100, 141.7012
674.9921, 67.85352
675.4742, 28.86719
675.9564, 37.22656
676.4385, 58.33594
676.9206, 115.0879
677.4027, 163.7852
677.8848, 163.0273
678.3669, 86.28906
678.8491, 41.51562
679.3312, 41.66016
679.8133, 67.49219
680.2954, 94.25195
680.7775, 120.3848
681.2596, 136.9551
681.7418, 138.5625
682.2239, 131.4219
682.7060, 119.8535
683.1881, 106.3750
683.6702, 96.85547
684.1523, 91.71875
684.6345, 95.31250
685.1166, 116.2285
685.5987, 152.8398
686.0808, 179.2070
686.5629, 195.1367
687.0450, 196.9180
687.5272, 178.0195
688.0093, 134.5879
688.4914, 108.7266
688.9735, 101.5020
689.4556, 108.5723
689.9377, 135.4062
690.4199, 176.0352
690.9020, 192.9766
691.3841, 178.2539
691.8662, 159.3340
692.3483, 164.6172
692.8304, 183.6660
693.3126, 200.7285
693.7947, 213.4727
694.2768, 219.1309
694.7589, 218.8438
695.2410, 210.1484
695.7231, 188.3086
696.2053, 125.7188
696.6874, 86.73242
697.1695, 93.10938
697.6516, 128.9609
698.1337, 134.8125
698.6158, 105.7676
699.0980, 75.25000
699.5801, 55.52148
700.0622, 46.20703
700.5443, 50.29492
701.0264, 66.52344
701.5085, 81.40820
701.9907, 87.11328
702.4728, 85.91602
702.9549, 80.92578
703.4370, 72.50781
703.9191, 54.93555
704.4012, 10.81055
704.8834, 33.45508
705.3655, 57.55859
705.8476, 51.68164
706.3297, 48.32227
706.8118, 46.32422
707.2939, 44.05078
707.7761, 36.83594
708.2582, 23.86133
708.7403, 24.27539
709.2224, 44.56445
709.7045, 68.25195
710.1866, 68.55859
710.6688, 53.35938
711.1509, 44.27344
711.6330, 56.23438
712.1151, 68.00391
712.5972, 64.59766
713.0793, 50.24805
713.5615, 34.84375
714.0436, 21.56445
714.5257, 7.630859
715.0078, 7.500000
715.4899, 23.38477
715.9720, 39.92578
716.4542, 58.75977
716.9363, 72.18359
717.4184, 74.05664
717.9005, 66.95117
718.3826, 65.37695
718.8647, 69.28516
719.3469, 72.99414
719.8290, 71.48047
720.3111, 67.98047
720.7932, 66.85938
721.2753, 68.79688
721.7574, 70.18750
722.2396, 71.00781
722.7217, 69.44922
723.2038, 63.08203
723.6859, 44.57227
724.1680, 37.28906
724.6501, 49.26172
725.1323, 63.20508
725.6144, 55.59961
726.0965, 23.31250
726.5786, 11.85547
727.0607, 31.85352
727.5428, 61.82031
728.0250, 70.89062
728.5071, 65.56055
728.9892, 62.98828
729.4713, 73.44141
729.9534, 83.12109
