##NAMES=Apachite
##RRUFFID=R060694
##IDEAL CHEMISTRY=Cu^2+^_9_Si_10_O_29_&#183;11H_2_O
##LOCALITY=Christmas mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Spherical aggregates of pale blue fibers, associated with yellowish-orange andradite and colorless calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060694
710.1921, 33.73975
710.6743, 13.96045
711.1564, 4.321289
711.6385, 8.928711
712.1206, 19.01562
712.6027, 22.25977
713.0848, 18.53076
713.5670, 16.93359
714.0491, 16.95947
714.5312, 20.80078
715.0133, 33.95703
715.4954, 47.41260
715.9775, 46.65479
716.4597, 31.11133
716.9418, 25.96289
717.4239, 48.66992
717.9060, 66.63037
718.3881, 59.15088
718.8702, 41.63428
719.3524, 28.66943
719.8345, 26.56592
720.3166, 43.25146
720.7987, 90.95898
721.2808, 145.5708
721.7629, 159.7969
722.2451, 138.0459
722.7272, 113.8428
723.2093, 93.08154
723.6914, 81.19092
724.1735, 85.24316
724.6556, 101.6016
725.1378, 108.5903
725.6199, 104.7896
726.1020, 93.52686
726.5841, 59.14160
727.0662, 33.36475
727.5483, 44.66260
728.0305, 76.82227
728.5126, 89.96777
728.9947, 66.13916
729.4768, 43.87061
729.9589, 56.83838
730.4410, 79.55518
730.9232, 75.20605
731.4053, 48.20166
731.8874, 25.73682
732.3695, 20.67041
732.8516, 26.49463
733.3337, 36.55127
733.8159, 51.05420
734.2980, 53.08691
734.7801, 38.81689
735.2622, 23.65137
735.7443, 11.18506
736.2264, 3.548340
736.7086, 7.482910
737.1907, 26.03174
737.6728, 30.87744
738.1549, 3.770508
738.6370, 17.61475
739.1191, 12.63232
739.6013, 1.519043
740.0834, 1.217285
740.5655, 13.29541
741.0476, 17.09375
741.5297, 14.50879
742.0118, 55.12988
742.4940, 64.71484
742.9761, 53.81689
743.4582, 60.80859
743.9403, 91.94531
744.4224, 107.2881
744.9045, 71.64209
745.3867, 3.134277
745.8688, 30.34229
746.3509, 23.50879
746.8330, 3.645020
747.3151, 76.43018
747.7972, 134.5068
748.2794, 132.4131
748.7615, 93.68066
749.2436, 60.44922
749.7257, 35.20508
750.2078, 19.23828
750.6899, 15.06396
751.1721, 17.87256
751.6542, 29.37402
752.1363, 44.95801
752.6184, 56.79443
753.1005, 62.28223
753.5826, 61.53857
754.0648, 46.63232
754.5469, 27.97021
755.0290, 40.57959
755.5111, 80.89990
755.9932, 102.6406
756.4753, 89.34424
756.9575, 62.13184
757.4396, 42.23047
757.9217, 29.77100
758.4038, 26.41309
758.8859, 33.84033
759.3680, 47.42627
759.8502, 80.83691
760.3323, 107.8325
760.8144, 109.0366
761.2965, 88.36768
761.7786, 66.37451
762.2607, 39.62109
762.7429, 26.61670
763.2250, 48.99072
763.7071, 78.67773
764.1892, 86.23682
764.6713, 75.91406
765.1534, 67.61914
765.6356, 70.45850
766.1177, 76.28809
766.5998, 77.13818
767.0819, 72.40674
767.5640, 53.84863
768.0461, 21.37500
768.5283, 7.281250
769.0104, 28.72998
769.4925, 60.28027
769.9746, 65.62256
770.4567, 42.17090
770.9388, 27.81250
771.4210, 27.42871
771.9031, 28.54004
772.3852, 24.63965
772.8673, 24.29932
773.3494, 39.58203
773.8315, 66.34473
774.3137, 81.80371
774.7958, 73.15283
775.2779, 62.00684
775.7600, 65.01904
776.2421, 65.76416
776.7242, 36.04004
777.2064, 13.16406
777.6885, 40.18164
778.1706, 22.33691
778.6527, 11.58545
779.1348, 24.20947
779.6169, 21.73145
780.0991, 26.30664
780.5812, 39.16357
781.0633, 52.09131
781.5454, 61.90869
782.0275, 68.31055
782.5096, 71.14795
782.9918, 70.69922
783.4739, 61.90137
783.9560, 33.79639
784.4381, 17.80566
784.9202, 32.62500
785.4023, 54.22949
785.8845, 60.63477
