##NAMES=Mackinawite
##RRUFFID=R070302
##IDEAL CHEMISTRY=(Fe,Ni)_1-1.07_S
##LOCALITY=Wannaway Prospect, near Kalgoorlie, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Bronze metallic massive, drill core
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070302
667.7397, 10.89889
668.2219, 5.240673
668.7040, 1.892578
669.1861, 5.006657
669.6682, 9.080589
670.1503, 9.462917
670.6324, 6.957428
671.1146, 5.047253
671.5967, 5.548317
672.0788, 6.921757
672.5609, 6.507492
673.0430, 4.665222
673.5251, 5.109585
674.0073, 8.694263
674.4894, 11.50089
674.9715, 10.98724
675.4536, 8.290501
675.9357, 6.280563
676.4178, 4.850285
676.9000, 4.364639
677.3821, 5.342777
677.8642, 6.751877
678.3463, 8.925228
678.8284, 10.86441
679.3105, 10.63375
679.7927, 7.623886
680.2748, 4.514503
680.7569, 4.377174
681.2390, 5.886459
681.7211, 5.266094
682.2032, 2.567245
682.6854, 1.869049
683.1675, 5.032764
683.6496, 9.818237
684.1317, 13.56666
684.6138, 16.59781
685.0959, 16.99635
685.5781, 11.51974
686.0602, 7.281391
686.5423, 6.855137
687.0244, 7.979145
687.5065, 8.273659
687.9886, 7.470242
688.4708, 6.842129
688.9529, 7.908775
689.4350, 8.909706
689.9171, 7.116001
690.3992, 3.585381
690.8813, 1.332417
691.3635, 1.191483
691.8456, 2.681450
692.3277, 5.706627
692.8098, 9.854095
693.2919, 11.26160
693.7740, 8.305126
694.2562, 6.189220
694.7383, 6.495872
695.2204, 7.346046
695.7025, 7.605904
696.1846, 7.326534
696.6667, 6.819481
697.1489, 6.138317
697.6310, 5.281246
698.1131, 3.627090
698.5952, 2.099525
699.0773, 2.471741
699.5594, 4.416981
700.0416, 6.041058
700.5237, 6.176926
701.0058, 5.338638
701.4879, 4.469585
701.9700, 3.558254
702.4521, 2.756367
702.9343, 2.007610
703.4164, 1.846615
703.8985, 2.829784
704.3806, 4.375095
704.8627, 5.240173
705.3448, 5.502560
705.8270, 5.392715
706.3091, 4.839863
706.7912, 4.025043
707.2733, 2.528301
707.7554, 1.021252
708.2375, 0.5550000
708.7197, 1.467945
709.2018, 3.364101
709.6839, 6.278843
710.1660, 9.575222
710.6481, 11.41486
711.1302, 11.78878
711.6124, 10.69382
712.0945, 7.802494
712.5766, 4.815281
713.0587, 3.877766
713.5408, 5.078209
714.0229, 6.492714
714.5051, 9.757130
714.9872, 10.91936
715.4693, 7.571342
715.9514, 3.340855
716.4335, 0.8503110
716.9156, 0.1998630
717.3978, 0.5812260
717.8799, 2.454319
718.3620, 4.122955
718.8441, 3.493191
719.3262, 2.030910
719.8083, 2.765652
720.2905, 5.686935
720.7726, 7.893921
721.2547, 7.362904
721.7368, 5.135105
722.2189, 3.629631
722.7010, 2.836357
723.1832, 2.950180
723.6653, 4.835819
724.1474, 5.917591
724.6295, 3.727371
725.1116, 0.2362210
725.5938, 0.5479010
726.0759, 2.591270
726.5580, 4.538311
727.0401, 3.619541
727.5222, 2.024712
728.0043, 0.6769370
728.4865, 0.3172680
728.9686, 1.183529
729.4507, 1.887058
729.9328, 1.577332
730.4149, 1.011723
730.8970, 4.962433
731.3792, 8.990700
731.8613, 12.83172
732.3434, 13.18127
732.8255, 8.541683
733.3076, 3.782249
733.7897, 4.267586
734.2719, 9.448322
734.7540, 12.00417
735.2361, 10.12833
735.7182, 8.640400
736.2003, 8.915161
736.6824, 8.954853
737.1646, 6.742035
737.6467, 3.320496
738.1288, 1.881519
738.6109, 4.475845
739.0930, 6.189018
739.5751, 2.428543
740.0573, 2.470623
740.5394, 3.273136
741.0215, 0.4224700
741.5036, 3.417809
741.9857, 6.993549
742.4678, 9.547832
742.9500, 9.568855
