##NAMES=Wurtzite
##RRUFFID=R130069
##IDEAL CHEMISTRY=Zn^2+^S^2+^
##LOCALITY=Merelani Hills (Mererani), Lelatema Mountains, Arusha Region, Tanzania
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Reddish brown blocky crystals, polytype wurtzite-4H
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130069
609.0834, 52182.97
609.5656, 52234.09
610.0477, 52294.70
610.5298, 52402.59
611.0119, 52525.61
611.4940, 52629.07
611.9761, 52707.88
612.4583, 52763.82
612.9404, 52769.93
613.4225, 52759.13
613.9046, 52810.08
614.3867, 52957.95
614.8688, 53092.47
615.3510, 53174.33
615.8331, 53215.20
616.3152, 53296.64
616.7973, 53420.88
617.2794, 53550.40
617.7615, 53659.15
618.2437, 53750.45
618.7258, 53837.25
619.2079, 53919.85
619.6900, 53997.28
620.1721, 54070.98
620.6542, 54137.64
621.1364, 54189.15
621.6185, 54209.64
622.1006, 54248.90
622.5827, 54363.99
623.0648, 54502.02
623.5469, 54588.89
624.0291, 54537.76
624.5112, 54528.27
624.9933, 54604.88
625.4754, 54741.94
625.9575, 54847.42
626.4396, 54912.80
626.9218, 54976.76
627.4039, 55055.32
627.8860, 55145.52
628.3681, 55228.18
628.8502, 55302.93
629.3323, 55375.58
629.8145, 55447.80
630.2966, 55520.84
630.7787, 55603.15
631.2608, 55696.50
631.7429, 55778.87
632.2250, 55811.80
632.7072, 55834.20
633.1893, 55890.55
633.6714, 56010.82
634.1535, 56130.66
634.6356, 56239.30
635.1177, 56334.75
635.5999, 56416.30
636.0820, 56480.64
636.5641, 56537.33
637.0462, 56591.09
637.5283, 56637.52
638.0104, 56650.70
638.4926, 56620.90
638.9747, 56623.47
639.4568, 56708.26
639.9389, 56850.17
640.4210, 56966.11
640.9031, 57058.16
641.3853, 57135.49
641.8674, 57205.18
642.3495, 57264.93
642.8316, 57295.75
643.3137, 57289.57
643.7958, 57325.11
644.2780, 57473.17
644.7601, 57663.44
645.2422, 57834.20
645.7243, 57975.99
646.2064, 58093.84
646.6885, 58179.09
647.1707, 58246.16
647.6528, 58313.49
648.1349, 58385.17
648.6170, 58438.03
649.0991, 58452.29
649.5812, 58461.20
650.0634, 58563.40
650.5455, 58752.34
651.0276, 58919.77
651.5097, 58999.42
651.9918, 59039.59
652.4739, 59113.16
652.9561, 59215.36
653.4382, 59326.14
653.9203, 59459.99
654.4024, 59576.77
654.8845, 59631.26
655.3666, 59610.13
655.8488, 59636.41
656.3309, 59802.59
656.8130, 59974.93
657.2951, 60065.19
657.7772, 60017.15
658.2593, 60044.44
658.7415, 60172.41
659.2236, 60335.04
659.7057, 60458.10
660.1878, 60541.92
660.6699, 60621.10
661.1520, 60700.56
661.6342, 60777.03
662.1163, 60847.64
662.5984, 60911.15
663.0805, 60963.16
663.5626, 60969.74
664.0447, 60996.80
664.5269, 61117.40
665.0090, 61298.00
665.4911, 61443.88
665.9732, 61491.52
666.4553, 61533.57
666.9374, 61615.70
667.4196, 61734.02
667.9017, 61801.63
668.3838, 61789.59
668.8659, 61784.31
669.3480, 61833.02
669.8301, 61935.35
670.3123, 62042.49
670.7944, 62157.98
671.2765, 62254.23
671.7586, 62283.35
672.2407, 62279.40
672.7228, 62318.36
673.2050, 62412.54
673.6871, 62534.03
674.1692, 62687.91
674.6513, 62846.41
675.1334, 62974.74
675.6155, 63047.76
676.0977, 63115.38
676.5798, 63183.77
677.0619, 63253.13
677.5440, 63322.34
678.0261, 63385.13
678.5082, 63460.52
678.9904, 63551.34
679.4725, 63658.47
679.9546, 63805.01
680.4367, 63990.13
680.9188, 64131.43
681.4009, 64171.52
681.8831, 64160.25
682.3652, 64173.96
682.8473, 64214.29
683.3294, 64286.77
683.8115, 64411.19
684.2936, 64556.87
684.7758, 64719.10
685.2579, 64894.98
685.7400, 65032.34
686.2221, 65068.23
686.7042, 65100.96
687.1863, 65178.60
687.6685, 65304.74
688.1506, 65468.33
688.6327, 65695.22
689.1148, 65910.65
689.5969, 66044.39
690.0790, 66100.38
690.5612, 66116.23
691.0433, 66081.46
691.5254, 66073.60
692.0075, 66229.92
692.4896, 66467.61
692.9717, 66628.98
693.4539, 66640.35
693.9360, 66625.98
694.4181, 66645.26
694.9002, 66687.66
695.3823, 66737.12
695.8644, 66800.98
696.3466, 66859.28
696.8287, 66896.47
697.3108, 66931.92
697.7929, 67021.67
698.2750, 67185.41
698.7571, 67338.45
699.2393, 67459.95
699.7214, 67550.15
700.2035, 67590.45
700.6856, 67587.52
701.1677, 67596.35
701.6498, 67652.20
702.1320, 67734.23
702.6141, 67818.57
703.0962, 67905.41
703.5783, 68004.45
704.0604, 68112.16
704.5425, 68238.70
705.0247, 68405.87
705.5068, 68634.95
705.9889, 68773.56
706.4710, 68754.91
706.9531, 68730.09
707.4352, 68814.42
707.9174, 69024.06
708.3995, 69136.13
708.8816, 69127.42
709.3637, 69117.95
709.8458, 69264.16
710.3279, 69505.14
710.8101, 69696.69
711.2922, 69814.25
711.7743, 69875.02
712.2564, 69849.09
712.7385, 69793.72
713.2206, 69777.16
713.7028, 69833.60
714.1849, 69909.43
714.6670, 69998.99
715.1491, 70101.28
715.6312, 70222.77
716.1133, 70382.08
716.5955, 70496.95
717.0776, 70527.80
717.5597, 70534.65
718.0418, 70661.59
718.5239, 70896.87
719.0060, 71120.45
719.4882, 71284.32
719.9703, 71411.51
720.4524, 71527.10
720.9345, 71629.05
721.4166, 71716.84
721.8987, 71768.37
722.3809, 71824.50
722.8630, 71921.13
723.3451, 72048.77
723.8272, 72119.88
724.3093, 72067.89
724.7914, 72055.38
725.2736, 72154.64
725.7557, 72355.63
726.2378, 72529.85
726.7199, 72680.16
727.2020, 72804.52
727.6841, 72897.81
728.1663, 72968.69
728.6484, 73027.81
729.1305, 73076.74
729.6126, 73130.18
730.0947, 73185.39
730.5768, 73257.41
731.0590, 73372.96
731.5411, 73552.65
732.0232, 73678.19
732.5053, 73645.27
732.9874, 73617.27
733.4695, 73705.50
733.9517, 73962.22
734.4338, 74142.16
734.9159, 74231.95
735.3980, 74283.82
735.8801, 74347.57
736.3622, 74420.78
736.8444, 74487.41
737.3265, 74540.32
737.8086, 74615.20
738.2907, 74787.09
738.7728, 74986.40
739.2549, 75117.30
739.7371, 75110.41
740.2192, 75111.52
740.7013, 75158.95
741.1834, 75238.89
741.6655, 75332.19
742.1476, 75438.51
742.6298, 75556.27
743.1119, 75686.81
743.5940, 75824.02
744.0761, 75944.73
744.5582, 76052.21
745.0403, 76211.08
745.5225, 76471.40
746.0046, 76735.30
746.4867, 76872.03
746.9688, 76921.17
747.4509, 76967.39
747.9330, 77045.09
748.4152, 77127.03
748.8973, 77215.53
749.3794, 77302.45
749.8615, 77357.70
750.3436, 77359.38
750.8257, 77374.95
751.3079, 77429.44
751.7900, 77508.69
752.2721, 77543.25
752.7542, 77534.12
753.2363, 77564.28
753.7184, 77707.16
754.2006, 77892.88
754.6827, 78021.43
755.1648, 78097.89
755.6469, 78137.08
756.1290, 78070.22
756.6111, 78038.31
757.0933, 78142.74
757.5754, 78376.20
758.0575, 78568.35
758.5396, 78684.84
759.0217, 78793.88
759.5038, 78930.28
759.9860, 79086.33
760.4681, 79165.22
760.9502, 79156.02
761.4323, 79192.59
761.9144, 79409.23
762.3965, 79714.97
762.8787, 79963.47
763.3608, 80147.13
763.8429, 80257.35
764.3250, 80203.72
764.8071, 80137.91
765.2892, 80175.23
765.7714, 80342.16
766.2535, 80476.41
766.7356, 80544.34
767.2177, 80610.55
767.6998, 80718.24
768.1819, 80873.31
768.6641, 80984.02
769.1462, 81045.70
769.6283, 81093.73
770.1104, 81114.03
