##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
512.9735, 8270.770
513.4556, 8179.445
513.9377, 8183.477
514.4199, 8310.254
514.9020, 8464.004
515.3841, 8509.223
515.8662, 8411.742
516.3483, 8418.129
516.8304, 8670.148
517.3126, 8885.199
517.7947, 8954.270
518.2768, 8948.758
518.7589, 8982.707
519.2410, 9100.547
519.7231, 9228.887
520.2053, 9234.180
520.6874, 9100.066
521.1695, 9086.199
521.6516, 9339.227
522.1337, 9580.312
522.6158, 9597.422
523.0980, 9455.516
523.5801, 9332.871
524.0622, 9269.000
524.5443, 9263.387
525.0264, 9362.738
525.5085, 9543.172
525.9907, 9650.152
526.4728, 9620.211
526.9549, 9520.445
527.4370, 9439.938
527.9191, 9376.535
528.4012, 9337.656
528.8834, 9313.031
529.3655, 9321.441
529.8476, 9405.137
530.3297, 9537.082
530.8118, 9638.641
531.2939, 9665.047
531.7761, 9641.348
532.2582, 9636.828
532.7403, 9689.648
533.2224, 9687.711
533.7045, 9582.617
534.1866, 9470.688
534.6688, 9414.070
535.1509, 9401.422
535.6330, 9379.523
536.1151, 9304.750
536.5972, 9208.125
537.0793, 9179.391
537.5615, 9237.195
538.0436, 9299.453
538.5257, 9373.102
539.0078, 9416.031
539.4899, 9370.336
539.9720, 9241.672
540.4542, 9141.258
540.9363, 9164.270
541.4184, 9226.785
541.9005, 9200.195
542.3826, 9084.301
542.8647, 8968.312
543.3469, 8902.711
543.8290, 8860.695
544.3111, 8762.109
544.7932, 8550.336
545.2753, 8422.293
545.7574, 8480.223
546.2396, 8578.703
546.7217, 8582.234
547.2038, 8498.059
547.6859, 8429.453
548.1680, 8456.262
548.6501, 8542.277
549.1323, 8520.934
549.6144, 8313.020
550.0965, 8146.020
550.5786, 8037.215
551.0607, 7968.328
551.5428, 7944.801
552.0250, 7956.938
552.5071, 7967.691
552.9892, 7946.418
553.4713, 7903.352
553.9534, 7877.855
554.4355, 7886.793
554.9177, 7879.684
555.3998, 7806.031
555.8819, 7705.598
556.3640, 7645.621
556.8461, 7635.820
557.3282, 7612.434
557.8104, 7550.770
558.2925, 7463.316
558.7746, 7353.465
559.2567, 7225.496
559.7388, 7108.512
560.2209, 7016.672
560.7031, 6948.852
561.1852, 6901.965
561.6673, 6921.469
562.1494, 6900.055
562.6315, 6787.035
563.1136, 6663.805
563.5958, 6603.914
564.0779, 6594.055
564.5600, 6567.660
565.0421, 6474.551
565.5242, 6334.938
566.0063, 6210.816
566.4885, 6095.043
566.9706, 6018.098
567.4527, 6051.152
567.9348, 6078.242
568.4169, 5998.465
568.8990, 5824.043
569.3812, 5668.227
569.8633, 5610.336
570.3454, 5596.879
570.8275, 5550.746
571.3096, 5473.883
571.7917, 5406.492
572.2739, 5377.148
572.7560, 5345.047
573.2381, 5219.367
573.7202, 4957.496
574.2023, 4773.172
574.6844, 4719.625
575.1666, 4719.902
575.6487, 4751.332
576.1308, 4791.527
576.6129, 4798.344
577.0950, 4748.438
577.5771, 4663.801
578.0593, 4601.074
578.5414, 4596.496
579.0235, 4513.523
579.5056, 4270.199
579.9877, 4015.094
580.4698, 3777.539
580.9520, 3582.773
581.4341, 3484.598
581.9162, 3542.797
582.3983, 3632.742
582.8804, 3564.480
583.3625, 3355.121
583.8447, 3197.418
584.3268, 3146.281
584.8089, 3136.434
585.2910, 3126.320
585.7731, 3110.598
586.2552, 3028.234
586.7374, 2796.910
587.2195, 2578.605
587.7016, 2470.797
588.1837, 2430.859
588.6658, 2386.961
589.1479, 2316.320
589.6301, 2233.074
590.1122, 2157.699
590.5943, 2095.754
591.0764, 1985.539
591.5585, 1736.543
592.0406, 1544.871
592.5228, 1502.441
593.0049, 1519.773
593.4870, 1485.805
593.9691, 1372.555
594.4512, 1252.594
594.9333, 1207.457
595.4155, 1215.426
595.8976, 1175.246
596.3797, 1069.852
596.8618, 970.6367
597.3439, 935.8086
597.8260, 929.4883
598.3082, 863.6055
598.7903, 714.3867
599.2724, 566.8438
599.7545, 438.1797
600.2366, 331.0820
600.7188, 255.7383
601.2009, 208.3750
601.6830, 169.8359
602.1651, 126.3203
602.6472, 81.95703
603.1293, 52.09766
603.6115, 39.28125
604.0936, 36.83594
604.5757, 60.50391
605.0578, 79.19922
605.5399, 85.73828
606.0220, 71.47266
606.5042, 10.95703
606.9863, 133.5312
607.4684, 294.9961
607.9505, 358.9531
608.4326, 327.5508
608.9147, 282.6055
609.3969, 241.2852
609.8790, 199.4609
610.3611, 125.8359
610.8432, 28.40625
611.3253, 34.84375
611.8074, 295.3828
612.2896, 520.3516
612.7717, 531.3555
613.2538, 410.8164
613.7359, 290.6797
614.2180, 213.7422
614.7001, 168.7617
615.1823, 146.0938
615.6644, 147.2344
616.1465, 142.4062
616.6286, 135.4805
617.1107, 116.1953
617.5928, 54.89844
618.0750, 4.121094
618.5571, 6.761719
619.0392, 95.02344
619.5213, 151.2812
620.0034, 59.85547
620.4855, 114.9492
620.9677, 226.7773
621.4498, 268.0703
621.9319, 296.8672
622.4140, 339.3086
622.8961, 389.5273
623.3782, 434.1055
623.8604, 470.0117
624.3425, 511.1758
624.8246, 557.0742
625.3067, 610.6328
625.7888, 663.7812
626.2709, 726.7734
626.7531, 831.7656
627.2352, 995.6055
627.7173, 1174.695
628.1994, 1283.609
628.6815, 1307.719
629.1636, 1341.594
629.6458, 1397.809
630.1279, 1453.891
630.6100, 1491.543
631.0921, 1522.770
631.5742, 1573.586
632.0563, 1660.371
632.5385, 1737.246
633.0206, 1744.047
633.5027, 1724.543
633.9848, 1774.438
634.4669, 1906.656
634.9490, 2058.176
635.4312, 2191.219
635.9133, 2301.746
636.3954, 2369.555
636.8775, 2344.500
637.3596, 2343.355
637.8417, 2365.918
638.3239, 2416.918
638.8060, 2528.820
639.2881, 2674.852
639.7702, 2773.293
640.2523, 2763.273
640.7344, 2709.531
641.2166, 2745.676
641.6987, 2876.066
642.1808, 2997.574
642.6629, 3109.570
643.1450, 3175.926
643.6271, 3117.102
644.1093, 2974.934
644.5914, 2910.293
645.0735, 2996.031
645.5556, 3106.059
646.0377, 3186.875
646.5198, 3254.129
647.0020, 3338.316
647.4841, 3440.734
647.9662, 3525.012
648.4483, 3556.148
648.9304, 3541.848
649.4125, 3535.059
649.8947, 3547.137
650.3768, 3546.023
650.8589, 3500.977
651.3410, 3461.777
651.8231, 3465.453
652.3052, 3509.336
652.7874, 3566.566
653.2695, 3644.902
653.7516, 3709.402
654.2337, 3687.941
654.7158, 3606.234
655.1979, 3595.426
655.6801, 3701.773
656.1622, 3836.391
656.6443, 3903.129
657.1264, 3898.645
657.6085, 3888.770
658.0906, 3843.746
658.5728, 3831.449
659.0549, 3895.195
659.5370, 3982.707
660.0191, 4041.051
660.5012, 4062.152
660.9833, 4070.375
661.4655, 4090.215
661.9476, 4109.797
662.4297, 4079.879
662.9118, 3989.508
663.3939, 3937.727
663.8760, 3959.895
664.3582, 4028.293
664.8403, 4128.770
665.3224, 4255.184
665.8045, 4333.031
666.2866, 4328.285
666.7687, 4302.934
667.2509, 4283.273
667.7330, 4268.629
668.2151, 4247.703
668.6972, 4221.617
