##NAMES=Kosmochlor
##RRUFFID=R120015
##IDEAL CHEMISTRY=NaCr^3+^Si_2_O_6_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=George Harlow
##DESCRIPTION=Green fragments. Sample was synthesized by Harlow (1997) and used in the Origlieri et al (2003) study
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R120015
##MEASURED CHEMISTRY=Na_1.00_(Cr_0.99_Fe^3+^_0.01_)Si_2.00_O_6_ ;after normalization to four total cations, using data of Harlow (1997).
598.7903, 1158286.
599.2724, 1156936.
599.7545, 1155485.
600.2366, 1154184.
600.7188, 1153369.
601.2009, 1153013.
601.6830, 1152828.
602.1651, 1152637.
602.6472, 1152416.
603.1293, 1152052.
603.6115, 1151378.
604.0936, 1150868.
604.5757, 1150783.
605.0578, 1150648.
605.5399, 1150173.
606.0220, 1149386.
606.5042, 1148436.
606.9863, 1147321.
607.4684, 1146219.
607.9505, 1145450.
608.4326, 1145008.
608.9147, 1144578.
609.3969, 1144067.
609.8790, 1143575.
610.3611, 1143320.
610.8432, 1143263.
611.3253, 1142847.
611.8074, 1141633.
612.2896, 1140444.
612.7717, 1139758.
613.2538, 1139373.
613.7359, 1138942.
614.2180, 1138357.
614.7001, 1137699.
615.1823, 1137051.
615.6644, 1136407.
616.1465, 1135846.
616.6286, 1135554.
617.1107, 1135072.
617.5928, 1134123.
618.0750, 1133029.
618.5571, 1132131.
619.0392, 1131491.
619.5213, 1130910.
620.0034, 1130322.
620.4855, 1129670.
620.9677, 1128689.
621.4498, 1127359.
621.9319, 1126297.
622.4140, 1125871.
622.8961, 1125842.
623.3782, 1125732.
623.8604, 1125575.
624.3425, 1125266.
624.8246, 1124641.
625.3067, 1123999.
625.7888, 1123593.
626.2709, 1123333.
626.7531, 1122984.
627.2352, 1122434.
627.7173, 1121693.
628.1994, 1120702.
628.6815, 1119343.
629.1636, 1118352.
629.6458, 1118008.
630.1279, 1117725.
630.6100, 1117196.
631.0921, 1116519.
631.5742, 1115884.
632.0563, 1115361.
632.5385, 1114811.
633.0206, 1113993.
633.5027, 1113116.
633.9848, 1112732.
634.4669, 1112904.
634.9490, 1112898.
635.4312, 1112131.
635.9133, 1110788.
636.3954, 1109713.
636.8775, 1109007.
637.3596, 1108473.
637.8417, 1108267.
638.3239, 1108104.
638.8060, 1107834.
639.2881, 1107421.
639.7702, 1106855.
640.2523, 1106117.
640.7344, 1105242.
641.2166, 1104248.
641.6987, 1103115.
642.1808, 1102142.
642.6629, 1101412.
643.1450, 1100796.
643.6271, 1100156.
644.1093, 1099521.
644.5914, 1099035.
645.0735, 1098957.
645.5556, 1098761.
646.0377, 1098128.
646.5198, 1097259.
647.0020, 1096427.
647.4841, 1095694.
647.9662, 1094995.
648.4483, 1094263.
648.9304, 1093521.
649.4125, 1092895.
649.8947, 1092500.
650.3768, 1092013.
650.8589, 1091274.
651.3410, 1090511.
651.8231, 1089946.
652.3052, 1089527.
652.7874, 1088945.
653.2695, 1087927.
653.7516, 1086776.
654.2337, 1085884.
654.7158, 1085199.
655.1979, 1084438.
655.6801, 1083486.
656.1622, 1082654.
656.6443, 1082364.
657.1264, 1082671.
657.6085, 1082487.
658.0906, 1081282.
658.5728, 1080326.
659.0549, 1080283.
659.5370, 1080419.
660.0191, 1079915.
660.5012, 1078698.
660.9833, 1077319.
661.4655, 1076201.
661.9476, 1075282.
662.4297, 1074378.
662.9118, 1073473.
663.3939, 1072773.
663.8760, 1072529.
664.3582, 1072297.
664.8403, 1071348.
665.3224, 1069761.
665.8045, 1068709.
666.2866, 1068691.
666.7687, 1068923.
667.2509, 1069242.
667.7330, 1069431.
668.2151, 1069130.
668.6972, 1068265.
669.1793, 1067069.
669.6614, 1065690.
670.1436, 1064171.
670.6257, 1063185.
671.1078, 1062999.
671.5899, 1062787.
672.0720, 1062357.
672.5541, 1061776.
673.0363, 1060989.
673.5184, 1060033.
