##NAMES=Jimkrieghite
##RRUFFID=R220012
##IDEAL CHEMISTRY=Ca(C_2_H_3_O_3_)^1-^_2_
##LOCALITY=Western end of Pusch Ridge in the Santa Catalina Mountains, north of Tucson, Pima County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Warren Lazar
##DESCRIPTION=Colorless short prismatic or pseudo-cubic crystals, associated with blue lazaraskeite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220012
498.3456, 8.552979
498.8277, 8.432159
499.3098, 8.585793
499.7919, 9.000366
500.2740, 9.684502
500.7562, 10.71861
501.2383, 12.08486
501.7204, 13.56161
502.2025, 15.08769
502.6846, 16.68839
503.1667, 17.46829
503.6489, 16.62395
504.1310, 16.47428
504.6131, 18.70587
505.0952, 22.27410
505.5773, 25.70303
506.0594, 28.62187
506.5416, 31.36195
507.0237, 34.19178
507.5058, 37.05627
507.9879, 39.82063
508.4700, 42.51106
508.9521, 44.86813
509.4343, 46.46243
509.9164, 47.28542
510.3985, 48.47015
510.8806, 50.32264
511.3627, 52.30488
511.8448, 54.39065
512.3270, 56.35547
512.8091, 57.69216
513.2912, 58.16037
513.7733, 58.15988
514.2554, 58.34046
514.7375, 58.28849
515.2197, 59.50490
515.7018, 62.03951
516.1839, 65.58704
516.6660, 70.04611
517.1481, 75.41389
517.6302, 81.67864
518.1124, 88.84404
518.5945, 96.91371
519.0766, 105.9636
519.5587, 116.2818
520.0408, 126.6430
520.5229, 135.8335
521.0051, 145.7211
521.4872, 157.5660
521.9693, 171.3000
522.4514, 186.0372
522.9335, 202.0407
523.4156, 218.3342
523.8978, 233.4011
524.3799, 247.3422
524.8620, 258.8791
525.3441, 267.5445
525.8262, 273.0956
526.3083, 275.2570
526.7905, 273.9164
527.2726, 270.2460
527.7547, 264.2457
528.2368, 256.2832
528.7189, 246.2964
529.2010, 234.5379
529.6832, 222.2481
530.1653, 210.2187
530.6474, 198.4514
531.1295, 186.6004
531.6116, 175.3249
532.0938, 163.1000
532.5759, 148.4490
533.0580, 133.6333
533.5401, 120.5765
534.0222, 109.5363
534.5043, 99.34909
534.9865, 88.69565
535.4686, 77.77304
535.9507, 69.17644
536.4328, 63.69468
536.9149, 59.10626
537.3970, 55.06159
537.8792, 51.15588
538.3613, 46.93574
538.8434, 42.26458
539.3255, 37.84408
539.8076, 34.08835
540.2897, 31.00018
540.7719, 28.77589
541.2540, 27.58257
541.7361, 26.32145
542.2182, 24.05558
542.7003, 21.05762
543.1824, 18.66310
543.6646, 16.83950
544.1467, 15.65338
544.6288, 15.66904
545.1109, 16.09856
545.5930, 15.86803
546.0751, 14.76250
546.5573, 13.25807
547.0394, 11.72789
547.5215, 10.15476
548.0036, 9.396614
548.4857, 10.62640
548.9678, 11.33977
549.4500, 10.76107
549.9321, 9.606201
550.4142, 8.656204
550.8963, 8.102570
551.3784, 7.634880
551.8605, 6.727432
552.3427, 5.457710
552.8248, 5.154671
553.3069, 6.470772
553.7890, 7.496231
554.2711, 6.632851
554.7532, 4.940125
555.2354, 3.970764
555.7175, 4.165985
556.1996, 4.632439
556.6817, 4.984268
557.1638, 5.151237
557.6459, 4.807236
558.1281, 3.860497
558.6102, 3.231117
559.0923, 3.862389
559.5744, 5.679955
560.0565, 6.670525
560.5386, 6.105797
561.0208, 5.721634
561.5029, 6.119072
561.9850, 6.809296
562.4671, 7.236328
562.9492, 7.258133
563.4313, 7.133408
563.9135, 7.103500
564.3956, 7.184097
564.8777, 7.486893
565.3598, 8.264984
565.8419, 8.877808
566.3240, 8.949654
566.8062, 8.857368
567.2883, 8.967712
567.7704, 9.378792
568.2525, 10.14361
568.7346, 11.39260
569.2167, 12.87124
569.6989, 14.17772
570.1810, 15.26637
570.6631, 16.23191
571.1452, 17.13428
571.6273, 17.95666
572.1094, 18.63605
572.5916, 19.12974
573.0737, 19.57019
573.5558, 19.69968
574.0379, 19.96431
574.5200, 21.00090
575.0021, 22.77268
575.4843, 24.60066
575.9664, 25.94948
576.4485, 26.88267
576.9306, 27.77735
577.4127, 28.51936
577.8948, 29.40933
578.3770, 30.84694
578.8591, 32.15908
579.3412, 32.81397
579.8233, 32.79396
580.3054, 32.45541
580.7875, 31.92293
581.2697, 31.30159
581.7518, 30.96751
582.2339, 30.98626
582.7161, 30.66809
583.1982, 29.63416
583.6803, 28.21398
584.1624, 26.83023
584.6445, 25.43703
585.1266, 24.34332
585.6088, 24.20970
586.0909, 23.96361
586.5730, 22.29568
587.0551, 19.60317
587.5372, 17.43463
588.0193, 16.63983
588.5015, 16.63922
588.9836, 16.15363
589.4657, 14.88485
589.9478, 13.77663
590.4299, 13.12887
590.9120, 12.32983
591.3942, 10.79019
591.8763, 8.906120
592.3584, 7.504707
592.8405, 6.992317
593.3226, 7.076073
593.8047, 7.597275
594.2869, 8.537323
594.7690, 8.689453
595.2511, 7.582848
595.7332, 6.096138
596.2153, 4.773636
596.6974, 3.658035
597.1796, 2.996620
597.6617, 3.210785
598.1438, 3.467232
598.6259, 3.298012
599.1080, 2.869987
599.5901, 2.405647
600.0723, 1.977005
600.5544, 1.710487
601.0365, 1.769402
601.5186, 2.164101
602.0007, 2.453850
602.4828, 2.821709
602.9650, 2.841927
603.4471, 2.089561
603.9292, 1.166061
604.4113, 0.7095260
604.8934, 0.8091050
605.3755, 1.004929
605.8577, 0.8964610
606.3398, 0.5601880
606.8219, 0.2449190
607.3040, 6.8259999E-02
607.7861, 0.2433010
608.2682, 0.1768570
