##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
2.525385e+002, 4.830733e+003
2.530206e+002, 4.826835e+003
2.535028e+002, 4.820631e+003
2.539849e+002, 4.815694e+003
2.544670e+002, 4.813410e+003
2.549491e+002, 4.809250e+003
2.554312e+002, 4.800920e+003
2.559133e+002, 4.788017e+003
2.563955e+002, 4.780184e+003
2.568776e+002, 4.779609e+003
2.573597e+002, 4.781654e+003
2.578418e+002, 4.781292e+003
2.583239e+002, 4.777232e+003
2.588061e+002, 4.773658e+003
2.592882e+002, 4.770992e+003
2.597703e+002, 4.769243e+003
2.602524e+002, 4.770032e+003
2.607345e+002, 4.774282e+003
2.612166e+002, 4.779775e+003
2.616988e+002, 4.784609e+003
2.621809e+002, 4.788380e+003
2.626630e+002, 4.792568e+003
2.631451e+002, 4.798013e+003
2.636272e+002, 4.804381e+003
2.641093e+002, 4.807510e+003
2.645915e+002, 4.805785e+003
2.650736e+002, 4.803826e+003
2.655557e+002, 4.805931e+003
2.660378e+002, 4.813830e+003
2.665199e+002, 4.819415e+003
2.670020e+002, 4.820396e+003
2.674842e+002, 4.818197e+003
2.679663e+002, 4.820307e+003
2.684484e+002, 4.827966e+003
2.689305e+002, 4.836991e+003
2.694126e+002, 4.844047e+003
2.698947e+002, 4.848267e+003
2.703769e+002, 4.854638e+003
2.708590e+002, 4.863900e+003
2.713411e+002, 4.875518e+003
2.718232e+002, 4.887966e+003
2.723053e+002, 4.901771e+003
2.727874e+002, 4.914689e+003
2.732696e+002, 4.925232e+003
2.737517e+002, 4.932985e+003
2.742338e+002, 4.940837e+003
2.747159e+002, 4.949060e+003
2.751980e+002, 4.957485e+003
2.756801e+002, 4.965817e+003
2.761623e+002, 4.974337e+003
2.766444e+002, 4.981679e+003
2.771265e+002, 4.987355e+003
2.776086e+002, 4.991493e+003
2.780907e+002, 4.993561e+003
2.785728e+002, 4.993760e+003
2.790550e+002, 4.991661e+003
2.795371e+002, 4.985615e+003
2.800192e+002, 4.975132e+003
2.805013e+002, 4.964698e+003
2.809834e+002, 4.956290e+003
2.814655e+002, 4.949842e+003
2.819477e+002, 4.943318e+003
2.824298e+002, 4.936375e+003
2.829119e+002, 4.930248e+003
2.833940e+002, 4.926897e+003
2.838761e+002, 4.926306e+003
2.843582e+002, 4.926646e+003
2.848404e+002, 4.927322e+003
2.853225e+002, 4.928281e+003
2.858046e+002, 4.929503e+003
2.862867e+002, 4.930962e+003
2.867688e+002, 4.932576e+003
2.872509e+002, 4.934485e+003
2.877331e+002, 4.936646e+003
2.882152e+002, 4.938182e+003
2.886973e+002, 4.938029e+003
2.891794e+002, 4.937353e+003
2.896615e+002, 4.940674e+003
2.901436e+002, 4.948405e+003
2.906258e+002, 4.956368e+003
2.911079e+002, 4.960363e+003
2.915900e+002, 4.961142e+003
2.920721e+002, 4.962424e+003
2.925542e+002, 4.965032e+003
2.930363e+002, 4.968890e+003
2.935185e+002, 4.974064e+003
2.940006e+002, 4.980618e+003
2.944827e+002, 4.987578e+003
2.949648e+002, 4.994244e+003
2.954469e+002, 5.000829e+003
2.959290e+002, 5.007788e+003
2.964112e+002, 5.015078e+003
2.968933e+002, 5.023000e+003
2.973754e+002, 5.031904e+003
