##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
372.9955, 139.0909
373.4776, 136.1252
373.9597, 133.4852
374.4418, 130.6254
374.9239, 127.7318
375.4060, 124.9766
375.8882, 122.2734
376.3703, 120.4890
376.8524, 120.5314
377.3345, 122.1164
377.8166, 123.7496
378.2987, 124.7799
378.7809, 126.2190
379.2630, 129.2055
379.7451, 133.6471
380.2272, 139.1475
380.7093, 145.5493
381.1914, 152.9179
381.6736, 161.2701
382.1557, 170.4708
382.6378, 180.4735
383.1199, 190.9949
383.6020, 202.5377
384.0841, 216.2955
384.5663, 233.8304
385.0484, 251.9346
385.5305, 268.9202
386.0126, 284.9780
386.4947, 301.1823
386.9768, 318.3911
387.4590, 335.0954
387.9411, 348.3872
388.4232, 360.0176
388.9053, 364.6903
389.3874, 360.6545
389.8695, 349.4343
390.3517, 331.4386
390.8338, 306.8926
391.3159, 279.2500
391.7980, 251.3320
392.2801, 222.9795
392.7622, 196.6735
393.2444, 171.3593
393.7265, 148.8705
394.2086, 130.8064
394.6907, 116.4327
395.1728, 103.6348
395.6549, 91.31635
396.1371, 79.59357
396.6192, 69.38550
397.1013, 60.98303
397.5834, 53.82306
398.0655, 48.25494
398.5476, 43.75610
399.0298, 40.17853
399.5119, 37.35449
399.9940, 34.49231
400.4761, 30.26764
400.9582, 23.59235
401.4403, 19.50354
401.9225, 20.34399
402.4046, 21.21228
402.8867, 19.77142
403.3688, 16.45044
403.8509, 12.73511
404.3330, 9.496826
404.8152, 6.826782
405.2973, 5.282410
405.7794, 5.470093
406.2615, 5.946167
406.7436, 7.034851
407.2257, 7.950012
407.7079, 7.626526
408.1900, 5.781799
408.6721, 3.641235
409.1542, 2.987183
409.6363, 4.093811
410.1184, 5.101013
410.6006, 6.088806
411.0827, 6.681335
411.5648, 6.581848
412.0469, 5.897949
412.5290, 5.022888
413.0111, 4.300415
413.4933, 3.569153
413.9754, 2.111755
414.4575, 0.5170900
414.9396, 2.662964
415.4217, 3.070496
415.9038, 2.716553
416.3860, 2.842896
416.8681, 4.022583
417.3502, 4.776367
417.8323, 2.871094
418.3144, 1.240540
418.7965, 3.481018
419.2787, 2.224365
419.7608, 0.3792720
420.2429, 2.403809
420.7250, 3.857422
421.2071, 4.140930
421.6892, 1.807190
422.1714, 1.222534
422.6535, 1.840698
423.1356, 0.1852420
423.6177, 1.625671
424.0998, 7.5011998E-02
424.5819, 4.078186
425.0641, 6.416687
425.5462, 5.486694
426.0283, 4.950134
426.5104, 6.767456
426.9925, 10.03284
427.4746, 13.03369
427.9568, 15.21521
428.4389, 16.94366
428.9210, 18.72986
429.4031, 20.49139
429.8852, 22.65216
430.3673, 25.35486
430.8495, 28.36243
431.3316, 31.62415
431.8137, 35.07098
432.2958, 38.57037
432.7779, 42.05499
433.2600, 45.51147
