##NAMES=Dickinsonite-(KMnNa)
##RRUFFID=R160070
##IDEAL CHEMISTRY=K(NaMn^2+^)CaNa_3_AlMn^2+^_13_(PO_4_)_12_(OH)_2_
##LOCALITY=Smith mine, Newport, New Hampshire, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Pale yellowish green granular crystals, associated with muscovite and albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160070
476.1684, 16.42133
476.6505, 16.00163
477.1327, 15.43625
477.6148, 14.86262
478.0969, 14.43698
478.5790, 14.17408
479.0611, 14.02235
479.5432, 14.12628
480.0254, 14.21515
480.5075, 14.11386
480.9896, 13.84843
481.4717, 13.51699
481.9538, 13.16730
482.4359, 12.81177
482.9181, 12.48133
483.4002, 12.06054
483.8823, 11.84791
484.3644, 12.16566
484.8465, 12.44336
485.3286, 12.17523
485.8108, 11.40795
486.2929, 10.60119
486.7750, 10.14929
487.2571, 10.01204
487.7392, 9.813461
488.2213, 9.483723
488.7035, 9.208061
489.1856, 9.147545
489.6677, 9.099777
490.1498, 8.821419
490.6319, 8.252853
491.1140, 7.630627
491.5962, 7.202778
492.0783, 6.943150
492.5604, 6.648129
493.0425, 6.276146
493.5246, 5.908974
494.0067, 5.636520
494.4889, 5.412670
494.9710, 5.121613
495.4531, 4.633488
495.9352, 4.191399
496.4173, 4.066711
496.8994, 4.167423
497.3816, 4.142998
497.8637, 3.863327
498.3458, 3.461529
498.8279, 3.112606
499.3100, 2.817333
499.7921, 2.578747
500.2743, 2.431278
500.7564, 2.312634
501.2385, 2.190968
501.7206, 2.063019
502.2027, 1.931923
502.6848, 1.797791
503.1670, 1.668499
503.6491, 1.568420
504.1312, 1.482918
504.6133, 1.454910
505.0954, 1.643723
505.5775, 1.760822
506.0597, 1.509579
506.5418, 0.9644470
507.0239, 0.4998470
507.5060, 0.4388160
507.9881, 0.6861920
508.4702, 0.7821430
508.9524, 0.6669080
509.4345, 0.5347630
509.9166, 0.3661350
510.3987, 0.2582740
510.8808, 0.4029540
511.3629, 0.8323480
511.8451, 1.090569
512.3271, 0.6690710
512.8093, 0.1800500
513.2914, 0.7320980
513.7735, 0.8954960
514.2556, 0.8933640
514.7377, 0.8239360
515.2198, 0.7074130
515.7020, 0.6165810
516.1841, 0.5424580
516.6662, 0.5097920
517.1483, 0.5350650
517.6304, 0.6077730
518.1125, 0.7201080
518.5947, 0.8694420
519.0768, 1.033592
519.5589, 1.199135
520.0410, 1.376614
520.5231, 1.456882
521.0052, 1.420635
521.4874, 1.326012
521.9695, 1.168156
522.4516, 0.9705810
522.9337, 0.7268750
523.4158, 0.4412230
523.8979, 0.2196810
524.3801, 0.2750740
524.8622, 0.6966480
525.3443, 0.9256130
525.8264, 0.9295690
526.3085, 0.7399060
526.7906, 0.2077750
527.2728, 0.4753910
527.7549, 0.9484790
528.2370, 1.032421
528.7191, 0.9247930
529.2012, 0.8249320
529.6833, 0.7381320
530.1655, 0.7495190
530.6476, 0.8924710
531.1297, 1.119812
531.6118, 1.454651
532.0939, 1.871841
532.5760, 2.120899
533.0582, 1.924107
533.5403, 1.736683
534.0224, 1.957485
534.5045, 2.486614
534.9866, 3.024132
535.4688, 3.450844
535.9509, 3.738548
536.4330, 3.803841
536.9151, 3.427711
537.3972, 3.367016
537.8793, 3.883186
538.3615, 4.443611
538.8436, 4.753441
539.3257, 4.865711
539.8078, 4.938873
540.2899, 5.048321
540.7720, 5.240559
541.2542, 5.663876
541.7363, 6.413219
542.2184, 7.069279
542.7005, 7.527439
543.1826, 7.903709
543.6647, 8.194611
544.1469, 8.445770
544.6290, 8.813995
545.1111, 9.435825
545.5932, 10.17638
546.0753, 10.85077
546.5574, 11.45732
547.0396, 12.01877
547.5217, 12.53938
548.0038, 13.01878
548.4859, 13.46774
548.9680, 13.89438
549.4501, 14.24391
549.9323, 14.41561
550.4144, 14.57984
550.8965, 14.89622
551.3786, 15.33013
551.8607, 15.74693
552.3428, 16.07703
552.8250, 16.33139
553.3071, 16.53710
553.7892, 16.70429
554.2713, 16.80001
554.7534, 16.84565
555.2355, 16.81274
555.7177, 16.61614
556.1998, 16.32539
556.6819, 16.12962
557.1640, 16.17740
557.6461, 16.31162
558.1282, 16.13622
558.6104, 15.57991
559.0925, 15.18903
559.5746, 15.27777
560.0567, 15.39024
