##NAMES=Tetrawickmanite
##RRUFFID=R170046
##IDEAL CHEMISTRY=Mn^2+^Sn^4+^(OH)_6_
##LOCALITY=Mina San Martin, Sombrerete, Zacatecas, Mexico
##OWNER=RRUFF
##SOURCE=Peter Megaw
##DESCRIPTION=Yellow cubic or pseudo-octahedral crystals on quartz, associated with colorless cubic fluorite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170046
556.7542, 355.5947
557.2363, 367.8005
557.7184, 380.3226
558.2006, 393.1925
558.6827, 406.6547
559.1648, 420.3753
559.6469, 434.1923
560.1290, 447.4453
560.6111, 461.2195
561.0933, 475.6110
561.5754, 490.8038
562.0575, 506.9728
562.5396, 523.7344
563.0217, 541.7832
563.5038, 561.1713
563.9860, 581.9475
564.4681, 605.4102
564.9502, 632.2421
565.4323, 660.3964
565.9144, 687.7126
566.3965, 714.1101
566.8787, 742.8049
567.3608, 773.7230
567.8429, 807.1708
568.3250, 842.3596
568.8071, 879.6458
569.2892, 919.4470
569.7714, 960.9529
570.2535, 1005.775
570.7356, 1055.059
571.2177, 1109.243
571.6998, 1166.808
572.1819, 1227.302
572.6641, 1292.110
573.1462, 1362.095
573.6283, 1437.903
574.1104, 1517.899
574.5925, 1600.312
575.0746, 1688.187
575.5568, 1785.107
576.0389, 1890.505
576.5210, 2003.206
577.0031, 2123.816
577.4852, 2252.492
577.9673, 2390.088
578.4495, 2539.125
578.9316, 2692.821
579.4137, 2849.999
579.8958, 3010.294
580.3779, 3179.320
580.8600, 3356.481
581.3422, 3542.850
581.8243, 3737.339
582.3064, 3942.436
582.7885, 4159.813
583.2706, 4390.321
583.7527, 4629.339
584.2349, 4879.016
584.7170, 5135.297
585.1991, 5392.620
585.6812, 5651.488
586.1633, 5914.520
586.6454, 6185.516
587.1276, 6461.642
587.6097, 6735.905
588.0918, 7017.461
588.5739, 7287.341
589.0560, 7545.365
589.5381, 7790.246
590.0203, 8019.877
590.5024, 8240.450
590.9845, 8433.790
591.4666, 8595.462
591.9487, 8724.887
592.4308, 8808.692
592.9130, 8847.197
593.3951, 8838.623
593.8772, 8780.338
