##NAMES=Galeite
##RRUFFID=R160078
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, San Bernardino County, California, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale grey barrel-shaped crystals, intergrown with schairerite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R160078
3.267845e+002, 4.138671e+004
3.272666e+002, 4.141654e+004
3.277487e+002, 4.143363e+004
3.282309e+002, 4.142527e+004
3.287130e+002, 4.141923e+004
3.291951e+002, 4.141754e+004
3.296772e+002, 4.142016e+004
3.301593e+002, 4.142654e+004
3.306414e+002, 4.143245e+004
3.311236e+002, 4.144553e+004
3.316057e+002, 4.146996e+004
3.320878e+002, 4.150851e+004
3.325699e+002, 4.155328e+004
3.330520e+002, 4.161067e+004
3.335341e+002, 4.167189e+004
3.340163e+002, 4.171070e+004
3.344984e+002, 4.171463e+004
3.349805e+002, 4.171574e+004
3.354626e+002, 4.172745e+004
3.359447e+002, 4.175285e+004
3.364268e+002, 4.177841e+004
3.369090e+002, 4.180706e+004
3.373911e+002, 4.183387e+004
3.378732e+002, 4.184804e+004
3.383553e+002, 4.184478e+004
3.388374e+002, 4.184764e+004
3.393195e+002, 4.186768e+004
3.398017e+002, 4.190413e+004
3.402838e+002, 4.192885e+004
3.407659e+002, 4.193939e+004
3.412480e+002, 4.194593e+004
3.417301e+002, 4.196039e+004
3.422122e+002, 4.198348e+004
3.426944e+002, 4.200228e+004
3.431765e+002, 4.201076e+004
3.436586e+002, 4.201404e+004
3.441407e+002, 4.203173e+004
3.446228e+002, 4.206468e+004
3.451049e+002, 4.209865e+004
3.455871e+002, 4.211975e+004
3.460692e+002, 4.213054e+004
3.465513e+002, 4.214842e+004
3.470334e+002, 4.217735e+004
3.475155e+002, 4.221055e+004
3.479977e+002, 4.223454e+004
3.484798e+002, 4.225075e+004
3.489619e+002, 4.226975e+004
3.494440e+002, 4.230382e+004
3.499261e+002, 4.234447e+004
3.504082e+002, 4.236987e+004
3.508904e+002, 4.237692e+004
3.513725e+002, 4.238123e+004
3.518546e+002, 4.239765e+004
3.523367e+002, 4.242427e+004
3.528188e+002, 4.245606e+004
3.533009e+002, 4.250355e+004
3.537831e+002, 4.254832e+004
3.542652e+002, 4.256274e+004
3.547473e+002, 4.254807e+004
3.552294e+002, 4.253268e+004
3.557115e+002, 4.253582e+004
3.561936e+002, 4.255111e+004
3.566758e+002, 4.257040e+004
3.571579e+002, 4.259338e+004
3.576400e+002, 4.261755e+004
3.581221e+002, 4.264055e+004
3.586042e+002, 4.266320e+004
3.590863e+002, 4.268881e+004
3.595685e+002, 4.272388e+004
3.600506e+002, 4.275997e+004
3.605327e+002, 4.279139e+004
3.610148e+002, 4.281769e+004
3.614969e+002, 4.283852e+004
3.619790e+002, 4.284734e+004
3.624612e+002, 4.285152e+004
3.629433e+002, 4.286352e+004
3.634254e+002, 4.288587e+004
3.639075e+002, 4.291736e+004
3.643896e+002, 4.296309e+004
3.648717e+002, 4.302659e+004
3.653539e+002, 4.307516e+004
3.658360e+002, 4.309209e+004
3.663181e+002, 4.309530e+004
3.668002e+002, 4.310173e+004
3.672823e+002, 4.311159e+004
3.677644e+002, 4.312579e+004
3.682466e+002, 4.314664e+004
3.687287e+002, 4.317330e+004
3.692108e+002, 4.319638e+004
3.696929e+002, 4.321431e+004
3.701750e+002, 4.323040e+004
3.706571e+002, 4.324624e+004
