##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
379.0532, 141.5388
379.5353, 141.9622
380.0175, 142.0016
380.4996, 141.9002
380.9817, 141.9378
381.4638, 142.0778
381.9459, 141.9716
382.4280, 141.4650
382.9102, 140.7873
383.3923, 140.2645
383.8744, 139.9113
384.3565, 139.9346
384.8386, 140.9253
385.3207, 142.3150
385.8029, 142.7600
386.2850, 141.9930
386.7671, 141.0298
387.2492, 141.0020
387.7313, 141.5794
388.2134, 142.0117
388.6956, 141.7530
389.1777, 141.3283
389.6598, 141.1821
390.1419, 141.3186
390.6240, 141.6166
391.1061, 142.2029
391.5883, 142.8328
392.0704, 143.2479
392.5525, 143.2980
393.0346, 143.2346
393.5167, 142.9740
393.9988, 142.6661
394.4810, 142.7247
394.9631, 143.7702
395.4452, 144.8481
395.9273, 145.4226
396.4094, 145.2344
396.8915, 145.1765
397.3737, 145.5485
397.8558, 146.0908
398.3379, 146.4833
398.8200, 146.3672
399.3021, 146.4438
399.7842, 146.9490
400.2664, 147.8786
400.7485, 148.5736
401.2306, 148.7852
401.7127, 148.9920
402.1948, 149.5090
402.6769, 150.4939
403.1591, 151.4831
403.6412, 152.6411
404.1233, 153.6989
404.6054, 153.8421
405.0875, 152.6805
405.5696, 151.7585
406.0518, 151.8582
406.5339, 153.0211
407.0160, 153.6520
407.4981, 153.5697
407.9802, 153.4580
408.4623, 154.3018
408.9445, 156.0823
409.4266, 157.4880
409.9087, 158.0279
410.3908, 158.1058
410.8729, 158.7275
411.3550, 159.8799
411.8372, 161.0021
412.3193, 161.6081
412.8014, 161.9014
413.2835, 162.3561
413.7656, 163.0417
414.2477, 163.8723
414.7299, 164.6865
415.2120, 165.5653
415.6941, 166.6812
416.1762, 168.4576
416.6583, 170.2930
417.1404, 171.5873
417.6226, 172.3539
418.1047, 173.0585
418.5868, 174.0431
419.0689, 175.0655
419.5510, 175.8928
420.0331, 176.2067
420.5153, 176.6509
420.9974, 177.5636
421.4795, 178.7967
421.9616, 179.9393
422.4437, 180.8520
422.9258, 181.7017
423.4080, 182.5572
423.8901, 183.4452
424.3722, 184.3054
424.8543, 185.0388
425.3364, 185.7948
425.8185, 186.7121
426.3007, 187.8206
426.7828, 189.0750
427.2649, 190.5522
427.7470, 192.1919
428.2291, 193.6378
