##NAMES=Virgilluethite
##RRUFFID=R220017
##IDEAL CHEMISTRY=Mo^6+^O_3_&#183;H_2_O
##LOCALITY=Cooke's Peak, Cookes Range, Luna County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Aggregates of yellow-green lamellas. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220017
##MEASURED CHEMISTRY=MoO_3_·H_2_O, which was calculated on the basis of 4 O apfu.
360.0506, 317.0638
360.5327, 321.4730
361.0148, 327.0674
361.4969, 334.2825
361.9790, 345.5009
362.4612, 357.3710
362.9433, 366.5745
363.4254, 368.7837
363.9075, 371.8309
364.3896, 378.9614
364.8717, 389.8049
365.3539, 399.5716
365.8360, 406.1476
366.3181, 412.1674
366.8002, 419.0745
367.2823, 429.4848
367.7644, 437.3116
368.2466, 441.8607
368.7287, 443.6942
369.2108, 444.2903
369.6929, 444.3108
370.1750, 442.6010
370.6571, 438.7091
371.1393, 432.4575
371.6214, 424.5370
372.1035, 414.5632
372.5856, 403.3164
373.0677, 392.0477
373.5498, 381.1011
374.0320, 369.1927
374.5141, 355.4398
374.9962, 340.0542
375.4783, 324.8107
375.9604, 309.8802
376.4425, 296.2405
376.9247, 284.7526
377.4068, 275.7403
377.8889, 266.7125
378.3710, 257.4260
378.8531, 248.3933
379.3352, 240.7762
379.8174, 234.6403
380.2995, 228.9686
380.7816, 223.1447
381.2637, 217.1826
381.7458, 211.9240
382.2279, 207.3574
382.7101, 203.2143
383.1922, 199.0606
383.6743, 194.8425
384.1564, 190.7021
384.6385, 186.5008
385.1206, 182.4106
385.6028, 178.9417
386.0849, 176.0481
386.5670, 172.8373
387.0491, 167.7524
387.5312, 162.0215
388.0133, 157.9058
388.4955, 157.1648
388.9776, 156.0666
389.4597, 149.9015
389.9418, 140.5001
390.4239, 133.0781
390.9060, 132.3860
391.3882, 133.4608
391.8703, 132.4070
392.3524, 128.4060
392.8345, 124.0757
393.3166, 120.2946
393.7987, 116.9905
394.2809, 114.1544
394.7630, 110.8547
395.2451, 108.9048
395.7272, 109.7159
396.2093, 113.0834
396.6914, 115.3000
397.1736, 115.7546
397.6557, 114.7401
398.1378, 112.3860
398.6199, 107.2697
399.1020, 102.6689
399.5841, 99.00848
400.0663, 95.92200
400.5484, 92.49237
401.0305, 88.27576
401.5126, 84.20135
401.9947, 80.42676
402.4768, 76.88214
402.9590, 74.22668
403.4411, 73.30444
403.9232, 72.43457
404.4053, 69.41180
404.8874, 63.40503
405.3695, 57.99146
405.8517, 53.66199
406.3338, 50.54907
406.8159, 49.41348
407.2980, 50.73636
407.7801, 51.66251
408.2622, 49.49451
408.7444, 44.54379
409.2265, 41.53128
409.7086, 41.18369
410.1907, 42.11539
410.6728, 42.41840
411.1549, 42.08923
411.6371, 41.36520
412.1192, 39.85477
412.6013, 38.22937
413.0834, 38.15985
413.5655, 39.59647
414.0476, 40.89743
414.5298, 39.92014
415.0119, 38.08276
415.4940, 37.79681
415.9761, 40.60165
416.4582, 43.88379
416.9403, 45.03000
417.4225, 44.79813
417.9046, 45.35495
418.3867, 48.50110
418.8688, 52.40228
419.3509, 55.85052
419.8330, 58.70651
420.3152, 61.28625
420.7973, 62.75613
421.2794, 64.38486
421.7615, 67.62674
422.2436, 75.22153
422.7257, 81.94293
423.2079, 85.60574
423.6900, 86.53336
424.1721, 89.41312
424.6542, 97.11163
425.1363, 104.9409
425.6184, 110.5921
426.1006, 111.5741
426.5827, 114.7568
427.0648, 120.8834
427.5469, 128.8209
428.0290, 136.7001
428.5111, 144.9164
428.9933, 152.2206
429.4754, 157.5321
429.9575, 160.9811
430.4396, 166.6015
430.9217, 175.3140
431.4038, 183.5856
431.8860, 187.6202
432.3681, 187.4688
432.8502, 188.0927
433.3323, 190.5351
433.8144, 193.6168
434.2965, 195.2331
434.7787, 195.4026
435.2608, 194.7579
435.7429, 193.2798
436.2250, 191.2825
436.7071, 189.3945
437.1892, 187.6720
437.6714, 186.3932
438.1535, 185.7841
438.6356, 185.6995
439.1177, 185.9236
439.5998, 186.3334
440.0819, 187.0762
440.5641, 188.6481
441.0462, 190.8026
441.5283, 192.5963
442.0104, 193.2024
442.4925, 193.4652
442.9746, 193.9383
443.4568, 194.7428
443.9389, 195.3956
444.4210, 195.9967
444.9031, 196.2798
445.3852, 195.9307
445.8673, 193.2712
446.3495, 191.7293
446.8316, 193.0029
447.3137, 196.7391
447.7958, 198.0614
448.2779, 195.2534
448.7600, 191.9982
449.2422, 190.1832
449.7243, 190.4604
450.2064, 189.9829
450.6885, 188.9399
451.1706, 187.0034
451.6527, 183.2077
452.1349, 176.9910
452.6170, 171.8259
453.0991, 169.3050
453.5812, 168.7206
454.0633, 165.7675
454.5454, 160.0535
455.0276, 154.8596
455.5097, 153.8149
455.9918, 155.9726
456.4739, 156.5299
456.9560, 154.7145
457.4381, 151.3499
457.9203, 146.6285
458.4024, 141.1422
458.8845, 136.7337
459.3666, 135.2651
459.8488, 134.7885
460.3309, 133.3001
460.8130, 130.7921
461.2951, 127.7015
461.7772, 123.6639
462.2593, 119.3962
462.7415, 115.7704
463.2236, 113.6965
463.7057, 111.0393
464.1878, 105.9702
464.6699, 99.89105
465.1520, 95.44519
465.6342, 95.14917
466.1163, 94.80841
466.5984, 92.73938
467.0805, 88.58694
467.5626, 85.66632
468.0447, 85.54703
468.5269, 85.47470
469.0090, 83.44806
469.4911, 78.01169
469.9732, 73.55432
470.4553, 70.54584
470.9374, 68.53864
471.4196, 66.75671
471.9017, 65.47205
472.3838, 63.28259
472.8659, 59.15198
473.3480, 53.38989
473.8301, 49.23853
474.3123, 46.82257
474.7944, 45.10547
475.2765, 43.48779
475.7586, 41.85669
476.2407, 39.62427
476.7228, 36.53894
477.2050, 33.14508
477.6871, 29.93182
478.1692, 26.95154
478.6513, 24.42676
479.1334, 22.63550
479.6155, 21.26630
480.0977, 19.98047
480.5798, 18.76038
481.0619, 17.96344
481.5440, 18.81268
482.0261, 19.62128
482.5082, 18.77014
482.9904, 14.13824
483.4725, 10.39325
483.9546, 10.05597
484.4367, 11.44922
484.9188, 10.95776
485.4009, 5.323792
485.8831, 0.5672610
486.3652, 1.411011
486.8473, 0.4160160
487.3294, 0.2396240
487.8115, 0.4614870
488.2936, 0.4558720
488.7758, 0.5653080
489.2579, 1.132629
489.7400, 0.2397460
490.2221, 2.877747
490.7042, 6.773010
491.1863, 8.530518
491.6685, 8.052124
492.1506, 7.109375
492.6327, 6.309509
493.1148, 5.598816
493.5969, 4.813538
494.0790, 3.904358
494.5612, 3.701721
495.0433, 5.705750
495.5254, 8.713623
496.0075, 10.28107
496.4896, 9.736877
496.9717, 8.473267
497.4539, 7.369080
497.9360, 6.517517
498.4181, 6.239380
498.9002, 7.149231
499.3823, 8.194031
499.8644, 8.953369
500.3466, 9.373840
500.8287, 9.358521
501.3108, 8.406738
501.7929, 7.340820
502.2750, 6.643799
502.7571, 6.402405
503.2393, 6.344055
503.7214, 6.501343
504.2035, 6.820618
504.6856, 7.122437
505.1677, 7.085144
505.6498, 7.810669
506.1320, 10.04370
506.6141, 13.21002
507.0962, 14.00500
507.5783, 11.95941
508.0604, 9.546021
508.5425, 8.037964
509.0247, 7.430298
509.5068, 7.907898
509.9889, 9.697021
510.4710, 11.57147
510.9531, 12.07318
511.4352, 11.49078
511.9174, 10.65814
512.3995, 9.565491
512.8816, 8.679626
513.3637, 8.650818
513.8458, 9.198486
514.3279, 9.485840
514.8101, 8.844604
515.2922, 7.941101
515.7743, 7.246155
516.2564, 6.817932
516.7385, 6.284668
517.2206, 5.549988
517.7028, 4.658997
518.1849, 3.674744
518.6670, 3.488342
519.1491, 2.094604
519.6312, 1.800476
520.1133, 6.709106
520.5955, 9.516907
521.0776, 8.928650
521.5597, 8.451355
522.0418, 8.885803
522.5239, 10.26166
523.0060, 13.15936
523.4882, 18.01929
523.9703, 22.98071
524.4524, 26.93909
524.9345, 29.78906
525.4166, 30.64655
525.8987, 29.07141
526.3809, 27.00317
526.8630, 26.83832
527.3451, 28.27490
527.8272, 30.37952
528.3093, 33.53900
528.7914, 36.69653
529.2736, 38.43207
529.7557, 39.14777
530.2378, 40.27014
530.7199, 43.48260
531.2020, 46.82349
531.6841, 48.47723
532.1663, 47.74091
532.6484, 48.25214
533.1305, 52.18420
533.6126, 57.27185
534.0947, 61.49585
534.5768, 63.66064
535.0590, 66.17334
535.5411, 69.01111
536.0232, 72.30859
536.5053, 76.43835
536.9874, 81.80579
537.4695, 86.60107
537.9517, 89.53345
538.4338, 90.91479
538.9159, 94.70300
539.3980, 101.2712
539.8801, 107.9329
540.3622, 112.1560
540.8444, 114.2595
541.3265, 115.6150
