##NAMES=Katoptrite
##RRUFFID=R140009
##IDEAL CHEMISTRY=Mn^2+^_13_Al_4_Sb^5+^_2_O_20_(SiO_4_)_2_
##LOCALITY=Brattfors mine, Nordmark, Filipstad, Värmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Black grains, thin black splinters or flakes
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140009
418.1047, 2.409508
418.5868, 2.582733
419.0689, 2.815575
419.5510, 2.953846
420.0331, 2.876522
420.5153, 2.803940
420.9974, 2.808388
421.4795, 2.879723
421.9616, 2.993095
422.4437, 3.285339
422.9258, 3.501438
423.4080, 3.514111
423.8901, 3.257729
424.3722, 3.013958
424.8543, 2.681118
425.3364, 2.433014
425.8185, 2.455315
426.3007, 3.052467
426.7828, 3.474159
427.2649, 3.579502
427.7470, 3.425076
428.2291, 3.235081
428.7112, 2.988541
429.1934, 2.738579
429.6755, 2.501556
430.1576, 2.261486
430.6397, 2.069756
431.1218, 1.973454
431.6039, 1.927013
432.0861, 1.754841
432.5682, 1.439865
433.0503, 1.208027
433.5324, 1.191299
434.0145, 1.309200
434.4966, 1.251183
434.9788, 1.011124
435.4609, 0.7246550
435.9430, 0.5176470
436.4251, 0.3919410
436.9072, 0.3056340
437.3893, 0.2255130
437.8715, 0.1601330
438.3536, 0.1535220
438.8357, 0.1754260
439.3178, 0.1415670
439.7999, 0.1009900
440.2820, 0.3514480
440.7642, 0.3890300
441.2463, 0.2000920
441.7284, 1.9142000E-02
442.2105, 0.1070100
442.6926, 0.1235240
443.1747, 3.4260001E-02
443.6569, 0.7315830
444.1390, 1.189259
444.6211, 0.9309770
445.1032, 0.2158390
445.5853, 0.1913300
446.0674, 0.2411540
446.5496, 0.6569940
447.0317, 0.6971740
447.5138, 0.1866950
447.9959, 0.1646350
448.4780, 0.2729230
448.9601, 0.2859840
449.4423, 0.3499980
449.9244, 0.4962200
450.4065, 0.6308210
450.8886, 0.7481120
451.3707, 0.8424990
451.8528, 0.8650280
452.3350, 0.7642710
452.8171, 0.7487140
453.2992, 0.9809040
453.7813, 1.465847
454.2634, 1.833267
454.7455, 2.059757
455.2277, 2.224495
455.7098, 2.382751
456.1919, 2.549305
456.6740, 2.862713
457.1561, 3.472565
457.6382, 4.157856
458.1204, 4.451317
458.6025, 4.407379
459.0846, 4.389889
459.5667, 4.640244
460.0488, 5.064068
460.5309, 5.597824
461.0131, 6.282059
461.4952, 6.833206
461.9773, 6.875072
462.4594, 6.690060
462.9415, 6.692768
463.4236, 7.238670
463.9058, 7.816559
464.3879, 8.204304
464.8700, 8.409332
465.3521, 8.613636
465.8342, 8.879219
466.3163, 9.147327
466.7985, 9.383102
467.2806, 9.543560
467.7627, 9.739296
468.2448, 9.965553
468.7269, 10.22779
469.2090, 10.55724
469.6912, 11.08331
470.1733, 11.44320
470.6554, 11.51696
471.1375, 11.33502
471.6196, 11.18261
472.1017, 11.05232
472.5839, 10.97092
473.0660, 10.99393
473.5481, 11.12304
474.0302, 11.13374
474.5123, 10.98727
474.9944, 10.77969
475.4766, 10.65740
475.9587, 10.60741
476.4408, 10.54235
476.9229, 10.42850
477.4050, 10.28031
477.8871, 10.06934
478.3693, 9.813141
478.8514, 9.666458
479.3335, 10.02080
479.8156, 10.42645
480.2977, 10.26351
480.7798, 9.262299
481.2620, 8.250385
481.7441, 7.578392
482.2262, 7.229839
482.7083, 7.181492
483.1904, 7.772491
483.6725, 8.343334
484.1547, 8.673023
484.6368, 8.745178
485.1189, 8.641850
485.6010, 8.182209
486.0831, 7.707169
486.5652, 7.388176
487.0474, 7.272156
487.5295, 7.224560
488.0116, 7.231651
488.4937, 7.292027
488.9758, 7.436325
489.4579, 7.706402
489.9401, 7.961464
490.4222, 8.150795
490.9043, 8.297234
491.3864, 8.525425
491.8685, 8.847870
492.3506, 9.177887
492.8328, 9.499512
493.3149, 9.787903
493.7970, 9.863548
494.2791, 9.658955
494.7612, 9.527290
495.2433, 9.998383
495.7255, 10.86695
496.2076, 11.61000
496.6897, 11.93714
497.1718, 12.15641
497.6539, 12.55492
498.1360, 13.08295
498.6182, 13.58211
499.1003, 13.82257
499.5824, 14.11877
500.0645, 14.74120
500.5466, 15.82662
501.0287, 16.74663
501.5109, 17.09399
501.9930, 17.25634
502.4751, 17.64483
502.9572, 18.54618
503.4393, 19.42776
503.9214, 20.18600
504.4036, 20.82891
504.8857, 21.44013
505.3678, 22.05235
505.8499, 22.67120
506.3320, 23.29893
506.8141, 23.93890
507.2963, 24.48962
507.7784, 24.92435
508.2605, 25.36407
508.7426, 26.01544
509.2247, 26.85249
509.7068, 27.46293
510.1890, 27.71629
510.6711, 27.80876
511.1532, 28.15393
511.6353, 28.66529
512.1174, 28.92213
512.5995, 28.51154
513.0817, 27.83518
513.5638, 27.38368
514.0459, 27.15900
514.5280, 26.93041
515.0101, 26.62930
515.4922, 26.21471
515.9744, 25.64636
516.4565, 24.87563
516.9386, 24.02744
517.4207, 23.14330
517.9028, 22.20839
518.3849, 21.19791
518.8671, 19.92453
519.3492, 18.77582
519.8313, 17.89979
520.3134, 17.27450
520.7955, 16.44102
521.2776, 15.25941
521.7598, 14.07048
522.2419, 13.07481
522.7240, 12.29175
523.2061, 11.59074
523.6882, 11.00636
524.1703, 10.42025
524.6525, 9.635685
525.1346, 8.665718
525.6167, 7.753120
526.0988, 6.954117
526.5809, 6.275242
527.0630, 5.794586
527.5452, 5.481659
528.0273, 5.148884
528.5094, 4.639004
528.9915, 4.070793
529.4736, 3.570354
529.9557, 3.146202
530.4379, 2.754490
530.9200, 2.285946
531.4021, 1.870476
531.8842, 1.646461
532.3663, 1.850063
532.8484, 1.953712
533.3306, 1.772400
533.8127, 1.405102
534.2948, 1.063477
534.7769, 0.7365000
535.2590, 0.4638980
535.7411, 0.2449910
536.2233, 8.1675999E-02
536.7054, 3.9218999E-02
537.1875, 0.1863370
537.6696, 0.3242650
538.1517, 0.3014980
538.6339, 0.1017530
539.1160, 1.3054000E-02
539.5981, 2.5790001E-03
540.0802, 2.1561000E-02
540.5623, 0.1404800
541.0444, 0.4444270
541.5266, 0.6359210
542.0087, 0.5935750
542.4908, 0.4493450
542.9729, 0.3656010
543.4550, 0.3390430
543.9371, 0.3511620
544.4193, 0.4782180
544.9014, 0.5825160
545.3835, 0.5114630
545.8656, 0.2422790
546.3477, 2.2834999E-02
546.8298, 5.5663999E-02
547.3120, 0.1225280
547.7941, 4.1297998E-02
548.2762, 0.3993380
548.7583, 0.7374950
549.2404, 0.8386000
549.7225, 0.8467710
550.2047, 1.023758
550.6868, 1.502007
551.1689, 1.888458
551.6510, 2.044968
552.1331, 2.019455
552.6152, 2.125290
553.0974, 2.380539
553.5795, 2.681595
554.0616, 2.951279
554.5437, 3.222664
555.0258, 3.597496
555.5079, 4.081398
555.9901, 4.600281
556.4722, 5.021126
556.9543, 5.428406
557.4364, 6.012009
557.9185, 6.967979
558.4006, 7.895111
558.8828, 8.348160
559.3649, 8.522598
559.8470, 8.888718
560.3291, 9.792038
560.8112, 10.77596
561.2933, 11.66071
561.7755, 12.43938
562.2576, 13.19406
562.7397, 13.79073
563.2218, 14.47656
563.7039, 15.39465
564.1860, 16.66730
564.6682, 17.85932
565.1503, 18.94920
565.6324, 20.00323
566.1145, 21.10138
566.5966, 22.26362
567.0787, 23.36582
567.5609, 24.32560
568.0430, 25.28493
568.5251, 26.59134
569.0072, 28.21256
569.4893, 29.78508
569.9714, 31.15424
570.4536, 32.35484
570.9357, 33.39112
571.4178, 34.27159
571.8999, 35.17256
572.3820, 36.03038
572.8641, 37.05039
573.3463, 38.49801
573.8284, 40.72071
574.3105, 42.58212
574.7926, 43.42413
575.2747, 43.83303
575.7568, 44.54604
576.2390, 46.03053
576.7211, 47.28413
577.2032, 48.10652
577.6853, 48.62892
578.1674, 49.27792
578.6495, 50.09311
579.1317, 50.91559
579.6138, 51.63287
580.0959, 52.28165
580.5780, 53.28133
581.0601, 54.68861
581.5422, 55.92428
582.0244, 56.37034
582.5065, 56.28621
582.9886, 56.29726
583.4707, 56.49412
583.9528, 56.76077
584.4349, 57.16201
584.9171, 57.52365
585.3992, 57.58479
585.8813, 57.08702
586.3634, 56.44844
586.8455, 55.91506
587.3276, 55.37778
587.8098, 54.55608
588.2919, 53.18870
588.7740, 51.73479
589.2561, 50.37408
589.7382, 49.11217
590.2203, 47.56573
590.7025, 45.69190
591.1846, 43.64087
591.6667, 41.45881
592.1488, 39.11996
592.6309, 36.91788
593.1130, 34.86003
593.5952, 32.90686
594.0773, 31.05473
594.5594, 29.26965
595.0415, 27.45433
595.5236, 25.54843
596.0057, 23.63608
596.4879, 21.76675
596.9700, 19.97532
597.4521, 18.36531
597.9342, 17.01958
598.4163, 15.82971
598.8984, 14.81484
599.3806, 13.93945
599.8627, 12.95227
